Date,KOREA
1998-12-31,103.84535993787982
1999-01-01,103.84535993787982
1999-01-04,110.60878953846914
1999-01-05,115.74893131848872
1999-01-06,118.95344439658538
1999-01-07,125.74416975003437
1999-01-08,119.61127152127668
1999-01-11,120.55615629753704
1999-01-12,116.34686874719664
1999-01-13,115.61903219619603
1999-01-14,108.773849297542
1999-01-15,111.18561520550169
1999-01-18,113.25494688525183
1999-01-19,113.84494949000687
1999-01-20,115.34722319728021
1999-01-21,109.31333113468729
1999-01-22,102.21453294417859
1999-01-25,100.86127525150889
1999-01-26,100.80637947888495
1999-01-27,107.71611265327634
1999-01-28,108.44875309062768
1999-01-29,107.32206831963126
1999-02-01,108.64968036221069
1999-02-02,106.11366867335332
1999-02-03,103.25437703292695
1999-02-04,102.51819546880174
1999-02-05,102.91820052610726
1999-02-08,101.48025590395463
1999-02-09,97.84178656657436
1999-02-10,97.720005036068
1999-02-11,97.50594236490646
1999-02-12,103.34090306373439
1999-02-15,103.34090306373439
1999-02-16,103.38927527084705
1999-02-17,103.38927527084705
1999-02-18,99.06687831600871
1999-02-19,94.52124083709751
1999-02-22,91.85294781339047
1999-02-23,91.46828383110858
1999-02-24,91.14427073129839
1999-02-25,91.45661265110516
1999-02-26,95.21388627252236
1999-03-01,95.5653737392113
1999-03-02,97.8052683072986
1999-03-03,97.51250850701533
1999-03-04,95.43697310546251
1999-03-05,95.84356922776328
1999-03-08,101.98474081634724
1999-03-09,102.55960795989135
1999-03-10,101.70258258886004
1999-03-11,103.79589631603422
1999-03-12,105.05358408549947
1999-03-15,105.57538832702252
1999-03-16,107.50457965508288
1999-03-17,107.5326355559773
1999-03-18,104.5343084784909
1999-03-19,109.989841078085
1999-03-22,111.13497813108877
1999-03-23,111.95983636342575
1999-03-24,110.67227228390637
1999-03-25,109.83462964930744
1999-03-26,110.21267141298611
1999-03-29,109.15111533638192
1999-03-30,112.91600289958977
1999-03-31,112.07101216732164
1999-04-01,115.8607873094922
1999-04-02,118.23165995316195
1999-04-05,118.07742363231422
1999-04-06,121.64581085163321
1999-04-07,123.60181297472234
1999-04-08,125.12088782278002
1999-04-09,126.52194138081472
1999-04-12,125.5761126502325
1999-04-13,125.87006874906227
1999-04-14,125.75361552397432
1999-04-15,131.93358166212388
1999-04-16,134.4184941647166
1999-04-19,145.89682710400868
1999-04-20,147.4576727096478
1999-04-21,141.50000625661008
1999-04-22,140.60304922932184
1999-04-23,143.71854606487972
1999-04-26,149.60747208190656
1999-04-27,153.332610756691
1999-04-28,152.2735936991373
1999-04-29,144.1199623806268
1999-04-30,141.86717125728882
1999-05-03,141.3244286758415
1999-05-04,143.51685137608678
1999-05-05,143.36710532860275
1999-05-06,152.49783944629436
1999-05-07,152.45939070177738
1999-05-10,152.93754977697213
1999-05-11,146.84082607934877
1999-05-12,144.93001953381184
1999-05-13,139.01303761589057
1999-05-14,138.98864641774833
1999-05-17,136.32557162337818
1999-05-18,140.15363143439706
1999-05-19,140.8916105617028
1999-05-20,136.28265648993028
1999-05-21,137.4482334251306
1999-05-24,134.963792380472
1999-05-25,135.84066779205546
1999-05-26,138.542895402483
1999-05-27,140.2334843623749
1999-05-28,141.5237930747574
1999-05-31,142.1660807797876
1999-06-01,145.77487319020483
1999-06-02,151.30031760146994
1999-06-03,152.31411935085308
1999-06-04,157.30833763108794
1999-06-07,166.85276985524644
1999-06-08,168.22759311381444
1999-06-09,158.30244095414446
1999-06-10,171.06575118503986
1999-06-11,170.1389479628519
1999-06-14,163.39445248674002
1999-06-15,161.08558902284997
1999-06-16,167.7376953591323
1999-06-17,168.8381384076724
1999-06-18,170.22910858125712
1999-06-21,178.60372594107625
1999-06-22,180.4901423269246
1999-06-23,183.04475064283963
1999-06-24,181.3209643982828
1999-06-25,183.0023536977378
1999-06-28,189.08525557795343
1999-06-29,187.57176137953877
1999-06-30,184.3283374450734
1999-07-01,191.9878372335771
1999-07-02,194.8512754192258
1999-07-05,200.984952488183
1999-07-06,205.73787569006623
1999-07-07,206.5097748657421
1999-07-08,202.4849872894961
1999-07-09,208.07270360930156
1999-07-12,201.22108333678497
1999-07-13,199.47756855074715
1999-07-14,191.95259523377496
1999-07-15,197.6807343646492
1999-07-16,205.8201804069922
1999-07-19,204.19810757713373
1999-07-20,197.9562547967292
1999-07-21,189.8112914504127
1999-07-22,190.56048276123093
1999-07-23,174.90858092160266
1999-07-26,170.85578002105987
1999-07-27,184.12342770393678
1999-07-28,188.0421237451094
1999-07-29,198.58776543030504
1999-07-30,191.80232892103766
1999-08-02,189.3646151729903
1999-08-03,193.09140291209056
1999-08-04,192.88014302719372
1999-08-05,186.0182576408473
1999-08-06,184.74297535204778
1999-08-09,186.21915168191512
1999-08-10,191.93956991027795
1999-08-11,185.91892955406672
1999-08-12,186.18344030108608
1999-08-13,179.25388097057532
1999-08-16,179.21678429264472
1999-08-17,173.13745780817177
1999-08-18,173.36563721756326
1999-08-19,173.11981032770393
1999-08-20,175.52025293761596
1999-08-23,184.12119191333733
1999-08-24,187.1773722792987
1999-08-25,197.34863898047507
1999-08-26,197.19581911033688
1999-08-27,199.39860661595756
1999-08-30,195.54820239884089
1999-08-31,195.4440465412768
1999-09-01,187.17062233090275
1999-09-02,186.0719249228632
1999-09-03,188.94060106846712
1999-09-06,195.7040005539021
1999-09-07,195.5841297780186
1999-09-08,193.44748761286394
1999-09-09,196.60619969496
1999-09-10,198.4664896267016
1999-09-13,203.63585037564687
1999-09-14,199.8434354844267
1999-09-15,195.84648054155124
1999-09-16,186.30349799861747
