Date,ARGENTINA
1998-12-31,100.95011840183244
1999-01-01,100.95011840183244
1999-01-04,102.71005450001682
1999-01-05,103.84755033915683
1999-01-06,106.97301446093441
1999-01-07,105.86560175707814
1999-01-08,103.42043240720105
1999-01-11,100.39627172923971
1999-01-12,96.77265511519174
1999-01-13,87.46559831968098
1999-01-14,85.33882766224563
1999-01-15,94.98455191497087
1999-01-18,93.70317893858102
1999-01-19,96.2404259009536
1999-01-20,96.66230654076669
1999-01-21,91.46025406541135
1999-01-22,91.41486285417315
1999-01-25,92.39149467963983
1999-01-26,91.47577110811089
1999-01-27,94.12068036225784
1999-01-28,94.19018350927631
1999-01-29,96.02182952406746
1999-02-01,99.67413818076761
1999-02-02,99.81347458169174
1999-02-03,100.85574922164922
1999-02-04,100.02862755003919
1999-02-05,100.01267945033406
1999-02-08,99.23571383555083
1999-02-09,97.81791081214563
1999-02-10,98.30689804316634
1999-02-11,99.2098483962139
1999-02-12,98.19623753287543
1999-02-15,99.0003456059934
1999-02-16,98.62268414654385
1999-02-17,96.61436633903885
1999-02-18,97.47765137156397
1999-02-19,99.38169174476461
1999-02-22,99.53861062781078
1999-02-23,98.03497173773088
1999-02-24,97.17820505435098
1999-02-25,95.89677251739127
1999-02-26,97.35620434112181
1999-03-01,97.66062346116729
1999-03-02,97.35361396108362
1999-03-03,97.28441467392155
1999-03-04,99.4729607468117
1999-03-05,100.62185183531692
1999-03-08,100.47219833229211
1999-03-09,100.88471887712699
1999-03-10,103.97267902041709
1999-03-11,104.89062652305442
1999-03-12,103.96380651451076
1999-03-15,105.43412681801213
1999-03-16,104.26884344928084
1999-03-17,104.44532444627092
1999-03-18,104.59901494453061
1999-03-19,104.23458905510472
1999-03-22,102.71527261163702
1999-03-23,102.4371207123997
1999-03-24,101.84492914683325
1999-03-25,104.03876298692529
1999-03-26,102.98712623298724
1999-03-29,104.78062622653786
1999-03-30,104.96739303109192
1999-03-31,105.55128043991864
1999-04-01,105.55128043991864
1999-04-02,105.55180840903789
1999-04-05,108.31008060814537
1999-04-06,108.6050820916451
1999-04-07,109.62941183855548
1999-04-08,109.16391670958807
1999-04-09,108.1423903474657
1999-04-12,107.10693791650982
1999-04-13,107.48061083678131
1999-04-14,108.38204491905047
1999-04-15,110.53381890181157
1999-04-16,117.44439257054809
1999-04-19,120.14869784585913
1999-04-20,118.07130491983769
1999-04-21,118.68285669911124
1999-04-22,118.20139025191148
1999-04-23,117.7264855624078
1999-04-26,117.88922321027867
1999-04-27,116.67579975858509
1999-04-28,118.39188413483691
1999-04-29,121.34034130950751
1999-04-30,136.69538228754547
1999-05-03,139.76836849977303
1999-05-04,139.6547148184715
1999-05-05,142.81650382135362
1999-05-06,143.90786646588515
1999-05-07,141.9302324468684
