Date,INDONESIA
1998-12-31,137.04649772728325
1999-01-01,137.04649772728325
1999-01-04,135.34092117190775
1999-01-05,143.09500242006263
1999-01-06,152.4080286938146
1999-01-07,169.5978531316464
1999-01-08,159.0705195124569
1999-01-11,159.24921307037852
1999-01-12,158.32953650854503
1999-01-13,143.21610355777932
1999-01-14,139.93782387889982
1999-01-15,140.85063715212715
1999-01-18,142.10450022820365
1999-01-19,142.10450022820365
1999-01-20,141.26612513068187
1999-01-21,137.61269162799374
1999-01-22,133.76876075253477
1999-01-25,120.44055989301859
1999-01-26,127.05585326830855
1999-01-27,131.35327648660706
1999-01-28,129.18424567847225
1999-01-29,132.7441572806463
1999-02-01,132.43758563569537
1999-02-02,131.97852783458316
1999-02-03,138.29877791631102
1999-02-04,133.66951167888067
1999-02-05,131.5114185517295
1999-02-08,126.66106616323553
1999-02-09,128.79649042919763
1999-02-10,130.9947971101769
1999-02-11,132.62631510864554
1999-02-12,131.56724307211374
1999-02-15,131.50932996310414
1999-02-16,130.8152812732689
1999-02-17,130.53887356246773
1999-02-18,130.48250496748753
1999-02-19,130.59354415134112
1999-02-22,127.83310699830893
1999-02-23,128.19431771143877
1999-02-24,130.35909185535417
1999-02-25,128.86018415948135
1999-02-26,127.22787814365077
1999-03-01,127.42327218778546
1999-03-02,127.2746630770449
1999-03-03,127.78213940580414
1999-03-04,126.48053207084942
1999-03-05,124.84667194773462
1999-03-08,122.29444405683961
1999-03-09,119.72233757144924
1999-03-10,116.49654807166428
1999-03-11,113.89871932911548
1999-03-12,116.22106679518772
1999-03-15,120.25627620845464
1999-03-16,123.81796804463417
1999-03-17,124.17476174914226
1999-03-18,124.17476174914226
1999-03-19,128.26553666491273
1999-03-22,126.44396806525579
1999-03-23,128.19559909619252
1999-03-24,126.51957113619201
1999-03-25,127.31970614945295
1999-03-26,126.87758181359993
1999-03-29,127.19118668481426
1999-03-30,129.6888289556645
1999-03-31,130.43631481589352
1999-04-01,130.83962210173027
1999-04-02,131.60253528620845
1999-04-05,130.0154052778887
1999-04-06,129.22984104826614
1999-04-07,130.23069984395835
1999-04-08,130.63660553139198
1999-04-09,138.30912355642445
1999-04-12,139.4782261145866
1999-04-13,144.46776840803227
1999-04-14,147.09737275154413
1999-04-15,153.40102376146723
1999-04-16,166.9173812395731
1999-04-19,176.03291665777525
1999-04-20,168.07552967117192
1999-04-21,164.4425476173396
1999-04-22,162.74974927741223
1999-04-23,161.7251622511035
1999-04-26,160.98490422316462
1999-04-27,161.2119971222236
1999-04-28,165.1714362678271
1999-04-29,177.01669260752573
1999-04-30,182.0950725521932
1999-05-03,196.9324184809624
1999-05-04,208.00547536549686
1999-05-05,209.58545291710024
1999-05-06,214.30354447156756
1999-05-07,217.92487757309303
1999-05-10,224.30824441934914
1999-05-11,224.62661165635953
1999-05-12,222.69293353970176
1999-05-13,223.40783933602606
1999-05-14,230.93835115057848
1999-05-17,226.80379399017912
1999-05-18,223.85227153490084
1999-05-19,229.0833130552466
1999-05-20,225.10194372907682
1999-05-21,223.2355595541981
1999-05-24,233.14839860501806
1999-05-25,238.44301325472958
1999-05-26,228.0755197067694
1999-05-27,226.33744942678274
1999-05-28,217.0187439461649
1999-05-31,220.26640880791712
1999-06-01,219.0057345209036
1999-06-02,215.74692092656124
1999-06-03,218.18939787068135
1999-06-04,234.17114920825725
1999-06-07,242.62607117067466
1999-06-08,279.13391648001016
1999-06-09,271.3772560167681
1999-06-10,264.4093200753862
1999-06-11,267.15242769878074
1999-06-14,281.22564072924195
1999-06-15,284.6482673727827
1999-06-16,281.19753660395304
1999-06-17,290.2449160579054
1999-06-18,302.5031524252504
1999-06-21,320.1207072052789
1999-06-22,323.5950154535775
1999-06-23,318.2096705405106
1999-06-24,304.31991206330207
1999-06-25,294.37646778860966
1999-06-28,306.8201171036598
1999-06-29,307.00511068908196
1999-06-30,288.85908268637746
1999-07-01,295.94246522697983
1999-07-02,297.44342999078356
1999-07-05,303.71387189337736
1999-07-06,310.5459522710973
1999-07-07,303.54184153617524
1999-07-08,307.38355911069596
1999-07-09,301.0785828611398
1999-07-12,305.1773777379573
1999-07-13,299.55501364800097
1999-07-14,298.10440250839224
1999-07-15,297.094923487993
1999-07-16,295.29970207752416
1999-07-19,295.657115232202
1999-07-20,289.96179580964554
1999-07-21,285.384819663423
1999-07-22,284.3141699387632
1999-07-23,270.5813982247012
1999-07-26,251.68145688102425
1999-07-27,238.4396843952998
1999-07-28,256.478459808883
1999-07-29,261.98771668333495
1999-07-30,249.35411955196977
1999-08-02,251.56538946116908
1999-08-03,262.7814063998078
1999-08-04,259.7773471696257
1999-08-05,251.30406371744277
1999-08-06,252.41731023452618
1999-08-09,244.2511233153805
1999-08-10,226.59271908577446
1999-08-11,202.9246052859657
1999-08-12,208.98819331628494
1999-08-13,205.80688225733735
1999-08-16,216.66913010767277
1999-08-17,213.69718361283816
1999-08-18,221.02546824487925
1999-08-19,227.99234618729872
1999-08-20,221.50094695734913
1999-08-23,225.1079998138114
1999-08-24,218.73762086414484
1999-08-25,228.1869248047719
1999-08-26,225.11850579832716
1999-08-27,219.55269805705296
1999-08-30,210.84217067172443
1999-08-31,211.87003859118872
1999-09-01,212.16326464819096
1999-09-02,208.50919524975342
1999-09-03,202.6896006925929
1999-09-06,187.4857458330917
1999-09-07,183.94511256175298
1999-09-08,164.52601441631546
1999-09-09,174.83511656298901
1999-09-10,196.4372105546797
1999-09-13,206.09341907478554
1999-09-14,200.82531744052432
1999-09-15,192.9513753254572
1999-09-16,193.25795519319806
