Date,USA
1998-12-31,2563.6989039598384
1999-01-01,2563.6989039598384
1999-01-04,2560.7462662951584
1999-01-05,2594.3332343619586
1999-01-06,2652.1419014884254
1999-01-07,2650.964650951727
1999-01-08,2661.20788428551
1999-01-11,2636.491416974367
1999-01-12,2585.6854677670776
1999-01-13,2577.090897924453
1999-01-14,2532.4018317540554
1999-01-15,2593.985314783702
1999-01-18,2593.985314783702
1999-01-19,2612.359062821503
1999-01-20,2622.1106043424948
1999-01-21,2573.6197265194587
1999-01-22,2553.8986521596707
1999-01-25,2574.396552924348
1999-01-26,2617.076320078767
1999-01-27,2598.657015111443
1999-01-28,2644.697996624866
1999-01-29,2673.049660796878
1999-02-01,2656.799065643381
1999-02-02,2632.109055704927
1999-02-03,2653.9489246608814
1999-02-04,2603.942798237649
1999-02-05,2583.131972384755
1999-02-08,2592.733768252767
1999-02-09,2535.670958048429
1999-02-10,2553.291260615345
1999-02-11,2614.4759346434917
1999-02-12,2569.840321595241
1999-02-15,2569.840321595241
1999-02-16,2593.970983706829
1999-02-17,2561.6293580196166
1999-02-18,2586.6508029523743
1999-02-19,2593.917325488769
1999-02-22,2658.574222038461
1999-02-23,2661.6385087904077
1999-02-24,2624.934877603053
1999-02-25,2610.3358429204754
1999-02-26,2598.023140557439
1999-03-01,2594.995053234016
1999-03-02,2575.485740403695
1999-03-03,2577.4141290822645
1999-03-04,2614.5343869785015
1999-03-05,2673.1832295097747
1999-03-08,2689.476100058198
1999-03-09,2685.637806970157
1999-03-10,2698.742846116452
1999-03-11,2723.5565801640105
1999-03-12,2714.459320240298
1999-03-15,2742.539334876447
1999-03-16,2741.3556238185106
1999-03-17,2722.2679112729456
1999-03-18,2763.77888809705
1999-03-19,2728.349184532062
1999-03-22,2723.4383167335704
1999-03-23,2652.879426389117
1999-03-24,2663.8700548643706
1999-03-25,2710.4636929505205
1999-03-26,2694.3515631748255
1999-03-29,2751.9359579211746
1999-03-30,2738.205427516292
1999-03-31,2705.671703870206
1999-04-01,2722.217457678516
1999-04-02,2722.217457678516
1999-04-05,2780.1978926315483
1999-04-06,2771.534538747331
1999-04-07,2791.2353598857776
1999-04-08,2830.189303423072
1999-04-09,2839.5766458777675
1999-04-12,2863.821674597461
1999-04-13,2845.267903622624
1999-04-14,2798.2638173419505
1999-04-15,2786.1702599612245
1999-04-16,2773.4649014740567
1999-04-19,2708.888351248015
1999-04-20,2746.688758463473
1999-04-21,2816.682301925626
1999-04-22,2858.1506187999676
1999-04-23,2856.1531640729254
1999-04-26,2864.522461692858
1999-04-27,2863.874358609937
1999-04-28,2836.9763886274372
1999-04-29,2820.5043155256267
1999-04-30,2802.0021518097265
1999-05-03,2841.5480021499675
1999-05-04,2794.7013013450082
1999-05-05,2830.355149105169
1999-05-06,2797.7349775320417
1999-05-07,2820.3276253971662
1999-05-10,2813.2803247540487
1999-05-11,2845.726549356543
1999-05-12,2860.659403273404
1999-05-13,2867.439028113959
1999-05-14,2805.0416475932725
1999-05-17,2815.132135746357
1999-05-18,2801.905910552872
1999-05-19,2827.141193611209
1999-05-20,2815.746423640735
1999-05-21,2796.2692339576806
1999-05-24,2746.9720728293496
1999-05-25,2699.8919985131624
1999-05-26,2743.847103324346
1999-05-27,2696.1650725055088
1999-05-28,2736.3240570756207
1999-05-31,2736.3240570756207
1999-06-01,2717.615131043116
1999-06-02,2724.6049791937958
1999-06-03,2734.9580413886238
1999-06-04,2798.7227450827486
1999-06-07,2807.5556876494625
1999-06-08,2770.977831530336
1999-06-09,2774.1847368523104
1999-06-10,2739.5998489871445
1999-06-11,2719.2253903246938
1999-06-14,2716.299133121736
1999-06-15,2733.3514481964794
1999-06-16,2795.3095901839506
1999-06-17,2816.5359147182094
1999-06-18,2821.0233107317445
1999-06-21,2833.4117703973934
1999-06-22,2806.7956021984164
1999-06-23,2799.3683870147215
1999-06-24,2762.7662013929967
1999-06-25,2762.6451178937627
1999-06-28,2799.5722779885537
1999-06-29,2841.047824493805
1999-06-30,2882.877161447803
1999-07-01,2904.3009420716444
1999-07-02,2930.294208347926
1999-07-05,2930.294208347926
1999-07-06,2921.252452505484
1999-07-07,2932.024166731329
1999-07-08,2930.455952111777
1999-07-09,2945.7697973227564
1999-07-12,2939.03880585041
1999-07-13,2929.61154660378
1999-07-14,2937.7063489820657
1999-07-15,2960.0862354751503
1999-07-16,2980.7950773856446
1999-07-19,2963.0956590705523
1999-07-20,2894.39570680136
1999-07-21,2898.5894311054467
1999-07-22,2861.824296781386
1999-07-23,2852.6699432830824
1999-07-26,2832.3706779094846
1999-07-27,2862.174549325645
1999-07-28,2866.7140397009084
1999-07-29,2815.2961868392217
1999-07-30,2788.056014327021
1999-08-02,2785.161393168538
1999-08-03,2772.8607914643276
1999-08-04,2738.3832713092593
1999-08-05,2757.434707515333
1999-08-06,2729.031307899438
1999-08-09,2718.7189316062163
1999-08-10,2687.998307098989
1999-08-11,2730.388683921129
1999-08-12,2721.8234940679445
1999-08-13,2782.9132343256774
1999-08-16,2792.3216247483742
1999-08-17,2819.1982391190045
1999-08-18,2792.5632020960948
1999-08-19,2772.5234343255556
1999-08-20,2802.303283882986
1999-08-23,2857.189590628829
1999-08-24,2867.39149713628
1999-08-25,2905.195160249346
1999-08-26,2864.3487710921154
1999-08-27,2836.1134219393753
1999-08-30,2785.4726518524676
1999-08-31,2769.978681156496
1999-09-01,2787.954414939457
1999-09-02,2765.1892045011073
1999-09-03,2849.2055913171725
1999-09-06,2849.2055913171725
1999-09-07,2835.763092484149
1999-09-08,2821.291191630219
1999-09-09,2828.6971537500003
1999-09-10,2838.3600938368713
1999-09-13,2820.9380421061987
1999-09-14,2805.2542551433776
1999-09-15,2766.322128683756
1999-09-16,2767.6558930385413
1999-09-17,2800.9796461388714
1999-09-20,2800.576632671169
1999-09-21,2743.970442878615
1999-09-22,2748.8405991385116
1999-09-23,2683.9272814244455
1999-09-24,2682.228753989605
1999-09-27,2690.6932673868314
1999-09-28,2691.310836815806
1999-09-29,2659.459518543976
1999-09-30,2687.154952707542
1999-10-01,2685.113530544297
1999-10-04,2729.4560102598684
1999-10-05,2726.0099374671436
1999-10-06,2776.124995456805
1999-10-07,2762.1367620380965
1999-10-08,2798.6689843167323
1999-10-11,2797.0032209538845
1999-10-12,2746.181863916182
1999-10-13,2687.717658979972
1999-10-14,2691.1958805569525
1999-10-15,2613.3031449428863
1999-10-18,2627.8576738124907
1999-10-19,2646.7706190037725
1999-10-20,2700.8784842144173
1999-10-21,2693.2564279140215
1999-10-22,2728.1490365586296
1999-10-25,2712.9465584280383
1999-10-26,2691.193701412884
1999-10-27,2720.1927508321246
1999-10-28,2814.8912762343302
1999-10-29,2861.4200271012205
1999-11-01,2843.434320529523
1999-11-02,2828.9153501637165
1999-11-03,2841.403178798883
1999-11-04,2857.0737370753595
1999-11-05,2873.5113540639004
1999-11-08,2890.2660236958945
1999-11-09,2864.4976963614463
1999-11-10,2877.7947821926364
1999-11-11,2894.1830736142656
1999-11-12,2923.7595193006555
1999-11-15,2918.247823027032
1999-11-16,2971.3960957379254
1999-11-17,2950.2978279639196
1999-11-18,2982.464788844805
1999-11-19,2978.3594865159157
1999-11-22,2983.7846579515303
1999-11-23,2954.545774499825
1999-11-24,2981.0493963169174
1999-11-25,2981.0493963169174
1999-11-26,2980.4688210631266
1999-11-29,2962.024520031489
1999-11-30,2922.4361379264315
1999-12-01,2947.317656173011
1999-12-02,2972.558066629156
1999-12-03,3023.7755664214983
1999-12-06,3007.278240885484
1999-12-07,2983.487345789638
1999-12-08,2974.086031175916
1999-12-09,2991.47708778684
1999-12-10,3007.690534943219
1999-12-13,3009.656892002556
1999-12-14,2982.0184745026145
1999-12-15,3008.199608634578
1999-12-16,3022.2541136699547
1999-12-17,3028.2020233120866
1999-12-20,3030.2417021600772
1999-12-21,3052.701627332943
1999-12-22,3061.1591161951724
1999-12-23,3106.720198910763
1999-12-24,3106.720198910763
1999-12-27,3099.202638977693
1999-12-28,3102.7696158107283
