Date,ACWI
1998-12-31,92.18381728083641
1999-01-01,92.18383571759988
1999-01-04,93.14410163647993
1999-01-05,94.09073725613683
1999-01-06,95.8840415984768
1999-01-07,95.6299120165115
1999-01-08,95.53266085479474
1999-01-11,94.6868761749194
1999-01-12,93.0592980556106
1999-01-13,91.66308472458955
1999-01-14,90.99709167458609
1999-01-15,92.44828619974793
1999-01-18,93.26475642572794
1999-01-19,93.48471715397993
1999-01-20,94.06696120598376
1999-01-21,92.937957418762
1999-01-22,91.49797889864873
1999-01-25,91.8796189803532
1999-01-26,92.83111729637169
1999-01-27,92.49406007421871
1999-01-28,93.30466464390517
1999-01-29,93.99691625426108
1999-02-01,94.1742880589293
1999-02-02,93.79975074034633
1999-02-03,93.67982420325481
1999-02-04,92.61228489804323
1999-02-05,91.95919573878271
1999-02-08,91.8088466983122
1999-02-09,90.12029820225382
1999-02-10,90.20670854705837
1999-02-11,91.75995240162644
1999-02-12,91.30861858854311
1999-02-15,91.30824155673044
1999-02-16,91.5811093432344
1999-02-17,90.75986399551923
1999-02-18,91.15429366003326
1999-02-19,91.0471023172991
1999-02-22,92.56915024626116
1999-02-23,92.82213213970131
1999-02-24,92.37787896562334
1999-02-25,92.00449302291817
1999-02-26,91.58901594924258
1999-03-01,90.94622740972504
1999-03-02,90.48595176636547
1999-03-03,90.28451906354877
1999-03-04,90.91991353908222
1999-03-05,93.15110576291693
1999-03-08,93.51770328931752
1999-03-09,93.78940587237106
1999-03-10,94.55628120465398
1999-03-11,95.16146427775
1999-03-12,95.47955744501193
1999-03-15,96.1474227483444
1999-03-16,96.38960991678094
1999-03-17,96.20635125354116
1999-03-18,96.52971733515156
1999-03-19,96.53652142270506
1999-03-22,96.1742113656462
1999-03-23,94.25160262648275
1999-03-24,93.98770893459107
1999-03-25,95.36293293225543
1999-03-26,94.64563590058248
1999-03-29,96.05072376769313
1999-03-30,95.80755299792618
1999-03-31,95.76136153076311
1999-04-01,96.34775754189728
1999-04-02,96.27662574296886
1999-04-05,97.11159633923897
1999-04-06,97.7111709488916
1999-04-07,98.4070241809887
1999-04-08,99.53180318386447
1999-04-09,99.64704862671445
1999-04-12,100.03419392598695
1999-04-13,100.08244570146627
1999-04-14,99.50446515101167
1999-04-15,98.83430354879076
1999-04-16,98.81254632423612
1999-04-19,97.98713887717072
1999-04-20,97.86626192492307
1999-04-21,98.8172836506062
1999-04-22,99.95930102731349
1999-04-23,100.19751599506341
1999-04-26,100.56778151555362
1999-04-27,101.24599445237585
1999-04-28,100.73834277980114
1999-04-29,100.1132885630521
1999-04-30,99.86538507610595
1999-05-03,100.6872849289238
1999-05-04,99.98897591993436
1999-05-05,100.33178264677113
1999-05-06,100.4396414003424
1999-05-07,100.51463938856756
1999-05-10,100.53408003379391
1999-05-11,100.73691485247146
1999-05-12,100.68675210645992
1999-05-13,100.84887302039722
1999-05-14,99.2277357844018
1999-05-17,98.38348780876055
1999-05-18,98.53458169447471
1999-05-19,98.9250188778623
1999-05-20,98.94920883335497
1999-05-21,98.42135784273769
1999-05-24,97.44730399030693
1999-05-25,96.24320265633735
1999-05-26,96.7812694575857
1999-05-27,95.5039271589483
1999-05-28,96.32499643557246
1999-05-31,96.37437930648981
1999-06-01,96.41727335850875
1999-06-02,96.59191375667095
1999-06-03,96.89858350529545
1999-06-04,98.17934029252493
1999-06-07,98.90221813249606
1999-06-08,98.81185771112105
1999-06-09,99.05880340820563
1999-06-10,98.53366907468363
1999-06-11,98.69276635941411
1999-06-14,98.10190496417086
1999-06-15,98.4005519551774
1999-06-16,99.67160823931442
1999-06-17,100.42792668084235
1999-06-18,100.71747236356876
1999-06-21,101.2456736526917
1999-06-22,100.73011721778518
1999-06-23,100.0195643541845
1999-06-24,99.11854774018535
1999-06-25,99.30749691046587
1999-06-28,99.90434380096517
1999-06-29,100.6539604789768
1999-06-30,101.17865325201402
1999-07-01,102.42101547934602
1999-07-02,103.18347428494305
1999-07-05,103.93457143506018
1999-07-06,103.6500691289772
1999-07-07,103.47687878226083
1999-07-08,103.11943787443073
1999-07-09,103.47393719665139
1999-07-12,103.34676685519797
1999-07-13,102.83687235034883
1999-07-14,103.33196397781902
1999-07-15,104.39700878893498
1999-07-16,104.44790439629391
1999-07-19,104.15064384989925
1999-07-20,102.9417028655224
1999-07-21,102.74312601736507
1999-07-22,101.59470924006214
1999-07-23,100.74531925109297
1999-07-26,100.3995460490161
1999-07-27,101.08770838523745
1999-07-28,101.52654668188835
1999-07-29,100.49550571545277
1999-07-30,100.70284463544264
1999-08-02,100.39224601252563
1999-08-03,100.18444248609664
1999-08-04,99.59013249424892
1999-08-05,99.05341987327644
1999-08-06,98.32753776270012
1999-08-09,98.13432601270851
1999-08-10,97.19874046722907
1999-08-11,97.8392612848415
1999-08-12,98.47278535072232
1999-08-13,99.85506417592319
1999-08-16,100.5478956224898
1999-08-17,100.91381467599523
1999-08-18,100.75712062338124
1999-08-19,100.36887372749224
1999-08-20,101.56369952576705
1999-08-23,103.01696542130318
1999-08-24,102.93219410476989
1999-08-25,103.73524052327748
1999-08-26,102.73371958064973
1999-08-27,102.24813394841755
1999-08-30,101.49408691614741
1999-08-31,100.58064300174064
1999-09-01,101.6331959837769
1999-09-02,101.0277243753328
1999-09-03,102.7819049837806
1999-09-06,103.2526278191526
1999-09-07,102.68225612097636
1999-09-08,102.36350660493538
1999-09-09,103.11149162938112
1999-09-10,103.14038203771693
1999-09-13,102.86717593660354
1999-09-14,102.47000103801089
1999-09-15,101.58895881354016
1999-09-16,101.01608248104841
