Date,COLOMBIA
1998-12-31,191.9459380617248
1999-01-01,191.9459380617248
1999-01-04,193.2533336712665
1999-01-05,192.77145147430315
1999-01-06,193.20346611655805
1999-01-07,191.08416030306844
1999-01-08,189.08589751757995
1999-01-11,189.08589751757995
1999-01-12,181.40346864827254
1999-01-13,170.10731967010216
1999-01-14,166.91704573681903
1999-01-15,167.25129847390033
1999-01-18,167.98920392142853
1999-01-19,162.76283657772433
1999-01-20,166.35572671338883
1999-01-21,163.63819643095795
1999-01-22,161.6540071216481
1999-01-25,160.08201403648835
1999-01-26,153.03915479118075
1999-01-27,158.26500771977092
1999-01-28,148.66034585104126
1999-01-29,147.06866295155513
1999-02-01,146.55186770791772
1999-02-02,144.7563919670727
1999-02-03,143.46540389631653
1999-02-04,143.58696709780978
1999-02-05,146.02903000615018
1999-02-08,145.61508515450438
1999-02-09,147.42685134711272
1999-02-10,155.4173246551185
1999-02-11,158.40438734323507
1999-02-12,160.79391272886858
1999-02-15,160.83780116760641
1999-02-16,160.10230272214147
1999-02-17,161.16385973259185
1999-02-18,164.34033851130647
1999-02-19,164.59145178477573
1999-02-22,164.75400312188268
1999-02-23,164.52207868384144
1999-02-24,161.55972711579096
1999-02-25,155.77560326526702
1999-02-26,157.57580087618837
1999-03-01,155.93326190041276
1999-03-02,155.2406979223735
1999-03-03,159.77937287594642
1999-03-04,161.2885324582817
1999-03-05,162.1218945402674
1999-03-08,164.1993369446657
1999-03-09,162.82581212054302
1999-03-10,161.62067379004432
1999-03-11,159.39878438941702
1999-03-12,160.87042813815813
1999-03-15,160.92950909789351
1999-03-16,162.21405546296833
1999-03-17,163.4096291273734
1999-03-18,163.97949550342548
1999-03-19,165.8470661386065
1999-03-22,165.8470661386065
1999-03-23,166.04512171587672
1999-03-24,166.2360925685731
1999-03-25,168.40489932002944
1999-03-26,166.51801124564187
1999-03-29,167.11786725505672
1999-03-30,163.76236433883065
1999-03-31,164.5370082389039
1999-04-01,164.5370082389039
1999-04-02,164.5370082389039
1999-04-05,165.35760591600848
1999-04-06,163.56391335292804
1999-04-07,162.89713155328923
1999-04-08,165.86440845411036
1999-04-09,168.08154719277064
1999-04-12,177.00100237126696
1999-04-13,178.89798680199658
1999-04-14,180.76543843069598
1999-04-15,178.42205492911313
1999-04-16,180.6699434070509
1999-04-19,187.9171406201815
1999-04-20,187.45288865762913
1999-04-21,188.55319379459604
1999-04-22,192.93310642387937
1999-04-23,194.80026821421228
1999-04-26,200.08938844344704
1999-04-27,202.71449291778245
1999-04-28,205.2434247993114
1999-04-29,210.5900289980769
1999-04-30,210.10869384703702
1999-05-03,215.03499594468806
1999-05-04,223.7374562402056
1999-05-05,219.43527403799973
1999-05-06,210.06488986451194
1999-05-07,220.23766564287916
1999-05-10,221.93298975162173
1999-05-11,222.4028983609688
1999-05-12,227.66260863357368
1999-05-13,229.22332681433176
1999-05-14,227.16435536755307
1999-05-17,227.85273300468322
1999-05-18,225.37080868338558
1999-05-19,222.3506602739253
1999-05-20,219.96977821388273
1999-05-21,214.39194058245306
1999-05-24,210.7489372012794
1999-05-25,201.98263760622194
1999-05-26,191.53137514415846
1999-05-27,203.50693020631397
1999-05-28,207.58409418533006
1999-05-31,204.01379416711606
1999-06-01,197.99206235932488
1999-06-02,195.38843471599915
1999-06-03,195.32469330888765
1999-06-04,193.22204264444363
1999-06-07,193.5615009553652
1999-06-08,190.7183305397166
1999-06-09,186.53765395522257
1999-06-10,178.873444594356
1999-06-11,171.90625619621042
1999-06-14,172.05094696378075
1999-06-15,169.2084848286436
1999-06-16,163.94259197737372
1999-06-17,168.39185083516
1999-06-18,173.11856946587386
1999-06-21,170.87242769597248
1999-06-22,166.79257071544538
1999-06-23,162.85923182781892
1999-06-24,160.31136639895954
1999-06-25,154.65507086534717
1999-06-28,159.09546757917312
1999-06-29,159.23021170823307
1999-06-30,157.36241649630452
1999-07-01,156.7340392399531
1999-07-02,158.0384596874548
1999-07-05,158.0384596874548
1999-07-06,153.72404093169752
1999-07-07,152.14716858079223
1999-07-08,144.98804384188188
1999-07-09,144.4481133543299
1999-07-12,138.81179747341037
1999-07-13,139.09667403738467
1999-07-14,140.80205611328168
1999-07-15,148.4994106987328
1999-07-16,153.92616000447651
1999-07-19,153.49119899207238
1999-07-20,153.49119899207238
1999-07-21,155.63498942942113
1999-07-22,152.73075333303757
1999-07-23,147.5534819213708
1999-07-26,146.81002155839508
1999-07-27,148.14840492017746
1999-07-28,148.50523433849358
1999-07-29,149.52373403611793
1999-07-30,146.9131176411874
1999-08-02,145.86383941239487
1999-08-03,141.30644397148276
1999-08-04,135.97652755257238
1999-08-05,134.8059817190312
1999-08-06,136.3020275548781
1999-08-09,134.0099320079453
1999-08-10,133.25277822174831
1999-08-11,133.72872736976615
1999-08-12,135.32280575455928
1999-08-13,139.03200937031107
1999-08-16,139.03200937031107
1999-08-17,142.60544770461237
1999-08-18,140.77431992523177
1999-08-19,138.13595390603564
1999-08-20,136.91204326279453
1999-08-23,137.9255542854887
1999-08-24,138.2623483867899
1999-08-25,138.7725291734017
1999-08-26,139.33764296802735
1999-08-27,134.72835878167902
1999-08-30,136.2563041129724
1999-08-31,136.43958177247126
1999-09-01,137.69862620021522
1999-09-02,137.86961931967812
1999-09-03,137.82978477915216
1999-09-06,137.19915983586603
1999-09-07,137.15843850510623
1999-09-08,136.93030307988235
1999-09-09,135.9366680590745
1999-09-10,134.34363002126562
1999-09-13,134.07882716349383
1999-09-14,135.28508453881142
1999-09-15,135.16054425581882
1999-09-16,134.28681594305877
1999-09-17,135.3791130954897
1999-09-20,136.00089316994993
1999-09-21,133.72624934770576
1999-09-22,132.7335567814538
1999-09-23,131.20488589451458
1999-09-24,131.22510931854876
1999-09-27,132.89699490879462
1999-09-28,133.56131980042622
1999-09-29,135.1142181036676
1999-09-30,135.95956912894465
1999-10-01,136.82339687021948
1999-10-04,135.298017856118
1999-10-05,134.45387417079138
1999-10-06,133.93702326283196
1999-10-07,131.78346853561402
1999-10-08,131.621456566593
1999-10-11,129.92150656074315
1999-10-12,131.20533312855025
1999-10-13,132.26864644433388
1999-10-14,132.7120780309847
1999-10-15,133.59904869401163
1999-10-18,133.32826288135044
1999-10-19,134.73254704204754
1999-10-20,135.08788504042494
1999-10-21,134.95203530276174
1999-10-22,133.48800604938356
1999-10-25,132.7508184796637
1999-10-26,131.53422097666274
1999-10-27,134.58310561251022
1999-10-28,137.0383878376049
1999-10-29,139.7889865662451
1999-11-01,139.7889865662451
1999-11-02,143.15530179716214
1999-11-03,147.93032170372987
1999-11-04,148.63654839364037
1999-11-05,148.15433029128542
1999-11-08,149.68568650189815
1999-11-09,151.91204824288226
1999-11-10,155.40742024471453
1999-11-11,158.18045745351412
1999-11-12,160.83941927186424
1999-11-15,160.83941927186424
1999-11-16,160.85531239553575
1999-11-17,158.7130997537979
1999-11-18,157.45160033750614
1999-11-19,153.85758923756336
1999-11-22,153.475094727869
1999-11-23,155.81820950513855
1999-11-24,156.59253093603584
1999-11-25,157.14292247721218
1999-11-26,159.87245513915008
1999-11-29,159.8382887621751
1999-11-30,160.46032604419236
1999-12-01,161.60139090110664
1999-12-02,162.33387579534397
1999-12-03,160.35801885920543
1999-12-06,160.98119054171664
1999-12-07,158.75872338381578
