Date,HUNGARY
1998-12-31,122.55217861650797
1999-01-01,122.55217861650797
1999-01-04,123.91335831127081
1999-01-05,124.00362534395258
1999-01-06,123.51311392560538
1999-01-07,134.90939910746485
1999-01-08,135.6554673583593
1999-01-11,133.42994553064102
1999-01-12,132.9054883843388
1999-01-13,119.02877039219514
1999-01-14,120.76525755531854
1999-01-15,113.84871774912759
1999-01-18,125.41006723484385
1999-01-19,126.39192587739645
1999-01-20,131.37103951736083
1999-01-21,128.45511386379752
1999-01-22,123.90807508685064
1999-01-25,128.8630692325415
1999-01-26,127.32685806523502
1999-01-27,127.71449550828618
1999-01-28,128.13207980170407
1999-01-29,129.22155886543052
1999-02-01,129.63437097701308
1999-02-02,128.6111325913506
1999-02-03,128.26481851740718
1999-02-04,130.19295155192927
1999-02-05,127.94839491982827
1999-02-08,126.47328336669281
1999-02-09,124.67470391675158
1999-02-10,125.17663964918943
1999-02-11,126.8737630525412
1999-02-12,127.31015420328957
1999-02-15,125.62875179341073
1999-02-16,125.70810310354314
1999-02-17,121.2853775800195
1999-02-18,118.63017188228852
1999-02-19,113.50408509107474
1999-02-22,108.91201574161703
1999-02-23,104.96003029346441
1999-02-24,109.27557168157004
1999-02-25,109.24541771802146
1999-02-26,110.04201423215946
1999-03-01,109.9988905715479
1999-03-02,107.82583333149535
1999-03-03,104.34776573670527
1999-03-04,100.18236302262271
1999-03-05,102.10866145103093
1999-03-08,111.31676645399658
1999-03-09,115.0096422819439
1999-03-10,114.48187622681907
1999-03-11,113.32046025976648
1999-03-12,113.9514532404618
1999-03-15,113.89489173346492
1999-03-16,112.7248799566042
1999-03-17,111.78474420326158
1999-03-18,107.39482099586645
1999-03-19,107.93738032447209
1999-03-22,106.21836665097585
1999-03-23,103.28445401415699
1999-03-24,102.22380902701542
1999-03-25,104.99184238798969
1999-03-26,101.96848014152042
1999-03-29,100.092284720296
1999-03-30,100.19505697728381
1999-03-31,103.9784216573562
1999-04-01,104.14179964323522
1999-04-02,104.96218843732986
1999-04-05,104.62417482244409
1999-04-06,105.36824914939243
1999-04-07,106.3218350043382
1999-04-08,109.71258294634222
1999-04-09,110.9149043795734
1999-04-12,108.4789690398231
1999-04-13,106.74369759431158
1999-04-14,107.60383741306227
1999-04-15,106.54468511145623
1999-04-16,108.04203865948881
1999-04-19,107.66195410720579
1999-04-20,109.19167368561097
1999-04-21,110.69130302760045
1999-04-22,111.38425103667356
1999-04-23,111.63533716574486
1999-04-26,111.45040592821253
1999-04-27,112.36572363986352
1999-04-28,110.62014433060857
1999-04-29,108.6088118475455
1999-04-30,109.59392302491858
1999-05-03,111.12797972492501
1999-05-04,115.05256740802612
1999-05-05,116.19618879874358
1999-05-06,122.31559041016703
1999-05-07,120.08581847289433
1999-05-10,119.58800171917979
1999-05-11,119.44019521311576
1999-05-12,118.84859417919316
1999-05-13,117.59899334097351
1999-05-14,118.49540125146396
1999-05-17,117.53883982962138
1999-05-18,120.2578474170619
1999-05-19,120.76849660939936
1999-05-20,118.65559900830789
1999-05-21,119.03054249669795
1999-05-24,119.11604960276225
1999-05-25,116.02699693751099
1999-05-26,116.90645343065519
1999-05-27,115.14007946773259
1999-05-28,113.24325851484701
1999-05-31,116.59865873197269
1999-06-01,116.07490258413218
1999-06-02,112.07314379415624
1999-06-03,113.71246056037639
1999-06-04,113.45488774449093
1999-06-07,111.02380914757919
1999-06-08,112.69183988924918
1999-06-09,113.02651518278944
1999-06-10,113.80256827522597
1999-06-11,113.77906031632374
1999-06-14,112.89547258923837
1999-06-15,113.48333210514782
1999-06-16,114.22474950086377
1999-06-17,113.84895917691946
1999-06-18,115.07944310079672
1999-06-21,114.91569623286004
1999-06-22,113.206321288212
1999-06-23,111.66395432497359
1999-06-24,113.12134728412468
1999-06-25,113.63508601688507
1999-06-28,112.67557598962499
1999-06-29,111.54859105715472
1999-06-30,111.89226903373614
1999-07-01,112.29112612873963
1999-07-02,113.47705620808088
1999-07-05,114.86368508825521
1999-07-06,118.40219174097359
1999-07-07,118.21132775247445
1999-07-08,119.42969126588656
1999-07-09,123.82689039612615
1999-07-12,125.36499744563586
1999-07-13,121.22633194036207
1999-07-14,122.56888983158413
1999-07-15,123.78691142441787
1999-07-16,123.10306904221598
1999-07-19,122.48586563265859
1999-07-20,122.89579899356545
1999-07-21,124.07504507708494
1999-07-22,123.52019499048583
1999-07-23,124.3421843160332
1999-07-26,124.73649962729716
1999-07-27,125.88116516257642
1999-07-28,127.51251358614293
1999-07-29,125.86929720959921
1999-07-30,127.79647556264989
1999-08-02,126.41798047057033
1999-08-03,126.59141999031377
1999-08-04,126.71526999650183
1999-08-05,125.45054009183197
1999-08-06,125.67625056679891
1999-08-09,124.21287583580956
1999-08-10,122.35514290029371
1999-08-11,120.6899038972526
1999-08-12,122.37492037087885
1999-08-13,122.88723259628016
1999-08-16,121.88810635176048
1999-08-17,121.23560178715262
1999-08-18,120.69266377231504
1999-08-19,122.14551984981375
1999-08-20,122.29140718876063
1999-08-23,124.04634458237473
1999-08-24,123.51093249682602
1999-08-25,124.82496636847506
1999-08-26,125.12295934391182
1999-08-27,125.65123521609972
1999-08-30,125.09779693059829
1999-08-31,125.41618013751327
1999-09-01,125.63676057828332
1999-09-02,122.78470912021494
1999-09-03,123.76056760810246
1999-09-06,125.26161978088568
1999-09-07,124.6488012882792
1999-09-08,123.41307948428786
1999-09-09,123.62678229679396
1999-09-10,124.06583405534012
1999-09-13,121.59462942410576
1999-09-14,119.60355481616801
1999-09-15,117.88771034201079
1999-09-16,114.14617517154379
