Date,SAUDIARABIA
2014-08-29,1138.8136637401167
2014-09-01,1143.20893829551
2014-09-02,1137.9063525930637
2014-09-03,1140.98412853892
2014-09-04,1138.7256812639591
2014-09-05,1138.7256812639591
2014-09-08,1143.2918409122315
2014-09-09,1142.6097213437592
2014-09-10,1138.6659296450807
2014-09-11,1129.6434142868313
2014-09-12,1129.6434142868313
2014-09-15,1117.787318347969
2014-09-16,1124.7669894315436
2014-09-17,1134.8442784349627
2014-09-18,1134.7228199194706
2014-09-19,1134.7228199194706
2014-09-22,1117.3940686623912
2014-09-23,1117.3940686623912
2014-09-24,1103.036067057182
2014-09-25,1104.0360722018056
2014-09-26,1103.9919225321626
2014-09-29,1099.1429694334622
2014-09-30,1106.3589413888074
2014-10-01,1105.9949948171684
2014-10-02,1104.9542338128674
2014-10-03,1104.9395075692967
2014-10-06,1104.9247817182486
2014-10-07,1105.013142712681
2014-10-08,1105.16044244644
2014-10-09,1105.1309793581315
2014-10-10,1105.1309793581315
2014-10-13,1061.5486040118633
2014-10-14,1033.9362321908407
2014-10-15,1002.563458602379
2014-10-16,966.3967010007573
2014-10-17,966.3838203484457
2014-10-20,998.3925387713394
2014-10-21,1025.7066452349297
2014-10-22,1035.149031032363
2014-10-23,1029.6175449583639
2014-10-24,1029.713600331529
2014-10-27,1033.0219601142685
2014-10-28,1032.1489746383577
2014-10-29,1024.2025413597742
2014-10-30,1018.3387542845559
2014-10-31,1018.3116112511905
2014-11-03,1026.0393899740802
2014-11-04,984.2967471422722
2014-11-05,962.2354088858044
2014-11-06,965.7031764871184
2014-11-07,965.6388297356634
2014-11-10,973.6426618709872
2014-11-11,967.7324442206958
2014-11-12,969.332662788427
2014-11-13,958.4921734889926
2014-11-14,958.4794012566855
2014-11-17,925.7210281833424
2014-11-18,938.4770647194766
2014-11-19,939.7989135206673
2014-11-20,941.3415851730688
2014-11-21,941.2914063814976
2014-11-24,943.355098454177
2014-11-25,922.9979913460422
2014-11-26,907.6731986228407
2014-11-27,908.2470616780946
2014-11-28,908.0897601259996
2014-12-01,868.6513053134065
2014-12-02,869.6165017885603
2014-12-03,875.3408589208934
2014-12-04,893.6248713175585
2014-12-05,893.6367755226964
2014-12-08,871.0632372837283
2014-12-09,852.6717050036424
2014-12-10,826.6912562974884
2014-12-11,826.5913688098789
2014-12-12,826.6023803379849
2014-12-15,784.081036986887
2014-12-16,733.0683906387603
2014-12-17,772.9399462133285
2014-12-18,842.4527278334251
2014-12-19,842.362965546054
2014-12-22,867.5614456187407
2014-12-23,863.3129504943462
2014-12-24,875.1535731749927
2014-12-25,875.757616784765
2014-12-26,875.8276260539768
2014-12-29,879.67616159368
2014-12-30,846.5118887342419
2014-12-31,828.4808160803829
2015-01-01,836.7601564880903
2015-01-02,836.3032758592982
2015-01-05,807.4721452289332
2015-01-06,795.1683930240697
2015-01-07,806.9894418073201
2015-01-08,821.7175761229919
2015-01-09,821.7175761229919
2015-01-12,832.4657561306287
2015-01-13,836.4786179836103
2015-01-14,844.2420370656753
2015-01-15,838.6383578508609
2015-01-16,838.3926586569024
2015-01-19,838.5178002580611
2015-01-20,833.3018721112268
2015-01-21,823.9881210503736
2015-01-22,824.8932276666425
2015-01-23,824.9481253924288
2015-01-26,828.2616428871795
2015-01-27,853.409925566448
2015-01-28,880.8093315254022
2015-01-29,870.4265851573438
2015-01-30,870.1372338558488
2015-02-02,909.2232825007853
2015-02-03,914.4063354875402
2015-02-04,907.7651194666021
2015-02-05,908.6837277663146
2015-02-06,908.8047984258087
2015-02-09,935.9552433195253
2015-02-10,926.0355853898469
2015-02-11,909.370216648356
2015-02-12,918.9740836339615
2015-02-13,918.9128513522694
2015-02-16,937.4853509911915
2015-02-17,939.5258252657766
2015-02-18,934.9600893554241
2015-02-19,924.07330537214
2015-02-20,924.1102545100105
2015-02-23,910.3456142752423
2015-02-24,917.9164624126312
2015-02-25,923.5006847730403
2015-02-26,923.7548690680007
2015-02-27,923.7918167995814
2015-03-02,928.5364184467713
