Date,EGYPT
1998-12-31,93.79572625224412
1999-01-01,93.79572625224412
1999-01-04,96.07592099249594
1999-01-05,99.21349121093239
1999-01-06,103.31108601240663
1999-01-07,103.29466238073987
1999-01-08,103.29466238073987
1999-01-11,101.07706597023152
1999-01-12,103.6497898835616
1999-01-13,106.32713917769699
1999-01-14,104.85497961179203
1999-01-15,104.85497961179203
1999-01-18,107.3434946600501
1999-01-19,107.3434946600501
1999-01-20,107.1941774916001
1999-01-21,109.97987960870209
1999-01-22,109.97987960870209
1999-01-25,116.48218203907076
1999-01-26,116.2948053787794
1999-01-27,120.13196696674166
1999-01-28,124.15002674418305
1999-01-29,124.15002674418305
1999-02-01,132.3739609853988
1999-02-02,126.92845594067145
1999-02-03,125.80500356012627
1999-02-04,123.72596313439499
1999-02-05,123.72596313439499
1999-02-08,120.89824334580379
1999-02-09,118.01510998010002
1999-02-10,116.60496908635032
1999-02-11,116.47923685326644
1999-02-12,116.54759330264456
1999-02-15,121.31215450618231
1999-02-16,121.39496769084768
1999-02-17,120.08465921629183
1999-02-18,119.77871350253045
1999-02-19,119.77871350253045
1999-02-22,119.76772720911453
1999-02-23,118.20117443818111
1999-02-24,117.7990458969344
1999-02-25,117.2337446825557
1999-02-26,117.2337446825557
1999-03-01,117.9705720174464
1999-03-02,118.22642893747454
1999-03-03,117.50010578596682
1999-03-04,114.67834577782169
1999-03-05,114.67834577782169
1999-03-08,117.74347005321542
1999-03-09,118.1162001999829
1999-03-10,117.75256354887557
1999-03-11,116.72902706572057
1999-03-12,116.74445083494551
1999-03-15,116.66401818581242
1999-03-16,115.8624108325856
1999-03-17,114.9222578121116
1999-03-18,114.2482032670152
1999-03-19,114.2482032670152
1999-03-22,113.21643714683884
1999-03-23,113.53795857890164
1999-03-24,113.17633572203695
1999-03-25,115.80653015275631
1999-03-26,115.80653015275631
1999-03-29,115.80653015275631
1999-03-30,115.81162607456358
1999-03-31,116.17917588337015
1999-04-01,115.8925033154391
1999-04-02,115.78214513984524
1999-04-05,115.9502936762549
1999-04-06,115.14136181476505
1999-04-07,115.37017086121382
1999-04-08,115.53143010153025
1999-04-09,115.47221779750448
1999-04-12,115.47221779750448
1999-04-13,115.98362867736495
1999-04-14,115.4292330920776
1999-04-15,115.38694904072582
1999-04-16,115.38694904072582
1999-04-19,115.27241507939921
1999-04-20,114.8660741720865
1999-04-21,116.5124639892913
1999-04-22,118.78065475249737
1999-04-23,118.78065475249737
1999-04-26,118.86573216599446
1999-04-27,118.39271938054713
1999-04-28,117.40065230150704
1999-04-29,116.76727133514267
1999-04-30,115.82601058714164
1999-05-03,118.16231393083756
1999-05-04,118.73764378426714
1999-05-05,118.53049873671085
1999-05-06,120.95280900955102
1999-05-07,120.23101806753581
1999-05-10,118.98263259349443
1999-05-11,117.05478056095188
1999-05-12,119.05205174845098
1999-05-13,119.23141450189135
1999-05-14,119.23141450189135
1999-05-17,119.78231994820487
1999-05-18,118.9437186225869
1999-05-19,118.78104025293226
1999-05-20,119.09974312342119
1999-05-21,118.57021747494962
1999-05-24,119.50058947709005
1999-05-25,119.67815229054364
1999-05-26,118.41602855647808
1999-05-27,115.81014128821701
1999-05-28,115.81014128821701
1999-05-31,115.8757551505595
1999-06-01,116.42539810639765
1999-06-02,115.45089990484188
1999-06-03,115.91399754406707
1999-06-04,115.69027128802391
1999-06-07,116.93670393504473
1999-06-08,120.62428197469444
1999-06-09,123.82205404206863
1999-06-10,121.36205852233483
1999-06-11,121.36205852233483
1999-06-14,123.6748472774593
1999-06-15,124.74617924884066
1999-06-16,123.17003774081248
1999-06-17,121.59329875400806
1999-06-18,121.5666757750686
1999-06-21,125.41028863308252
1999-06-22,125.97042545477375
1999-06-23,127.33696540517512
1999-06-24,127.96224242079127
1999-06-25,128.12179645480444
1999-06-28,124.70715272306163
1999-06-29,121.67880668988865
1999-06-30,124.465696260885
1999-07-01,124.39826557532497
1999-07-02,124.207303104419
1999-07-05,125.63570133628369
1999-07-06,123.2879624176431
1999-07-07,123.78698382002291
1999-07-08,125.5189294089287
1999-07-09,125.5189294089287
1999-07-12,129.08117009550207
1999-07-13,128.96434470458308
1999-07-14,129.63783272349292
1999-07-15,128.2929783450011
1999-07-16,127.46196884546599
1999-07-19,125.64003000905022
1999-07-20,123.0636987120885
1999-07-21,121.61681052870772
1999-07-22,124.04956589362334
1999-07-23,124.04956589362334
1999-07-26,121.67488884240309
1999-07-27,122.33325230045473
1999-07-28,121.81478610606557
1999-07-29,122.4176450051502
1999-07-30,122.4176450051502
1999-08-02,121.54293420083965
1999-08-03,120.07398526264431
1999-08-04,120.74438740216044
1999-08-05,118.50300439547453
1999-08-06,118.50300439547453
1999-08-09,118.46141912228333
1999-08-10,117.61314933320328
1999-08-11,117.0696490594774
1999-08-12,116.19651965111146
1999-08-13,116.13704565700944
1999-08-16,112.9940540455956
1999-08-17,112.69964333024875
1999-08-18,116.07126296235968
1999-08-19,117.65906609303282
1999-08-20,117.80396079299001
1999-08-23,116.37425504870136
1999-08-24,113.57438414919172
1999-08-25,114.51660630338684
1999-08-26,114.84565202860959
1999-08-27,114.43548894545211
1999-08-30,115.32621537002024
1999-08-31,115.35414961321268
1999-09-01,114.72683723033683
1999-09-02,114.04280657179626
1999-09-03,114.04280657179626
1999-09-06,112.93384844482881
1999-09-07,112.83672015642284
1999-09-08,112.5996908525253
1999-09-09,113.2576978868172
1999-09-10,112.50813778208776
1999-09-13,120.40345306863522
1999-09-14,117.35648858380118
1999-09-15,116.97762794836584
1999-09-16,116.14196149102231
