Date,INDIA
1998-12-31,68.61030820398807
1999-01-01,68.61030820398807
1999-01-04,70.19364475288546
1999-01-05,71.06703133492053
1999-01-06,72.48966950604563
1999-01-07,74.46525736187297
1999-01-08,76.83735859697589
1999-01-11,77.99306836403338
1999-01-12,76.687276292192
1999-01-13,76.2006233761011
1999-01-14,75.9240977621219
1999-01-15,73.8072591203827
1999-01-18,75.19301582033275
1999-01-19,73.96660175846489
1999-01-20,73.96660175846489
1999-01-21,76.70261138217866
1999-01-22,76.24659571311318
1999-01-25,76.9245032938381
1999-01-26,76.9245032938381
1999-01-27,78.3529596190989
1999-01-28,76.64252521866594
1999-01-29,76.80083458550656
1999-02-01,75.20055334879203
1999-02-02,74.44524510717604
1999-02-03,75.46303786319727
1999-02-04,74.48974095035557
1999-02-05,73.8422393999174
1999-02-08,73.44703441921929
1999-02-09,73.93971406478282
1999-02-10,75.4976702884694
1999-02-11,76.19806146719276
1999-02-12,76.63553657267228
1999-02-15,76.06934578458976
1999-02-16,76.63705011607126
1999-02-17,76.63225699994013
1999-02-18,77.00500994338158
1999-02-19,76.97553907159563
1999-02-22,75.99504905404181
1999-02-23,75.25557469935315
1999-02-24,75.45334940157579
1999-02-25,75.44663588291803
1999-02-26,74.24356990893197
1999-03-01,81.12522704628616
1999-03-02,81.12522704628616
1999-03-03,83.77793071988174
1999-03-04,82.60022174360172
1999-03-05,83.41416572681501
1999-03-08,85.24728084714135
1999-03-09,86.0893008545748
1999-03-10,85.59828295067598
1999-03-11,84.03512263511213
1999-03-12,85.08042743862008
1999-03-15,87.3375460304101
1999-03-16,86.75414228820536
1999-03-17,84.87568535959932
1999-03-18,84.87568535959932
1999-03-19,84.7679390454927
1999-03-22,86.10343320585866
1999-03-23,86.84200876550987
1999-03-24,85.09083768068388
1999-03-25,85.09083768068388
1999-03-26,83.30772232246117
1999-03-29,83.30772232246117
1999-03-30,85.05724332937487
1999-03-31,86.71155243938773
1999-04-01,85.69112093091296
1999-04-02,85.69112093091296
1999-04-05,81.71446678130673
1999-04-06,81.85873299026417
1999-04-07,82.12089091960236
1999-04-08,81.18603361803503
1999-04-09,78.86906831270792
1999-04-12,79.11195635088394
1999-04-13,78.69281048924113
1999-04-14,78.69281048924113
1999-04-15,75.97562547578927
1999-04-16,81.03318288731509
1999-04-19,78.16952858790937
1999-04-20,78.30356294160435
1999-04-21,78.80736088761233
1999-04-22,77.5864239866484
1999-04-23,77.30866407322462
1999-04-26,73.56408291891222
1999-04-27,73.59844639177618
1999-04-28,74.3282508096266
1999-04-29,75.86872375457664
1999-04-30,75.90862682372499
1999-05-03,77.2964212498287
1999-05-04,80.30789783046609
1999-05-05,82.06434847850838
1999-05-06,84.24614598784898
1999-05-07,85.57072767869509
1999-05-10,87.70143314982542
1999-05-11,89.58441286994827
1999-05-12,88.50037823356223
1999-05-13,91.4904360481845
1999-05-14,92.82558166818478
1999-05-17,91.97274730397224
1999-05-18,93.16581675605296
1999-05-19,94.09498694917326
1999-05-20,93.08930116813771
1999-05-21,91.47304127674553
1999-05-24,91.85470121039802
1999-05-25,92.80250664932963
1999-05-26,90.68898119937359
1999-05-27,87.93893665101358
1999-05-28,86.02142261835935
1999-05-31,90.33679625412552
1999-06-01,89.02180902877863
1999-06-02,89.80254630892428
1999-06-03,90.79521808669972
1999-06-04,92.16222564772686
1999-06-07,91.96043312585579
1999-06-08,92.69335862662639
1999-06-09,92.22808605477805
1999-06-10,92.53292851515918
1999-06-11,90.56756222304806
1999-06-14,89.69557186078497
1999-06-15,88.13568494302551
1999-06-16,90.7713959015882
1999-06-17,92.83099159098668
1999-06-18,92.47232777433491
1999-06-21,95.00605499857704
1999-06-22,95.70640569721857
1999-06-23,93.81832480068076
1999-06-24,92.8906194376406
1999-06-25,92.72493034604955
1999-06-28,94.06717095802121
1999-06-29,94.19396898250993
1999-06-30,93.71316097857493
1999-07-01,93.43540518176964
1999-07-02,94.34127188370847
1999-07-05,97.47418733766074
1999-07-06,98.16603996352812
1999-07-07,97.95609447873316
1999-07-08,97.74928242671389
1999-07-09,98.90174280957484
1999-07-12,103.95032873719991
1999-07-13,104.39953826369154
1999-07-14,106.27607959249252
1999-07-15,105.48169503594204
1999-07-16,104.83324186052909
1999-07-19,107.19828858374245
1999-07-20,104.96449338012333
1999-07-21,106.13004598199576
1999-07-22,107.23527022596751
1999-07-23,105.91465695534788
1999-07-26,105.3024169867081
1999-07-27,104.63129084884606
1999-07-28,105.4626145092305
1999-07-29,105.53738739531737
1999-07-30,104.0530795347662
1999-08-02,103.01134109507869
1999-08-03,103.73140353526722
1999-08-04,106.34307618624756
1999-08-05,105.27314851533134
1999-08-06,104.72449863864426
1999-08-09,106.60985296153405
1999-08-10,105.26038631190234
1999-08-11,104.35168325982235
1999-08-12,104.20744449498818
1999-08-13,102.95595405157486
1999-08-16,105.06220818106743
1999-08-17,106.83211193834236
1999-08-18,108.85125224561143
1999-08-19,106.92722709470864
1999-08-20,107.12309648867247
1999-08-23,109.53720026835478
1999-08-24,111.06882454185575
1999-08-25,109.15120210491456
1999-08-26,112.00430962774317
1999-08-27,112.71288327182293
1999-08-30,113.66883000992603
1999-08-31,113.6189962847682
1999-09-01,111.79288010198175
1999-09-02,109.57291879480579
1999-09-03,109.3421775255942
1999-09-06,112.42404347972729
1999-09-07,110.87610230272924
1999-09-08,111.18782363261093
1999-09-09,110.43625328058586
1999-09-10,110.38482985458697
1999-09-13,110.38482985458697
1999-09-14,110.16380517722325
1999-09-15,108.87705589642388
1999-09-16,106.90844159232239
