Date,FRANCE
1998-12-31,2736.410696269217
1999-01-01,2736.4215050914677
1999-01-04,2884.9470640223267
1999-01-05,2913.8472824934765
1999-01-06,2960.5638879105377
1999-01-07,2907.211404462703
1999-01-08,2887.6738699170523
1999-01-11,2852.9767842987117
1999-01-12,2792.538721086278
1999-01-13,2732.604130077851
1999-01-14,2752.31277238434
1999-01-15,2762.604549833543
1999-01-18,2827.2408143361927
1999-01-19,2802.618043609023
1999-01-20,2835.038408163961
1999-01-21,2817.4163611056983
1999-01-22,2730.6058935310075
1999-01-25,2743.724492685885
1999-01-26,2756.7438695889155
1999-01-27,2757.8778929096634
1999-01-28,2800.7409753278102
1999-01-29,2813.7325776622733
1999-02-01,2829.153592776992
1999-02-02,2810.768880693572
1999-02-03,2777.4956590169286
1999-02-04,2750.321513684771
1999-02-05,2737.540587609814
1999-02-08,2737.559550935939
1999-02-09,2675.844760584947
1999-02-10,2651.570006570129
1999-02-11,2687.1517464024664
1999-02-12,2678.6094931319226
1999-02-15,2671.9406139881517
1999-02-16,2653.831294277205
1999-02-17,2624.152950060464
1999-02-18,2656.622323730972
1999-02-19,2679.552077160359
1999-02-22,2687.0936250392774
1999-02-23,2701.1630721828947
1999-02-24,2698.0442480918214
1999-02-25,2684.2815252231494
1999-02-26,2627.1154156443517
1999-03-01,2585.8411480046725
1999-03-02,2598.792853471184
1999-03-03,2571.6355370648093
1999-03-04,2597.761226638691
1999-03-05,2667.220715998692
1999-03-08,2666.9341043423647
1999-03-09,2656.2637444733323
1999-03-10,2675.549939696531
1999-03-11,2667.960504630428
1999-03-12,2689.799169022893
1999-03-15,2695.1822087804867
1999-03-16,2690.0128279700575
1999-03-17,2702.6497641141773
1999-03-18,2686.8304370585106
1999-03-19,2709.8407504187962
1999-03-22,2692.323015336276
1999-03-23,2617.4836330909816
1999-03-24,2611.865946116183
1999-03-25,2647.422073144403
1999-03-26,2602.9883730789184
1999-03-29,2620.9104675700264
1999-03-30,2629.4740922081082
1999-03-31,2673.525761976287
1999-04-01,2696.0780549142314
1999-04-02,2690.0925669777466
1999-04-05,2673.758685254753
1999-04-06,2723.7925045383668
1999-04-07,2743.1040115605056
1999-04-08,2757.186484019037
1999-04-09,2756.8172874878965
1999-04-12,2767.0489186299956
1999-04-13,2761.193848027295
1999-04-14,2753.7533010671764
1999-04-15,2712.97046542444
1999-04-16,2700.799375837253
1999-04-19,2721.7918599501104
1999-04-20,2661.022034304861
1999-04-21,2671.4675706710877
1999-04-22,2667.9572209375924
1999-04-23,2661.8235016336916
1999-04-26,2666.3502911203154
1999-04-27,2744.2493088933224
1999-04-28,2732.494235824289
1999-04-29,2723.4950019674684
1999-04-30,2741.979483584874
1999-05-03,2765.4124355771987
1999-05-04,2774.269485534241
1999-05-05,2748.7223826379786
1999-05-06,2754.4507574254417
1999-05-07,2732.139843275015
1999-05-10,2772.495990397882
1999-05-11,2752.1939574319076
1999-05-12,2739.447127034225
1999-05-13,2759.2112911137415
1999-05-14,2726.7117621973607
1999-05-17,2671.3630124183833
1999-05-18,2704.9931988703556
1999-05-19,2749.5908646647604
1999-05-20,2773.1090011220604
1999-05-21,2748.4443085830235
1999-05-24,2753.000788125703
1999-05-25,2742.1905976700914
1999-05-26,2711.34509219907
1999-05-27,2675.4838280141093
1999-05-28,2667.3425957311038
1999-05-31,2684.2243342395973
1999-06-01,2674.6523696240474
1999-06-02,2647.372243105624
1999-06-03,2669.1507338268775
1999-06-04,2649.0289482334665
1999-06-07,2681.211983888716
1999-06-08,2723.2682903412824
1999-06-09,2734.7126987039683
1999-06-10,2724.286700310113
1999-06-11,2727.732032925465
1999-06-14,2705.6190707248065
1999-06-15,2727.8598780331945
1999-06-16,2735.7665725554225
1999-06-17,2758.46397735259
1999-06-18,2798.976510346749
1999-06-21,2780.633966352159
1999-06-22,2764.393642510871
1999-06-23,2740.779759043309
1999-06-24,2723.368169331696
1999-06-25,2742.9649471689213
1999-06-28,2745.4138158292267
1999-06-29,2760.3247092619463
1999-06-30,2776.5865139272
1999-07-01,2805.4652242102775
1999-07-02,2799.2660499625213
1999-07-05,2848.8221740308873
1999-07-06,2850.174672381625
1999-07-07,2825.851483897483
1999-07-08,2794.753818180801
1999-07-09,2803.790376679519
1999-07-12,2794.777925959035
1999-07-13,2765.9048800460996
1999-07-14,2773.377771380648
1999-07-15,2824.3756828807714
1999-07-16,2814.1425740768955
1999-07-19,2782.467826708478
1999-07-20,2805.238895681589
1999-07-21,2800.1245714543684
1999-07-22,2791.2630885119984
1999-07-23,2765.3107505557255
1999-07-26,2786.2687285297025
1999-07-27,2792.9229952403552
1999-07-28,2788.010371845557
1999-07-29,2753.0603050583463
1999-07-30,2793.4223901924242
1999-08-02,2772.889157886722
1999-08-03,2757.999745277968
1999-08-04,2769.195468636577
1999-08-05,2733.6928931656826
1999-08-06,2719.2551798705617
1999-08-09,2747.056619990732
1999-08-10,2725.7488192733435
1999-08-11,2719.335192519321
1999-08-12,2772.725328978336
1999-08-13,2796.4249989212267
1999-08-16,2809.0746867391913
1999-08-17,2809.6905980587076
1999-08-18,2826.063090536625
1999-08-19,2808.3776408425306
1999-08-20,2846.0495879852133
1999-08-23,2836.469824599179
1999-08-24,2853.71980189507
1999-08-25,2888.2406353004635
1999-08-26,2880.359088392534
1999-08-27,2896.888596116204
1999-08-30,2902.5777307742824
1999-08-31,2892.5401932428695
1999-09-01,2931.5899505352304
1999-09-02,2909.0322395041076
1999-09-03,2951.2852117934144
1999-09-06,2944.4573471881904
1999-09-07,2955.368757475457
1999-09-08,2959.565563196218
1999-09-09,2970.958773314777
1999-09-10,2962.8734732664034
1999-09-13,2921.310213293091
1999-09-14,2926.8724332230763
1999-09-15,2895.446015125345
1999-09-16,2883.5979314567453
1999-09-17,2881.044148810345
1999-09-20,2902.9461337463213
1999-09-21,2876.9742851817837
1999-09-22,2859.097533015913
1999-09-23,2856.187852794356
1999-09-24,2834.131780572073
1999-09-27,2862.1462502649474
1999-09-28,2853.065444005271
1999-09-29,2872.0832794314865
1999-09-30,2919.927012414341
1999-10-01,2910.5480468451988
1999-10-04,2942.6229942779464
1999-10-05,2954.470448572086
1999-10-06,2982.682788122407
1999-10-07,3022.6798087054963
1999-10-08,2978.6504133203853
1999-10-11,2973.702517591712
1999-10-12,2965.41836257804
1999-10-13,2952.0991845191265
1999-10-14,2952.1768712187936
1999-10-15,2935.082404142772
1999-10-18,2911.93628271963
1999-10-19,2955.3343060647912
1999-10-20,2946.106198817334
1999-10-21,2971.5964390993286
1999-10-22,2986.0857611001807
1999-10-25,2979.3493199763193
1999-10-26,2985.147281687788
1999-10-27,2964.1483396456883
1999-10-28,3000.040415815089
1999-10-29,3078.4934746617696
1999-11-01,3073.2219436400487
1999-11-02,3072.948931944882
1999-11-03,3083.976749143168
1999-11-04,3081.6083856855466
1999-11-05,3090.0563696076038
1999-11-08,3088.5318604804984
1999-11-09,3097.122657676794
1999-11-10,3141.155665124024
1999-11-11,3185.2616252804164
1999-11-12,3170.107820670189
1999-11-15,3185.431830025724
1999-11-16,3193.001426114279
1999-11-17,3212.7889044129274
1999-11-18,3218.769521538372
1999-11-19,3225.3722069074
1999-11-22,3167.0256644824462
1999-11-23,3160.4311883455066
1999-11-24,3148.197763322659
1999-11-25,3236.8616565901466
1999-11-26,3245.1350575097817
1999-11-29,3210.507887184731
1999-11-30,3177.8394396360695
1999-12-01,3202.5138737971847
1999-12-02,3176.342841898066
1999-12-03,3237.4565249114085
1999-12-06,3335.7368221041534
1999-12-07,3357.302201160382
1999-12-08,3337.7429121496957
1999-12-09,3353.218983847623
1999-12-10,3309.5603173836425
1999-12-13,3320.524212028063
1999-12-14,3322.8629948860575
1999-12-15,3292.9237339094275
1999-12-16,3342.431888698288
1999-12-17,3288.426388201895
1999-12-20,3300.513606801241
1999-12-21,3309.8447672755196
1999-12-22,3363.2905623280976
1999-12-23,3441.2521891778347
1999-12-24,3512.552598833751
1999-12-27,3495.014696404399
1999-12-28,3480.248367548763
1999-12-29,3476.9862649936335
1999-12-30,3538.72551885625
1999-12-31,3538.72551885625
2000-01-03,3565.62197323095
2000-01-04,3461.434531539954
2000-01-05,3356.633860211925
2000-01-06,3342.324457214352
2000-01-07,3382.5058845142626
2000-01-10,3441.424637779913
2000-01-11,3432.41867235278
2000-01-12,3400.084559462989
2000-01-13,3433.325272580561
2000-01-14,3473.36949624816
2000-01-17,3500.0342313651004
2000-01-18,3402.2075763375824
2000-01-19,3393.9182495076952
2000-01-20,3429.7632594131205
2000-01-21,3401.6485549964414
2000-01-24,3386.4717919004725
2000-01-25,3348.757895581816
2000-01-26,3365.7785342972525
2000-01-27,3346.4715423527623
2000-01-28,3347.1383509112293
2000-01-31,3302.5776266612233
2000-02-01,3348.1397130414216
2000-02-02,3453.6066182816717
2000-02-03,3620.3580132909256
2000-02-04,3672.8380195523623
2000-02-07,3625.5649376561073
2000-02-08,3714.6898613977028
2000-02-09,3720.1039867808063
2000-02-10,3662.2008523450754
2000-02-11,3716.236945913052
2000-02-14,3688.140903817322
2000-02-15,3596.808380746512
2000-02-16,3574.4754658540874
2000-02-17,3650.34362906475
2000-02-18,3583.7031626399385
2000-02-21,3527.6243384871973
2000-02-22,3600.152739807171
2000-02-23,3633.9000993651575
2000-02-24,3642.5983554094955
2000-02-25,3653.2671555244306
2000-02-28,3562.3544525826414
2000-02-29,3596.5778381453506
2000-03-01,3665.447302631022
2000-03-02,3795.120907352074
2000-03-03,3788.3895285880008
2000-03-06,3809.1122299703125
2000-03-07,3736.7128777787743
2000-03-08,3686.9942382791573
2000-03-09,3775.139827996665
2000-03-10,3805.381051893629
2000-03-13,3709.060517313338
2000-03-14,3698.1161332771812
2000-03-15,3624.715747324734
2000-03-16,3675.079003092071
2000-03-17,3690.8824589657
2000-03-20,3721.796347340021
2000-03-21,3706.5776350680776
2000-03-22,3647.2595847536268
2000-03-23,3671.8808504549133
2000-03-24,3737.6497974370704
2000-03-27,3786.883928058806
2000-03-28,3817.7203760104226
2000-03-29,3750.837408869708
2000-03-30,3642.272421531463
2000-03-31,3633.885514296146
2000-04-03,3522.460211585305
2000-04-04,3575.206853704986
2000-04-05,3501.5314584775633
2000-04-06,3591.9531946122274
2000-04-07,3637.0384614286017
2000-04-10,3677.757046148189
2000-04-11,3629.854781340541
2000-04-12,3596.1750111267534
2000-04-13,3599.3964779830435
2000-04-14,3485.681510986205
2000-04-17,3472.828617309936
2000-04-18,3502.8285992399165
2000-04-19,3474.0815376754363
2000-04-20,3506.196217791494
2000-04-21,3506.196217791494
2000-04-24,3506.756306332806
2000-04-25,3511.1176250646267
2000-04-26,3542.7673342751746
2000-04-27,3421.381469265806
2000-04-28,3514.429256653359
2000-05-01,3503.4374779839427
2000-05-02,3579.9818082776546
