Date,MALAYSIA
1998-12-31,55.60704955268253
1999-01-01,55.60704955268253
1999-01-04,53.178637428090305
1999-01-05,53.84647197644257
1999-01-06,55.673562812863985
1999-01-07,55.737906842042385
1999-01-08,56.49167096406841
1999-01-11,57.28102359780815
1999-01-12,56.55988691210716
1999-01-13,56.406822947508445
1999-01-14,56.32025500490582
1999-01-15,56.975486771547466
1999-01-18,56.975486771547466
1999-01-19,56.975486771547466
1999-01-20,56.975486771547466
1999-01-21,58.725382233568354
1999-01-22,59.061332223440886
1999-01-25,58.09699365795728
1999-01-26,57.71861993784002
1999-01-27,57.58936802400075
1999-01-28,56.63701722625971
1999-01-29,56.46034862519637
1999-02-01,56.46034862519637
1999-02-02,55.353282333484906
1999-02-03,54.237025864693855
1999-02-04,55.24009752054339
1999-02-05,53.41057665605653
1999-02-08,49.94644542075189
1999-02-09,52.181325550433435
1999-02-10,51.98084211825818
1999-02-11,53.741380769563456
1999-02-12,54.44017787917715
1999-02-15,54.44017787917715
1999-02-16,54.44017787917715
1999-02-17,54.44017787917715
1999-02-18,53.96644474192298
1999-02-19,53.84968606390672
1999-02-22,53.26059387807353
1999-02-23,53.28255643836486
1999-02-24,52.285833439362754
1999-02-25,51.94737112299143
1999-02-26,62.17104191915258
1999-03-01,60.816370225404405
1999-03-02,60.041992014038705
1999-03-03,58.469890083693606
1999-03-04,58.70107694827938
1999-03-05,58.496712700115836
1999-03-08,58.925977991983714
1999-03-09,60.4222647148982
1999-03-10,60.005660592142966
1999-03-11,59.52484534105777
1999-03-12,60.247328829498926
1999-03-15,59.00037021501628
1999-03-16,58.218650760968636
1999-03-17,58.3041326978935
1999-03-18,58.8623062520344
1999-03-19,58.785593546824
1999-03-22,57.956189379573445
1999-03-23,57.34264121334699
1999-03-24,56.40077067623513
1999-03-25,57.11516278289588
1999-03-26,57.05339669653475
1999-03-29,57.05339669653475
1999-03-30,56.95788436001156
1999-03-31,57.53799155877803
1999-04-01,60.78184047191418
1999-04-02,61.98025858070129
1999-04-05,61.55397215847795
1999-04-06,64.1789935721031
1999-04-07,64.05780023188501
1999-04-08,64.19051201634744
1999-04-09,65.74488919964763
1999-04-12,66.16291630680091
1999-04-13,67.82644178731557
1999-04-14,67.17109491408137
1999-04-15,67.68025697081703
1999-04-16,70.09107224457831
1999-04-19,72.03458144387271
1999-04-20,72.81360618029903
1999-04-21,72.30609676507608
1999-04-22,74.90576303231668
1999-04-23,76.17609607007881
1999-04-26,79.43437612471486
1999-04-27,79.07104244329011
1999-04-28,78.28985181228371
1999-04-29,79.14074198741092
1999-04-30,80.03422938677748
1999-05-03,80.34386667687218
1999-05-04,82.68510251773968
1999-05-05,84.62221134563056
1999-05-06,85.52572858852496
1999-05-07,82.26210358428588
1999-05-10,84.21331380387285
1999-05-11,86.44246918780296
1999-05-12,86.66596504136508
1999-05-13,88.29473444769785
1999-05-14,93.05259761114587
1999-05-17,92.39142367518902
1999-05-18,94.65068304753545
1999-05-19,93.67340305340944
1999-05-20,94.00829206077651
1999-05-21,92.912854871338
1999-05-24,89.34466171564146
1999-05-25,91.43423617627788
1999-05-26,90.83375288634383
1999-05-27,91.88454095141452
1999-05-28,90.2186733019727
1999-05-31,89.29726893944871
1999-06-01,91.63532794957526
1999-06-02,90.34639324159679
1999-06-03,89.57971493838264
1999-06-04,88.86086648277075
1999-06-07,87.55912547128028
1999-06-08,90.75390505567965
1999-06-09,91.03463724534636
1999-06-10,92.69792139126598
1999-06-11,93.361185040145
1999-06-14,94.70131493436466
1999-06-15,94.29605798614115
1999-06-16,95.81947761281437
1999-06-17,95.29944437789115
1999-06-18,95.15367995068723
1999-06-21,94.95767288600096
1999-06-22,95.79317825872843
1999-06-23,96.18675883868686
1999-06-24,96.91480748064726
1999-06-25,97.46065517618432
1999-06-28,99.75105727663272
1999-06-29,101.20087430037702
1999-06-30,98.76760879249984
1999-07-01,101.9337229428548
1999-07-02,103.13584948577657
1999-07-05,103.65504694674503
1999-07-06,103.55986714037817
1999-07-07,102.60164813069784
1999-07-08,103.90283362776327
1999-07-09,104.4585293317761
1999-07-12,104.76248080105404
1999-07-13,103.56672960636347
1999-07-14,104.6120570591681
1999-07-15,103.75132721662253
1999-07-16,103.55935777980429
1999-07-19,102.05527383640151
1999-07-20,101.83179299674275
1999-07-21,102.96704094116753
1999-07-22,101.71877500494989
1999-07-23,99.01277526934315
1999-07-26,94.99317743106984
1999-07-27,97.67207651500658
1999-07-28,95.90165371064333
1999-07-29,95.15836150818906
1999-07-30,94.2476826333828
1999-08-02,89.82982877442466
1999-08-03,91.31991030667956
1999-08-04,87.4538552097016
1999-08-05,85.82420387556293
1999-08-06,85.31504904774371
1999-08-09,80.60128338673195
1999-08-10,82.51936125798395
1999-08-11,82.75339575957732
1999-08-12,88.5932286411327
1999-08-13,94.99318799640926
1999-08-16,93.5621633750613
1999-08-17,91.20911437258682
1999-08-18,92.63515549015388
1999-08-19,92.01142178066085
1999-08-20,92.97326692604253
1999-08-23,93.99103274473634
1999-08-24,94.58330398559247
1999-08-25,93.63087255762957
1999-08-26,92.82174716920989
1999-08-27,93.36159542017072
1999-08-30,109.9892098167089
1999-08-31,110.00731102347928
1999-09-01,108.4106908328454
1999-09-02,105.45577781739648
1999-09-03,107.27251740154365
1999-09-06,108.333790731878
1999-09-07,108.20701388781434
1999-09-08,108.61159020575131
1999-09-09,108.00990357926493
1999-09-10,106.00282273271041
1999-09-13,105.98419047861681
1999-09-14,104.298740806675
1999-09-15,102.55028556723752
1999-09-16,101.50373809576571
