Date,MOROCCO
1998-12-31,145.5690465657144
1999-01-01,145.5690465657144
1999-01-04,146.81339843387698
1999-01-05,146.56413909975203
1999-01-06,145.52328839161692
1999-01-07,146.37026296508347
1999-01-08,146.5044033858033
1999-01-11,146.34399357494024
1999-01-12,145.45290284622146
1999-01-13,147.15678853627315
1999-01-14,147.05307932473787
1999-01-15,148.1556498529264
1999-01-18,148.59767899696595
1999-01-19,148.27098275282992
1999-01-20,148.28367346230954
1999-01-21,150.46285955768386
1999-01-22,151.265726710041
1999-01-25,151.11516901224948
1999-01-26,151.71354804644344
1999-01-27,152.05725112228976
1999-01-28,151.11601913548142
1999-01-29,151.16761899541757
1999-02-01,150.81811790444655
1999-02-02,151.28047576583904
1999-02-03,151.2647179165483
1999-02-04,149.29702763323883
1999-02-05,149.71996830820225
1999-02-08,148.99140250859318
1999-02-09,148.8614515650335
1999-02-10,148.74543594630157
1999-02-11,148.42541986571243
1999-02-12,148.60601136919138
1999-02-15,147.60444974672438
1999-02-16,147.1156201542139
1999-02-17,147.71368621495776
1999-02-18,147.84498221650767
1999-02-19,146.42727217079002
1999-02-22,145.5928674844944
1999-02-23,144.87448278400214
1999-02-24,145.09052908446264
1999-02-25,145.6686550972079
1999-02-26,144.75384680373222
1999-03-01,144.41467092523408
1999-03-02,144.5061799949767
1999-03-03,144.594183762078
1999-03-04,144.07204069326096
1999-03-05,143.99022069925778
1999-03-08,143.95621576998002
1999-03-09,142.43396968054256
1999-03-10,140.97381606791774
1999-03-11,138.3348617844893
1999-03-12,135.87494432712253
1999-03-15,137.0207328495459
1999-03-16,137.89631901911497
1999-03-17,138.18615718066056
1999-03-18,138.91280438023588
1999-03-19,138.54529348682377
1999-03-22,137.66232259952244
1999-03-23,136.9713441834271
1999-03-24,137.93614234318395
1999-03-25,138.00943344674886
1999-03-26,136.1876892338357
1999-03-29,136.01961812405185
1999-03-30,136.1434508005844
1999-03-31,135.10608938249547
1999-04-01,134.96072267690448
1999-04-02,135.787543215874
1999-04-05,134.46597715834156
1999-04-06,134.79322802054503
1999-04-07,134.0268040789956
1999-04-08,133.41727008876333
1999-04-09,132.29143617124316
1999-04-12,131.83606562408582
1999-04-13,128.90718147061247
1999-04-14,128.390101293235
1999-04-15,131.6421807552745
1999-04-16,132.44102437918454
1999-04-19,132.3292608323028
1999-04-20,132.44837124896472
1999-04-21,132.5116646704115
1999-04-22,131.667400592592
1999-04-23,132.3574983159556
1999-04-26,131.98087043315707
1999-04-27,131.3202810112228
1999-04-28,131.39773684520995
1999-04-29,130.56388968836268
1999-04-30,131.0128813998995
1999-05-03,130.53187759933243
1999-05-04,130.95622883835705
1999-05-05,131.47488407281838
1999-05-06,132.22164745893863
1999-05-07,131.64916370243824
1999-05-10,131.8878721920681
1999-05-11,131.40206315727386
1999-05-12,129.82394621207402
1999-05-13,129.12900103945978
1999-05-14,129.25511041588058
1999-05-17,128.9411922226521
1999-05-18,127.9241245853449
1999-05-19,128.0417996912077
1999-05-20,127.83099242073307
1999-05-21,127.5394409115094
1999-05-24,126.8724260718597
1999-05-25,126.80493152772905
1999-05-26,125.44566308713611
1999-05-27,125.24712292021559
1999-05-28,124.51941452229079
1999-05-31,124.38842421573864
1999-06-01,124.1050900791936
1999-06-02,121.39324064000694
1999-06-03,120.3195117070145
1999-06-04,121.41875743817943
1999-06-07,121.89982237774608
1999-06-08,122.69496272511154
1999-06-09,122.80526475876577
1999-06-10,122.84411422591322
1999-06-11,123.98980085000402
1999-06-14,124.98520344611084
1999-06-15,126.1534707407049
1999-06-16,126.96413165981518
1999-06-17,128.59033879523847
1999-06-18,131.9384487016069
1999-06-21,131.60082458914516
1999-06-22,131.28780310124353
1999-06-23,130.6115868421604
1999-06-24,131.03468036462272
1999-06-25,131.8703835268137
1999-06-28,130.5702932707211
1999-06-29,129.8916227175129
1999-06-30,129.0592603649406
1999-07-01,129.4937271970111
1999-07-02,128.97861220176227
1999-07-05,129.44699807737302
1999-07-06,128.8937177894956
1999-07-07,128.91424448075185
1999-07-08,128.619860197882
1999-07-09,128.68729069163217
1999-07-12,128.60527563510658
1999-07-13,128.2412846012404
1999-07-14,128.28028691588676
1999-07-15,128.9670438296317
1999-07-16,129.2543126975054
1999-07-19,129.02921491372945
1999-07-20,132.0307802364626
1999-07-21,133.61057704845982
1999-07-22,133.50099267020514
1999-07-23,133.1111223712405
1999-07-26,135.3507327221538
1999-07-27,135.64148360162136
1999-07-28,134.92100707392996
1999-07-29,136.02850220296375
1999-07-30,135.85514548109913
1999-08-02,134.8972254587925
1999-08-03,134.77425746239658
1999-08-04,135.57233684881217
1999-08-05,135.58681805756456
1999-08-06,135.155467858781
1999-08-09,134.46535557851274
1999-08-10,135.22570929082036
1999-08-11,134.6061805298509
1999-08-12,133.52605966002375
1999-08-13,133.79562005338275
1999-08-16,134.60850090045312
1999-08-17,134.33423425981866
1999-08-18,135.28241280152912
1999-08-19,136.98234920334747
1999-08-20,137.15035626275082
1999-08-23,136.36873345704947
1999-08-24,136.94262049915878
1999-08-25,137.61991542487692
1999-08-26,137.46593976587204
1999-08-27,137.82564961407869
1999-08-30,138.25196749092245
1999-08-31,139.01273025225092
1999-09-01,139.2689026603973
1999-09-02,139.90353566563843
1999-09-03,138.218035346168
1999-09-06,138.0676625210656
1999-09-07,137.84969034211903
1999-09-08,138.36543710702995
1999-09-09,138.13602611240427
1999-09-10,138.01953739427097
1999-09-13,137.06936746800352
1999-09-14,136.76124583420926
1999-09-15,136.8589343099786
1999-09-16,136.24946873719819
