Date,JAPAN
1998-12-31,3239.895812528718
1999-01-01,3239.895812528718
1999-01-04,3174.4007678961616
1999-01-05,3153.415930319455
1999-01-06,3155.3778168297736
1999-01-07,3229.504365093362
1999-01-08,3187.160805963183
1999-01-11,3241.751462855344
1999-01-12,3171.5709456966247
1999-01-13,3122.556376290533
1999-01-14,3174.767329708391
1999-01-15,3160.4056491464466
1999-01-18,3163.8317417713215
1999-01-19,3169.527025024333
1999-01-20,3224.785327246582
1999-01-21,3278.366043816061
1999-01-22,3227.797069595992
1999-01-25,3237.9517778443264
1999-01-26,3272.207844249355
1999-01-27,3255.1082573320746
1999-01-28,3213.745965446636
1999-01-29,3261.522343870054
1999-02-01,3269.100751766182
1999-02-02,3330.6102061659976
1999-02-03,3287.299570534737
1999-02-04,3268.000191557624
1999-02-05,3229.180375512109
1999-02-08,3230.332676856793
1999-02-09,3192.690692534965
1999-02-10,3181.0487101138897
1999-02-11,3187.1714328214484
1999-02-12,3210.63028723956
1999-02-15,3193.8736432940354
1999-02-16,3144.774091420781
1999-02-17,3114.6909784233317
1999-02-18,3084.359138624354
1999-02-19,3065.941464893662
1999-02-22,3110.711317199928
1999-02-23,3112.999526016484
1999-02-24,3100.647455630177
1999-02-25,3160.476473268908
1999-02-26,3188.305039967294
1999-03-01,3139.505567244196
1999-03-02,3069.834912489494
1999-03-03,3064.690994705859
1999-03-04,3027.2708460503145
1999-03-05,3175.2885965456694
1999-03-08,3189.0233896668474
1999-03-09,3250.927884563085
1999-03-10,3369.2423350470926
1999-03-11,3384.4512807629717
1999-03-12,3415.7468599703443
1999-03-15,3508.5441502265408
1999-03-16,3591.5982961994678
1999-03-17,3635.079641941091
1999-03-18,3555.1718559885844
1999-03-19,3683.672441710308
1999-03-22,3658.527383516566
1999-03-23,3632.434947388282
1999-03-24,3541.1553863254644
1999-03-25,3598.629096905362
1999-03-26,3601.0088327786225
1999-03-29,3605.299588797945
1999-03-30,3582.2224589044654
1999-03-31,3640.5208525644844
1999-04-01,3711.5096265315547
1999-04-02,3689.350035132183
1999-04-05,3657.42228745387
1999-04-06,3742.275871561076
1999-04-07,3738.770887473166
1999-04-08,3795.063882822104
1999-04-09,3769.593020705454
1999-04-12,3715.40197256281
1999-04-13,3765.273980395688
1999-04-14,3854.4513026615878
1999-04-15,3817.372088242396
1999-04-16,3871.781181373223
1999-04-19,3856.1173866842228
1999-04-20,3835.777061581502
1999-04-21,3731.5534687684703
1999-04-22,3740.5213383827595
1999-04-23,3798.516672188474
1999-04-26,3825.8218337183453
1999-04-27,3816.818098457412
1999-04-28,3841.287217187786
1999-04-29,3842.2546176784494
1999-04-30,3790.4959213170614
1999-05-03,3766.5144393054306
1999-05-04,3741.4417279851823
1999-05-05,3737.7327276579576
1999-05-06,3883.213898923767
1999-05-07,3844.444042071682
1999-05-10,3853.287726479476
1999-05-11,3780.9043393599027
1999-05-12,3787.7436946222347
1999-05-13,3735.4402097799707
1999-05-14,3701.5507051871714
1999-05-17,3592.7187169693566
1999-05-18,3610.323598037559
1999-05-19,3494.7453691630644
1999-05-20,3510.752106823821
1999-05-21,3541.6929498386794
1999-05-24,3563.551814108732
1999-05-25,3565.5687788478635
1999-05-26,3584.838091591836
1999-05-27,3581.649353734187
1999-05-28,3599.130470782351
1999-05-31,3575.0124919601385
1999-06-01,3669.0736979717603
1999-06-02,3689.414606255727
1999-06-03,3627.3790251749147
1999-06-04,3623.051237146455
1999-06-07,3673.615513517596
1999-06-08,3747.42448719364
1999-06-09,3786.145778007495
1999-06-10,3860.1139601637674
1999-06-11,3932.8659826288904
1999-06-14,3857.0459732230515
1999-06-15,3872.0035030238787
1999-06-16,3868.4069270813484
1999-06-17,3932.5318521737445
1999-06-18,3885.7341814773754
1999-06-21,3891.6173786875133
1999-06-22,3926.163318570889
1999-06-23,3862.407806399038
1999-06-24,3865.5155144624155
1999-06-25,3861.408492934622
1999-06-28,3902.4134567108963
1999-06-29,3944.8228181250274
1999-06-30,3911.9067402291025
1999-07-01,4002.232832353251
1999-07-02,4024.287029941841
1999-07-05,4048.0063071853633
1999-07-06,4029.1131463452252
1999-07-07,4024.862921422518
1999-07-08,3997.0563860156576
1999-07-09,4001.267958981322
1999-07-12,4049.359158080843
1999-07-13,4079.3281295488173
1999-07-14,4138.128707059778
1999-07-15,4192.878086447795
1999-07-16,4159.698119037939
1999-07-19,4241.200322517707
1999-07-20,4236.0467822435085
1999-07-21,4213.979398278962
1999-07-22,4130.051938389767
1999-07-23,4089.3787723436535
1999-07-26,4088.044745242845
1999-07-27,4077.66243431368
1999-07-28,4146.427246598157
1999-07-29,4237.28034017517
1999-07-30,4300.592375408202
1999-08-02,4264.709881305284
1999-08-03,4282.021227812872
1999-08-04,4236.0145128812155
1999-08-05,4182.897425402509
1999-08-06,4116.260738682492
1999-08-09,4084.864366316392
1999-08-10,4106.497150656646
1999-08-11,4065.4960099574305
1999-08-12,4116.6463834810575
1999-08-13,4116.732305518006
1999-08-16,4231.621797340673
1999-08-17,4267.65708493011
1999-08-18,4330.721138537651
1999-08-19,4343.299353651673
1999-08-20,4437.337750796775
1999-08-23,4480.549699201586
1999-08-24,4440.043970971064
1999-08-25,4396.75740776569
1999-08-26,4316.157061684298
1999-08-27,4300.343681005634
1999-08-30,4386.288008437085
1999-08-31,4268.68779298495
1999-09-01,4423.293547625501
1999-09-02,4437.160269304165
1999-09-03,4385.928056012313
1999-09-06,4444.262930899181
1999-09-07,4367.372395118966
1999-09-08,4366.7868811477265
1999-09-09,4484.369989949972
1999-09-10,4486.81905959362
1999-09-13,4637.210357761232
1999-09-14,4642.862323607232
1999-09-15,4689.816124882806
1999-09-16,4575.6877817833765
1999-09-17,4504.469882384444
1999-09-20,4560.117198896903
1999-09-21,4691.42865342766
1999-09-22,4547.8081219280275
1999-09-23,4539.719819228924
1999-09-24,4398.686668525177
1999-09-27,4317.323974959096
1999-09-28,4439.872288891957
1999-09-29,4391.628134311128
1999-09-30,4535.37395258183
1999-10-01,4602.857677663074
1999-10-04,4542.905187594928
1999-10-05,4498.357300550779
1999-10-06,4499.896380657562
1999-10-07,4530.713913237795
1999-10-08,4550.7672807684
1999-10-11,4579.122946116526
1999-10-12,4621.92077103858
1999-10-13,4521.283386501478
1999-10-14,4578.530045182834
1999-10-15,4565.753742838833
1999-10-18,4443.206854460129
1999-10-19,4455.103427894152
1999-10-20,4534.1283746367035
1999-10-21,4531.274706803986
1999-10-22,4551.69136385205
1999-10-25,4617.560292461371
1999-10-26,4644.59090522009
1999-10-27,4619.492857914587
1999-10-28,4582.979167309472
1999-10-29,4727.756795199592
1999-11-01,4707.535082682568
1999-11-02,4739.47096249937
1999-11-03,4698.181665466587
1999-11-04,4785.539559441047
1999-11-05,4713.240020825101
1999-11-08,4684.957220733799
1999-11-09,4707.564500936545
1999-11-10,4782.001301623141
1999-11-11,4738.007825550431
1999-11-12,4758.178866096948
1999-11-15,4746.132253087845
1999-11-16,4701.274599605061
1999-11-17,4772.987652281022
1999-11-18,4835.817850208814
1999-11-19,4867.094638020475
1999-11-22,4939.458844956837
1999-11-23,4970.051787959347
1999-11-24,4938.247933896905
1999-11-25,4889.963021426753
1999-11-26,5041.143979400754
1999-11-29,5055.855892700032
1999-11-30,4928.400011383059
1999-12-01,4902.058265272001
1999-12-02,4883.535456922193
1999-12-03,4902.146390438102
1999-12-06,4899.028055516459
1999-12-07,4934.694254174932
1999-12-08,4860.190322847101
1999-12-09,4871.0286815108375
1999-12-10,4925.139445035246
1999-12-13,4853.387643205368
1999-12-14,4823.428099834207
1999-12-15,4850.061695760058
1999-12-16,4853.5341188950515
1999-12-17,4899.462493145961
1999-12-20,4916.324433705393
1999-12-21,4923.463252537676
1999-12-22,5048.762562004957
1999-12-23,5036.1183502132335
1999-12-24,5060.9311894903585
1999-12-27,5029.083434839657
1999-12-28,5153.225939507073
1999-12-29,5203.18662328834
1999-12-30,5232.683736330178
1999-12-31,5232.683736330178
2000-01-03,5279.8831217083425
2000-01-04,5194.168178900418
2000-01-05,4966.915342020113
2000-01-06,4778.10490572212
2000-01-07,4763.436471824645
2000-01-10,4767.731698900189
2000-01-11,4940.159569623171
2000-01-12,4885.382424328041
2000-01-13,4891.304500287931
2000-01-14,4920.19222132639
2000-01-17,5045.518000742458
2000-01-18,4970.232379751937
2000-01-19,4863.203911937125
2000-01-20,4871.686509956613
2000-01-21,4903.298302995288
2000-01-24,4918.643777920707
2000-01-25,4858.822665627758
2000-01-26,4928.56641243199
2000-01-27,5004.000388251767
2000-01-28,5043.262288080901
2000-01-31,5004.267258469845
2000-02-01,4923.870280648604
2000-02-02,4953.917106812954
2000-02-03,5033.3633696069655
2000-02-04,5126.666601993246
2000-02-07,5094.921778832509
2000-02-08,4986.271645966651
2000-02-09,5036.178255886807
2000-02-10,5029.138480669511
2000-02-11,5010.668515020407
2000-02-14,4990.647352054179
2000-02-15,4890.48117796405
2000-02-16,4857.250959770143
2000-02-17,4910.086273510034
2000-02-18,4896.769491746588
2000-02-21,4767.43340169273
2000-02-22,4707.73705778752
2000-02-23,4729.8648010110555
2000-02-24,4777.794718097029
2000-02-25,4863.399180457745
2000-02-28,4920.514072576406
2000-02-29,4872.983213457662
2000-03-01,5000.48101902645
2000-03-02,4972.344759422748
2000-03-03,4907.307252876837
2000-03-06,4811.616249675681
2000-03-07,4914.410789243722
2000-03-08,4883.128752800846
2000-03-09,4859.687167027416
2000-03-10,4850.123901759658
2000-03-13,4717.700806576664
2000-03-14,4739.939257040113
2000-03-15,4725.106916813482
2000-03-16,4845.877337919219
2000-03-17,4895.893456317838
2000-03-20,4873.845058142752
2000-03-21,4875.15300408227
2000-03-22,4820.682417728922
2000-03-23,4810.426592332278
2000-03-24,4824.173178674215
2000-03-27,4897.003120633629
2000-03-28,5037.22999086547
2000-03-29,5213.066653169688
2000-03-30,5153.1020458912035
2000-03-31,5286.353226044921
2000-04-03,5273.628243650591
2000-04-04,5203.227996757867
2000-04-05,5172.949744835628
2000-04-06,5087.230978950644
2000-04-07,5082.125453932387
2000-04-10,5116.125471371352
2000-04-11,5086.293806687912
2000-04-12,5160.829100207209
2000-04-13,5052.585444669991
2000-04-14,5063.112254952395
2000-04-17,4803.186137968355
2000-04-18,4904.167631839706
2000-04-19,4942.321616896787
2000-04-20,4944.942854603914
2000-04-21,4932.122684070613
2000-04-24,5044.406457287096
2000-04-25,5046.300305985351
2000-04-26,4998.850833049417
2000-04-27,4952.681734539637
2000-04-28,4886.88132972675
2000-05-01,4989.047297108204
2000-05-02,5009.084659553493
2000-05-03,5000.817708999288
2000-05-04,5047.560819850173
2000-05-05,5021.998819464317
2000-05-08,4994.704155196879
2000-05-09,4891.989997443945
2000-05-10,4889.646613201701
2000-05-11,4761.17155785898
2000-05-12,4850.467363114744
2000-05-15,4814.8866329078055
2000-05-16,4828.773312344676
2000-05-17,4798.8171384651605
2000-05-18,4778.341288520602
2000-05-19,4797.750759157424
2000-05-22,4642.67483083656
2000-05-23,4675.341339558046
2000-05-24,4632.456944619881
2000-05-25,4664.608342306133
2000-05-26,4654.086813053904
2000-05-29,4671.455959302787
2000-05-30,4697.873065390444
2000-05-31,4636.1763774116225
2000-06-01,4656.194592072661
2000-06-02,4723.8870636411075
2000-06-05,4876.774118351027
2000-06-06,4936.259609836756
2000-06-07,4912.759479145992
2000-06-08,4882.566566079457
2000-06-09,4856.632074872034
2000-06-12,4870.134826655119
2000-06-13,4831.41635455062
2000-06-14,4759.3096869323945
2000-06-15,4646.223326725232
2000-06-16,4664.142672080999
2000-06-19,4768.995614655614
2000-06-20,4862.783373460658
2000-06-21,4936.509503000777
2000-06-22,4965.765762187911
2000-06-23,4912.133239684389
2000-06-26,4821.708298339001
2000-06-27,4910.318217651253
2000-06-28,4940.928688490108
2000-06-29,5005.458406165321
2000-06-30,4953.26650333484
2000-07-03,4983.762538275994
2000-07-04,4983.636556454272
2000-07-05,4933.574993289321
2000-07-06,4867.430226016951
2000-07-07,4880.551546821974
2000-07-10,4964.362879855181
2000-07-11,4946.670244153057
2000-07-12,4870.310079975
2000-07-13,4790.856418003873
2000-07-14,4802.658025481503
2000-07-17,4772.182139636917
2000-07-18,4677.528030779592
2000-07-19,4662.606635556764
2000-07-20,4659.589046203133
2000-07-21,4572.7272353685485
2000-07-24,4529.84032068119
2000-07-25,4514.2265131617705
2000-07-26,4509.3191867061605
2000-07-27,4429.761435745094
2000-07-28,4345.507102746588
2000-07-31,4380.964151236689
2000-08-01,4451.020368768006
2000-08-02,4475.756092259818
2000-08-03,4447.451214850634
2000-08-04,4395.757059743335
2000-08-07,4447.738417739038
2000-08-08,4434.353648200889
2000-08-09,4499.37517997532
2000-08-10,4472.697346763048
2000-08-11,4494.773415399161
2000-08-14,4459.856038485286
2000-08-15,4497.955049950384
2000-08-16,4506.00187373835
2000-08-17,4457.129179867027
2000-08-18,4498.645660670145
2000-08-21,4456.753948683631
2000-08-22,4533.55524205321
2000-08-23,4611.376366873922
2000-08-24,4643.311260677381
2000-08-25,4710.654919007812
2000-08-28,4769.125681289994
2000-08-29,4769.384340555612
2000-08-30,4685.200818772641
2000-08-31,4662.778604407469
2000-09-01,4714.260100239415
2000-09-04,4688.320373027848
2000-09-05,4623.924109074569
2000-09-06,4580.834904120284
2000-09-07,4610.122105550909
2000-09-08,4622.667319944658
2000-09-11,4532.549902063705
2000-09-12,4466.424867928889
2000-09-13,4493.898344856999
2000-09-14,4482.994709822101
2000-09-15,4486.13186497243
2000-09-18,4499.9057612352735
2000-09-19,4520.485685791937
2000-09-20,4609.244929390548
2000-09-21,4591.230584518379
2000-09-22,4419.302449204194
2000-09-25,4472.46022027144
2000-09-26,4458.636542203504
2000-09-27,4363.991593459651
2000-09-28,4370.036142443306
2000-09-29,4438.284943185626
2000-10-02,4474.21485613081
2000-10-03,4500.068923308154
2000-10-04,4503.165589319045
2000-10-05,4487.6109173235645
2000-10-06,4485.197354671983
2000-10-09,4479.43126073577
2000-10-10,4469.462043515838
2000-10-11,4407.461301371798
2000-10-12,4391.3149177295845
2000-10-13,4354.663472741157
2000-10-16,4355.961163480686
2000-10-17,4323.312016674167
2000-10-18,4247.740891296194
2000-10-19,4229.283384641167
2000-10-20,4293.069382500826
2000-10-23,4281.436503014075
2000-10-24,4283.817821952116
2000-10-25,4261.758365705751
2000-10-26,4244.018316384856
2000-10-27,4247.972383315449
2000-10-30,4192.375774419474
2000-10-31,4179.002002914998
2000-11-01,4293.350502272023
2000-11-02,4305.701598349504
2000-11-03,4345.396570481236
2000-11-06,4424.986818580089
2000-11-07,4410.082555153496
2000-11-08,4394.784564550173
2000-11-09,4321.995309216313
2000-11-10,4274.6190141332745
2000-11-13,4222.7635334906245
2000-11-14,4184.927609590845
2000-11-15,4197.341268190886
2000-11-16,4107.807739698943
2000-11-17,4107.011059360464
2000-11-20,4063.0709646359883
2000-11-21,4011.433252907273
2000-11-22,3980.6086806275453
2000-11-23,3973.574528450634
2000-11-24,3946.493541265489
2000-11-27,4023.1483931572116
2000-11-28,4030.25208309513
2000-11-29,3964.6927184139668
2000-11-30,4003.553224538746
2000-12-01,4046.328577948836
2000-12-04,4051.306690794565
2000-12-05,3998.357481308698
2000-12-06,4044.0265371448877
2000-12-07,3984.3036193171993
2000-12-08,3952.1191586977
2000-12-11,4061.8420284349963
2000-12-12,4065.666964806947
2000-12-13,4052.7284625779153
2000-12-14,4017.2911253069738
2000-12-15,3944.1127038696327
2000-12-18,3932.8645609629434
2000-12-19,3846.4262308557627
2000-12-20,3789.6872844220925
2000-12-21,3715.3435217663955
2000-12-22,3700.4017480941275
2000-12-25,3813.9992210287287
2000-12-26,3783.5545565886982
2000-12-27,3766.273387689038
2000-12-28,3750.933785983364
2000-12-29,3758.6173330855813
2001-01-01,3758.6173330855813
2001-01-02,3748.9331362799558
2001-01-03,3752.5383523921246
2001-01-04,3715.859686601465
2001-01-05,3730.854677873391
2001-01-08,3730.05192921217
2001-01-09,3658.251673347123
2001-01-10,3620.592356896522
2001-01-11,3521.7758944117422
