Date,SOUTHAFRICA
1998-12-31,76.93696443066843
1999-01-01,76.93696443066843
1999-01-04,76.98070309494726
1999-01-05,78.9628077978549
1999-01-06,85.063539010408
1999-01-07,83.29027277312062
1999-01-08,85.97512971094334
1999-01-11,84.19899064740412
1999-01-12,83.51669056574362
1999-01-13,78.5705285279426
1999-01-14,77.71902867410617
1999-01-15,78.24464739707327
1999-01-18,81.58028411159889
1999-01-19,81.26437170321083
1999-01-20,81.22808207582817
1999-01-21,79.834424359781
1999-01-22,78.67392873065883
1999-01-25,78.21350716071994
1999-01-26,78.27864353354624
1999-01-27,80.47958312186259
1999-01-28,80.94669743833731
1999-01-29,81.34423227228986
1999-02-01,81.79617923559671
1999-02-02,81.73831879149662
1999-02-03,81.36647090185855
1999-02-04,81.57308435046747
1999-02-05,83.25821544815129
1999-02-08,84.76914664034084
1999-02-09,82.12709204393981
1999-02-10,80.85785140118242
1999-02-11,81.99291551671202
1999-02-12,82.14509837109517
1999-02-15,81.26796081260152
1999-02-16,80.82472157492893
1999-02-17,80.46106516389378
1999-02-18,80.90711183139844
1999-02-19,79.60285332928042
1999-02-22,80.79685500641214
1999-02-23,81.64697230299774
1999-02-24,81.68335348536807
1999-02-25,81.8606870334236
1999-02-26,80.94312140823057
1999-03-01,81.1475629263336
1999-03-02,81.14214964151627
1999-03-03,83.01220719627528
1999-03-04,84.08691041636081
1999-03-05,85.9598500298074
1999-03-08,87.05877685314393
1999-03-09,87.70747471558933
1999-03-10,87.7182766653954
1999-03-11,89.65718510962343
1999-03-12,89.52095667355425
1999-03-15,88.15309822978963
1999-03-16,88.51393105423018
1999-03-17,89.09562913057077
1999-03-18,88.30673519280052
1999-03-19,90.3690066739056
1999-03-22,90.65078061243649
1999-03-23,89.24142160068831
1999-03-24,88.66787653446843
1999-03-25,89.41167079305907
1999-03-26,87.71512609670195
1999-03-29,87.35899950637564
1999-03-30,87.65470672916491
1999-03-31,87.17746750817112
1999-04-01,87.60055387738073
1999-04-02,87.54376285708625
1999-04-05,87.6894376136482
1999-04-06,87.2602078278288
1999-04-07,86.7488939946583
1999-04-08,85.7553169567167
1999-04-09,87.31692421926779
1999-04-12,88.38817758586823
1999-04-13,90.87475411769954
1999-04-14,92.34964803574977
1999-04-15,93.9504669915926
1999-04-16,96.14683806296105
1999-04-19,98.49456183886645
1999-04-20,97.02020263271903
1999-04-21,94.6808603697187
1999-04-22,94.07735374144059
1999-04-23,94.0080481545118
1999-04-26,94.77968128431203
1999-04-27,94.77577750273683
1999-04-28,96.38752612374667
1999-04-29,96.86272343770447
1999-04-30,97.52526610689918
1999-05-03,97.46117607678914
1999-05-04,97.65572965622356
1999-05-05,95.48313826182131
1999-05-06,96.7285107501034
1999-05-07,95.16928853344965
1999-05-10,94.22158285244089
1999-05-11,94.44182337618977
1999-05-12,92.00387331398758
1999-05-13,91.86344950524801
1999-05-14,91.23259101674516
1999-05-17,90.01753553929699
1999-05-18,90.18362013378312
1999-05-19,89.09103522442462
1999-05-20,88.77484892044319
1999-05-21,89.49479195069067
1999-05-24,89.01764274594527
1999-05-25,87.68453442090504
1999-05-26,86.82292043372456
1999-05-27,85.75589090647135
1999-05-28,86.31818471101289
1999-05-31,87.08274348693372
1999-06-01,89.86969116033809
1999-06-02,89.97844848388763
1999-06-03,91.78272416468879
1999-06-04,92.67863280376424
1999-06-07,95.34976341776289
1999-06-08,95.36743506912296
1999-06-09,95.26713311796435
1999-06-10,94.60621997367629
1999-06-11,96.203556762509
1999-06-14,96.1631094615685
1999-06-15,96.24016490892438
1999-06-16,96.45776880290224
1999-06-17,96.94443126329948
1999-06-18,98.6523272393887
1999-06-21,100.23243861125502
1999-06-22,100.98173386280244
1999-06-23,100.09604860756055
1999-06-24,98.74105325487909
1999-06-25,98.2117100134639
1999-06-28,98.94790674681703
1999-06-29,99.06727829397943
1999-06-30,100.22027256906959
1999-07-01,102.61113490093128
1999-07-02,103.69180689071733
1999-07-05,105.62248692659949
1999-07-06,104.09584520627321
1999-07-07,102.75200571343419
1999-07-08,102.24165590042801
1999-07-09,101.63023168914033
1999-07-12,101.97977324468104
1999-07-13,99.23423843112077
1999-07-14,100.24055546100244
1999-07-15,99.85238924120861
1999-07-16,99.08612092593813
1999-07-19,99.22498060619083
1999-07-20,98.84016345245867
1999-07-21,98.59230409721847
1999-07-22,98.79360043221558
1999-07-23,99.04008646264069
1999-07-26,97.08413263394306
1999-07-27,97.51173751107369
1999-07-28,97.46187774190474
1999-07-29,96.3403383753524
1999-07-30,96.9281537097349
1999-08-02,95.69067110715518
1999-08-03,96.15320382739804
1999-08-04,97.99165413842967
1999-08-05,97.11456889707182
1999-08-06,96.44636751414325
1999-08-09,96.59095899824602
1999-08-10,95.63606278854158
1999-08-11,96.93998199864646
1999-08-12,98.20703609287474
1999-08-13,98.33065609921302
1999-08-16,98.25277511822877
1999-08-17,98.0593194292768
1999-08-18,98.5691837700374
1999-08-19,97.62174198281666
1999-08-20,97.75138461473055
1999-08-23,98.19625337730979
1999-08-24,97.38408831590819
1999-08-25,97.53715748412158
1999-08-26,97.06983620721255
1999-08-27,97.07565879668066
1999-08-30,96.9101519987974
1999-08-31,95.85509924879712
1999-09-01,97.32433060626524
1999-09-02,96.05735498774068
1999-09-03,96.76272846503393
1999-09-06,96.6352539167777
1999-09-07,95.86084874814902
1999-09-08,93.90455331932931
1999-09-09,93.20521400815635
1999-09-10,92.94242657370766
1999-09-13,93.02334348730834
1999-09-14,94.83716781476498
1999-09-15,94.96778446864857
