Date,GREECE
1998-12-31,114.42420722174231
1999-01-01,114.42420722174231
1999-01-04,123.5126210657003
1999-01-05,124.05181195921267
1999-01-06,123.32617940669527
1999-01-07,128.251898948272
1999-01-08,127.75851893036291
1999-01-11,126.19341775853148
1999-01-12,125.88027989608018
1999-01-13,118.49316521356756
1999-01-14,122.9432187487552
1999-01-15,120.9036827750044
1999-01-18,125.9622133496613
1999-01-19,124.73349188525205
1999-01-20,126.59542203727948
1999-01-21,126.89431637441582
1999-01-22,126.21771802741917
1999-01-25,122.97845110640084
1999-01-26,127.32573911684054
1999-01-27,127.42512340626506
1999-01-28,129.01398590896815
1999-01-29,131.12105390557915
1999-02-01,134.0648866774875
1999-02-02,137.09953794266778
1999-02-03,136.56254056120784
1999-02-04,134.6154112887252
1999-02-05,134.46907531435136
1999-02-08,134.4998611473044
1999-02-09,130.3011495372159
1999-02-10,131.0518970589764
1999-02-11,133.89420008757483
1999-02-12,135.65730434030897
1999-02-15,136.44184934015658
1999-02-16,133.54798218681572
1999-02-17,134.3496805195679
1999-02-18,131.7594894909832
1999-02-19,126.64777340056757
1999-02-22,125.92289375933369
1999-02-23,118.3313865481871
1999-02-24,126.1177673381689
1999-02-25,130.5100046099315
1999-02-26,129.42582838105307
1999-03-01,128.69694045984022
1999-03-02,125.49037597724586
1999-03-03,125.90044029715057
1999-03-04,120.99895008145307
1999-03-05,121.40891599653958
1999-03-08,124.79990026239734
1999-03-09,129.50322605905995
1999-03-10,130.6438752111706
1999-03-11,130.2267474849541
1999-03-12,134.3372723585368
1999-03-15,137.59040177226004
1999-03-16,136.9008197104699
1999-03-17,139.0288216157921
1999-03-18,139.88990840057656
1999-03-19,142.80079386625746
1999-03-22,141.2049080057151
1999-03-23,135.77741771911377
1999-03-24,128.74821509133835
1999-03-25,128.1700375819414
1999-03-26,128.54271150365224
1999-03-29,126.72573290143188
1999-03-30,128.9137171204218
1999-03-31,124.95012437133255
1999-04-01,115.51605101674669
1999-04-02,122.76502936357498
1999-04-05,119.39368143591854
1999-04-06,122.75996037119506
1999-04-07,131.1894235136362
1999-04-08,134.7287198599265
1999-04-09,134.1264926706557
1999-04-12,134.8795584268545
1999-04-13,137.00684289239743
1999-04-14,137.96234223480258
1999-04-15,133.37992048821673
1999-04-16,129.96960654103296
1999-04-19,122.1650082730194
1999-04-20,122.3198368120532
1999-04-21,121.17244921837926
1999-04-22,119.10105868958001
1999-04-23,121.13430819738603
1999-04-26,118.45496125926036
1999-04-27,125.72471789787807
1999-04-28,129.4406165655944
1999-04-29,127.74618628930854
1999-04-30,131.7445147949841
1999-05-03,135.90216642255314
1999-05-04,135.71826154822222
1999-05-05,138.74165461565394
1999-05-06,145.8861590843205
1999-05-07,147.80713212727431
1999-05-10,146.48709099156557
1999-05-11,148.81299414024605
1999-05-12,147.6530896825441
1999-05-13,143.95930234863133
1999-05-14,146.34467175780495
1999-05-17,142.14386618472432
1999-05-18,147.75647767497935
1999-05-19,147.63383780967908
1999-05-20,148.85338702963742
1999-05-21,148.99046379716285
1999-05-24,148.97690109588083
1999-05-25,147.88571752855214
1999-05-26,140.44143765635363
1999-05-27,138.75901391213154
1999-05-28,137.73665993817292
1999-05-31,137.59291223936648
1999-06-01,144.24025497007528
1999-06-02,141.88196977075106
1999-06-03,144.11788743438822
1999-06-04,141.16447506785124
1999-06-07,142.57632675470853
1999-06-08,143.00210952795928
1999-06-09,143.23195000027937
1999-06-10,143.29225499021146
1999-06-11,143.0659548028628
1999-06-14,141.4902465070219
1999-06-15,139.68521608051964
1999-06-16,138.96987941816806
1999-06-17,138.31599542054695
1999-06-18,139.53018958760734
1999-06-21,139.2561722173631
1999-06-22,137.04204321126505
1999-06-23,134.75041011264747
1999-06-24,135.36694261630515
1999-06-25,137.45766282643038
1999-06-28,136.43531915065043
1999-06-29,135.91292458651614
1999-06-30,136.89510536556125
1999-07-01,138.66153020878897
1999-07-02,139.05212524983492
1999-07-05,145.1895136162186
1999-07-06,143.98218833431773
1999-07-07,143.0016232250786
1999-07-08,140.72569942587046
1999-07-09,140.20774566521845
1999-07-12,140.6649825087924
1999-07-13,140.18641699299232
1999-07-14,141.31413620968692
1999-07-15,145.2247722914319
1999-07-16,148.32615003305352
1999-07-19,151.24233906073917
1999-07-20,152.3456550267596
1999-07-21,152.5647007193704
1999-07-22,153.54115799957026
1999-07-23,152.04301215259466
1999-07-26,153.98961736220824
1999-07-27,150.75844824233502
1999-07-28,149.1139858731008
1999-07-29,149.88509747102054
1999-07-30,148.12703932582488
1999-08-02,146.09772601074727
1999-08-03,146.7466119589969
1999-08-04,150.29646279416136
1999-08-05,150.96322065933697
1999-08-06,151.14515972578783
1999-08-09,152.16333263921453
1999-08-10,156.63236228492784
1999-08-11,155.5277601908182
1999-08-12,158.63892005791524
1999-08-13,160.69751681610504
1999-08-16,163.65386187507306
1999-08-17,162.53326899800425
1999-08-18,164.5944540317614
1999-08-19,163.01553499266586
1999-08-20,163.89203128543684
1999-08-23,166.1983987892184
1999-08-24,166.3573992348475
1999-08-25,172.02417227934885
1999-08-26,167.7672977004875
1999-08-27,168.3009836453904
1999-08-30,169.6524696974858
1999-08-31,171.2734808254499
1999-09-01,177.8690374484543
1999-09-02,181.89126802677643
1999-09-03,178.32406704907095
1999-09-06,184.61351488867365
1999-09-07,187.14087215234667
1999-09-08,187.0863329982165
1999-09-09,186.75976745504772
1999-09-10,187.87842885149865
1999-09-13,196.68681462160703
1999-09-14,199.24922917388866
1999-09-15,200.43606451300232
1999-09-16,202.95842372730388
1999-09-17,201.76508222776764
1999-09-20,201.22931032956706
1999-09-21,191.4751158031631
1999-09-22,191.98711721655545
1999-09-23,182.8698352893575
1999-09-24,173.78581533495677
1999-09-27,167.14886918771614
1999-09-28,177.72931748174204
1999-09-29,178.9861724259809
1999-09-30,182.57783844343246
1999-10-01,182.71573677676574
1999-10-04,183.50670555160673
1999-10-05,188.70149361646537
1999-10-06,191.35780238470903
1999-10-07,193.9618044151054
1999-10-08,193.20949843564253
1999-10-11,193.75045718315647
1999-10-12,199.1216965294876
1999-10-13,200.4330448581737
1999-10-14,195.0406187256334
1999-10-15,192.13085118445704
1999-10-18,179.6964503941312
1999-10-19,176.90148809278662
1999-10-20,186.13811446811687
1999-10-21,184.35646319563415
1999-10-22,180.98975402533844
1999-10-25,179.68506404127058
1999-10-26,176.44215728622052
1999-10-27,171.88721908996723
1999-10-28,171.7229848810998
1999-10-29,173.030389007363
1999-11-01,179.2247137150181
1999-11-02,179.81385992891936
1999-11-03,176.66290675527685
1999-11-04,174.91145775229035
1999-11-05,177.1550887517363
1999-11-08,180.49861328916472
1999-11-09,180.00797258677656
1999-11-10,181.24855297602224
1999-11-11,178.2194272558087
1999-11-12,177.82664785664693
1999-11-15,178.0866905984632
1999-11-16,176.94917895811457
1999-11-17,177.4686065025556
1999-11-18,173.66149572229452
1999-11-19,173.9771795233565
1999-11-22,174.20797658204896
1999-11-23,171.37615137810585
1999-11-24,165.22321276196072
1999-11-25,166.40893818626432
1999-11-26,171.22556912140203
1999-11-29,177.47336082836566
1999-11-30,175.1373414355247
1999-12-01,173.90816227428658
1999-12-02,170.69944318387022
1999-12-03,170.26089410181976
1999-12-06,171.23390378065605
1999-12-07,166.708408077163
1999-12-08,164.80207217879695
1999-12-09,164.5645034955211
1999-12-10,168.83906347985067
1999-12-13,173.55388204388663
1999-12-14,170.76140045935458
1999-12-15,165.76441866576226
1999-12-16,161.43436294093016
1999-12-17,161.94228513133504
1999-12-20,155.86712408156475
1999-12-21,154.89818790450556
1999-12-22,156.22068572794336
1999-12-23,150.7033209477797
1999-12-24,151.82047423317945
1999-12-27,158.25542275044327
1999-12-28,162.23537358419694
1999-12-29,166.3492487985671
1999-12-30,171.45528029436795
1999-12-31,171.45528029436795
2000-01-03,182.1689710007353
2000-01-04,179.15473530260755
2000-01-05,172.92825395999688
2000-01-06,173.1554992912972
2000-01-07,172.85186435925561
2000-01-10,170.7743898953584
2000-01-11,166.57516452057948
2000-01-12,166.78762624430675
2000-01-13,166.09357820570875
2000-01-14,167.20461322874837
2000-01-17,169.5359549599981
2000-01-18,165.91065966804408
2000-01-19,160.59737961539696
2000-01-20,160.67459993588264
2000-01-21,161.8537585549338
2000-01-24,160.75497950872972
2000-01-25,159.14365782263312
2000-01-26,155.59544210938986
2000-01-27,153.98251276318183
2000-01-28,154.80951486511907
2000-01-31,153.15208022351212
2000-02-01,156.72849349414102
2000-02-02,158.37515852936426
2000-02-03,163.52287247537186
2000-02-04,165.38652928868623
2000-02-07,169.319756141663
2000-02-08,172.98953384417447
2000-02-09,175.99260746088774
2000-02-10,172.67503891062552
2000-02-11,172.99253633537197
2000-02-14,170.667798025121
2000-02-15,170.4941180979474
2000-02-16,168.02802813178917
2000-02-17,164.80657362710906
2000-02-18,166.3667442598513
2000-02-21,163.8772923033046
2000-02-22,165.23785791624303
2000-02-23,164.50766899179408
2000-02-24,168.3452543711645
2000-02-25,164.40935228022292
2000-02-28,158.0391014982064
2000-02-29,156.97881818803793
2000-03-01,159.78663147209562
2000-03-02,162.61707443161552
2000-03-03,160.09062798463196
2000-03-06,160.02246319590583
2000-03-07,154.43331095661543
2000-03-08,151.8648204789303
2000-03-09,153.3547357926805
2000-03-10,152.8938430956858
2000-03-13,153.32584596884112
2000-03-14,142.156679407449
2000-03-15,144.13496295883192
2000-03-16,149.43460135749402
2000-03-17,151.17774888424665
2000-03-20,151.69960679884903
2000-03-21,149.2408662995207
2000-03-22,146.97970551152832
2000-03-23,145.74705128711688
2000-03-24,146.6702177812874
2000-03-27,146.63267519889794
2000-03-28,146.24025051477852
2000-03-29,146.20663153845473
2000-03-30,147.42586838032733
2000-03-31,147.81874847279147
2000-04-03,148.1815052484624
2000-04-04,148.3336654149838
2000-04-05,149.76316017035265
2000-04-06,148.63784958322003
2000-04-07,151.91633425702153
2000-04-10,152.42485946299848
2000-04-11,152.18347816513798
2000-04-12,149.95586312197685
2000-04-13,145.0126950330409
2000-04-14,137.62293028588903
2000-04-17,124.7134367544523
2000-04-18,120.2093143486262
2000-04-19,128.60585535816548
2000-04-20,130.27158346631185
2000-04-21,132.8722786371195
2000-04-24,131.92385528768895
2000-04-25,125.97673034883151
2000-04-26,122.86203362948929
2000-04-27,124.12771525707322
2000-04-28,124.01339860860627
2000-05-01,123.68507322113042
2000-05-02,127.66418990241345
2000-05-03,126.2098914116452
2000-05-04,125.23962104832978
2000-05-05,127.06437019846257
2000-05-08,129.119459854701
2000-05-09,129.71388216879723
2000-05-10,132.71154809747722
2000-05-11,131.6690165588171
2000-05-12,132.79324240446525
2000-05-15,136.76034225550586
2000-05-16,136.63425707732614
2000-05-17,134.48995773216933
2000-05-18,135.73026579180186
2000-05-19,137.44576614160553
2000-05-22,136.20520863720128
2000-05-23,136.55704934350328
2000-05-24,133.20922474436745
2000-05-25,132.7089289273739
2000-05-26,136.44121428580647
2000-05-29,137.12927336139848
2000-05-30,137.0847097096539
2000-05-31,137.32133210473603
2000-06-01,135.30307331231813
2000-06-02,137.37230580056917
2000-06-05,136.26055562623444
2000-06-06,137.845210750838
2000-06-07,134.00790113380694
2000-06-08,134.50536151894553
2000-06-09,136.13797869424815
2000-06-12,134.54547178054503
2000-06-13,133.57850484409212
2000-06-14,135.27771118678743
2000-06-15,135.3693134858788
2000-06-16,135.75320326838153
2000-06-19,135.6447954859755
2000-06-20,133.39129997562492
2000-06-21,131.21234153810065
2000-06-22,128.24744784661104
2000-06-23,125.97993880360202
2000-06-26,123.38031121064773
2000-06-27,127.63648894608714
2000-06-28,125.90839392379455
2000-06-29,127.31237551367911
2000-06-30,127.27767294011291
2000-07-03,125.68159754534265
2000-07-04,124.03999666302815
2000-07-05,126.19364536301715
2000-07-06,124.2900322233689
2000-07-07,121.60080047803956
2000-07-10,122.13700403871425
2000-07-11,123.28002184897232
2000-07-12,121.16154612094745
2000-07-13,120.3629111539681
2000-07-14,122.87383407135975
2000-07-17,124.61471871949337
2000-07-18,124.98792938804809
2000-07-19,122.35410584002328
2000-07-20,123.04024447350423
2000-07-21,123.82840148582058
2000-07-24,123.80799063026984
2000-07-25,123.52419110981545
2000-07-26,122.612277267347
2000-07-27,122.93036297594226
2000-07-28,122.14183720227868
2000-07-31,121.88403857764017
