Date,CZECHREPUBLIC
1998-12-31,93.83939581086841
1999-01-01,93.83939581086841
1999-01-04,95.14258572822206
1999-01-05,96.01101678638999
1999-01-06,99.55449184196793
1999-01-07,97.82616254189315
1999-01-08,97.76348157906732
1999-01-11,95.64589801962343
1999-01-12,95.04017222681594
1999-01-13,90.09325581215772
1999-01-14,91.0297570296529
1999-01-15,87.73189814706427
1999-01-18,89.52863073632145
1999-01-19,89.65539180736464
1999-01-20,90.39164538456316
1999-01-21,90.24480643639228
1999-01-22,89.05784411790206
1999-01-25,88.86473671723266
1999-01-26,87.79970555608325
1999-01-27,87.22550886187426
1999-01-28,86.30080513322042
1999-01-29,85.37233375282477
1999-02-01,83.90449886194513
1999-02-02,82.34911932192561
1999-02-03,81.93706115098051
1999-02-04,82.05919312462835
1999-02-05,80.54661560982609
1999-02-08,78.23192239948146
1999-02-09,75.92406726590958
1999-02-10,76.31923903757851
1999-02-11,77.02365103099051
1999-02-12,77.06317993808189
1999-02-15,76.40013610391917
1999-02-16,76.19418021317533
1999-02-17,75.74860542522848
1999-02-18,74.61434143463771
1999-02-19,73.79230363536472
1999-02-22,72.94136705575781
1999-02-23,68.8140035731715
1999-02-24,68.06646580862673
1999-02-25,68.81835021398547
1999-02-26,67.62913011963204
1999-03-01,66.88841729434456
1999-03-02,68.24838286134568
1999-03-03,69.96435351299216
1999-03-04,69.70986764031079
1999-03-05,70.61710598061632
1999-03-08,69.98642078531104
1999-03-09,70.38601520770456
1999-03-10,72.06533876010502
1999-03-11,74.25113980672758
1999-03-12,74.9165268106037
1999-03-15,74.52555998226104
1999-03-16,76.72458675332919
1999-03-17,78.26429229906643
1999-03-18,77.21050778950494
1999-03-19,78.52777173944231
1999-03-22,77.77212812788738
1999-03-23,75.30465499722308
1999-03-24,73.31663549157525
1999-03-25,75.17479534933021
1999-03-26,73.26243197976699
1999-03-29,73.15084192384454
1999-03-30,75.98266809180555
1999-03-31,76.89834822415823
1999-04-01,77.77993931919468
1999-04-02,78.75144544650918
1999-04-05,79.12078323251137
1999-04-06,80.47262043104735
1999-04-07,81.45155488493424
1999-04-08,82.97630336937317
1999-04-09,81.35479614551969
1999-04-12,79.71941007502578
1999-04-13,79.40587107056062
1999-04-14,80.2464346433546
1999-04-15,79.99937522045771
1999-04-16,78.842530656053
1999-04-19,80.02708880922253
1999-04-20,79.72458719449267
1999-04-21,79.57612857835008
1999-04-22,79.90806479636396
1999-04-23,80.7744388949757
1999-04-26,81.13850290693335
1999-04-27,82.09524903568075
1999-04-28,81.60986945281884
1999-04-29,80.82986607250535
1999-04-30,81.34860368379013
1999-05-03,82.30824100432248
1999-05-04,83.38126352841915
1999-05-05,83.42383377032874
1999-05-06,85.66841393769933
1999-05-07,85.60274700529878
1999-05-10,87.4400548109106
1999-05-11,93.55351221474268
1999-05-12,89.6185926882974
1999-05-13,91.30627639247066
1999-05-14,92.39398290522381
1999-05-17,90.80899515903805
1999-05-18,91.43907884381616
1999-05-19,96.3125856375255
1999-05-20,97.92894201694293
1999-05-21,100.2084088564941
1999-05-24,104.14064176103732
1999-05-25,105.15765248816844
1999-05-26,100.02584431194406
1999-05-27,95.59636301775676
1999-05-28,97.47418785929783
1999-05-31,100.28835532975518
1999-06-01,100.88457988373682
1999-06-02,97.76936249400279
1999-06-03,97.81284767002155
1999-06-04,96.39589249955056
1999-06-07,95.01108764447832
1999-06-08,95.30286341626702
1999-06-09,95.21814333294104
1999-06-10,93.39641662060967
1999-06-11,95.84867087806134
1999-06-14,97.28036540243235
1999-06-15,99.38493343767728
1999-06-16,98.8471755192556
1999-06-17,98.14318674151872
1999-06-18,98.23366950214144
1999-06-21,98.49513514908321
1999-06-22,97.3542845713005
1999-06-23,96.87654163846966
1999-06-24,98.44720573927884
1999-06-25,99.0079899686446
1999-06-28,98.63034833450709
1999-06-29,97.48601819192771
1999-06-30,98.71545315935589
1999-07-01,98.44849227739542
1999-07-02,96.61124640578483
1999-07-05,96.73147719327355
1999-07-06,96.93436078219852
1999-07-07,98.30870066784992
1999-07-08,98.16651709210521
1999-07-09,98.06623562177192
1999-07-12,97.4825461342827
1999-07-13,94.87511529834234
1999-07-14,96.51473446398127
1999-07-15,97.65115582228172
1999-07-16,97.38777022130165
1999-07-19,98.76860003956733
1999-07-20,102.06155393693693
1999-07-21,102.34193854446812
1999-07-22,105.98442448496009
1999-07-23,106.98892548223566
1999-07-26,106.88887767199793
1999-07-27,106.94411247876617
1999-07-28,108.25088706103979
1999-07-29,108.20044650900353
1999-07-30,110.02909199998804
1999-08-02,109.59244603055258
1999-08-03,112.34042388317472
1999-08-04,115.71304742758774
1999-08-05,113.54223159408222
1999-08-06,113.30948080225856
1999-08-09,112.11672765465286
1999-08-10,108.9543287550991
1999-08-11,109.07061922635772
1999-08-12,109.24207787841354
1999-08-13,109.1913726992811
1999-08-16,108.14258795272843
1999-08-17,107.95134795603566
1999-08-18,108.25490807915028
1999-08-19,108.97559088540191
1999-08-20,109.06749062090138
1999-08-23,107.99205079396863
1999-08-24,107.40310536192004
1999-08-25,107.52704843590703
1999-08-26,106.44746559964923
1999-08-27,106.13196816699352
1999-08-30,105.70931365147345
1999-08-31,105.26807799718887
1999-09-01,104.67586507737813
1999-09-02,104.97805326852601
1999-09-03,105.79511476463915
1999-09-06,107.38490614949649
1999-09-07,106.75504298729851
1999-09-08,106.13406172391404
1999-09-09,105.32540260730181
1999-09-10,104.34286565900973
1999-09-13,102.72208662886776
1999-09-14,104.49541567280967
1999-09-15,104.10352264963036
