Date,SINGAPORE
1998-12-31,2617.981125789117
1999-01-01,2617.981125789117
1999-01-04,2592.3455928072776
1999-01-05,2527.4960273971465
1999-01-06,2646.365198615489
1999-01-07,2766.572734144957
1999-01-08,2842.8687151726967
1999-01-11,2844.0241087829413
1999-01-12,2828.834974988282
1999-01-13,2758.4622286172626
1999-01-14,2742.6740483813996
1999-01-15,2791.6222844114113
1999-01-18,2839.8367526914867
1999-01-19,2841.1877094918277
1999-01-20,2861.6797734952634
1999-01-21,2806.8137220294616
1999-01-22,2750.4840882152876
1999-01-25,2588.01581854258
1999-01-26,2633.866799642104
1999-01-27,2695.3484632329637
1999-01-28,2621.750809171763
1999-01-29,2628.953346485412
1999-02-01,2582.7916372060677
1999-02-02,2547.9912853375554
1999-02-03,2525.9378312108884
1999-02-04,2548.4829683727903
1999-02-05,2528.9082973154536
1999-02-08,2497.392516926979
1999-02-09,2455.0492640186544
1999-02-10,2422.8493266225773
1999-02-11,2559.6665910449924
1999-02-12,2525.365331098301
1999-02-15,2536.577437405151
1999-02-16,2527.6116112638506
1999-02-17,2527.6116112638506
1999-02-18,2477.937487607091
1999-02-19,2539.880072954957
1999-02-22,2585.0786531579347
1999-02-23,2561.739717938882
1999-02-24,2569.3892755297593
1999-02-25,2586.9557456251255
1999-02-26,2593.2266481753504
1999-03-01,2605.2130224001535
1999-03-02,2582.7540691769127
1999-03-03,2591.4080414065097
1999-03-04,2611.291896034802
1999-03-05,2662.859029483997
1999-03-08,2659.450601316898
1999-03-09,2638.4468790822384
1999-03-10,2687.718671399586
1999-03-11,2669.177317492599
1999-03-12,2695.5234490914113
1999-03-15,2744.365813964696
1999-03-16,2722.0309530468176
1999-03-17,2683.8655791382726
1999-03-18,2688.8673106185265
1999-03-19,2704.4569693456206
1999-03-22,2763.7468591379693
1999-03-23,2760.3378811948337
1999-03-24,2782.1045616689826
1999-03-25,2793.636218752047
1999-03-26,2788.522071162252
1999-03-29,2788.843873402234
1999-03-30,2842.750277706566
1999-03-31,2878.876401396989
1999-04-01,2924.270832767987
1999-04-02,2919.204227715436
1999-04-05,2960.2596957079845
1999-04-06,2991.194650803892
1999-04-07,3039.7362358256346
1999-04-08,3077.1168698917245
1999-04-09,3105.947596477967
1999-04-12,3109.1255375867513
1999-04-13,3158.658316442529
1999-04-14,3241.1258214569593
1999-04-15,3256.171516065737
1999-04-16,3340.8676822327398
1999-04-19,3472.8843023051727
1999-04-20,3400.489689110706
1999-04-21,3443.956972215388
1999-04-22,3501.5688931849736
1999-04-23,3505.757636806425
1999-04-26,3518.076913511183
1999-04-27,3522.7838079570506
1999-04-28,3442.863048801977
1999-04-29,3414.986366897595
1999-04-30,3561.8385885934604
1999-05-03,3558.8614204572127
1999-05-04,3605.6259722503924
1999-05-05,3668.6934255485758
1999-05-06,3685.0932185350453
1999-05-07,3560.6981174756324
1999-05-10,3510.6093317883597
1999-05-11,3563.9168205505457
1999-05-12,3547.156531563055
1999-05-13,3498.3611594509784
1999-05-14,3519.290818999589
1999-05-17,3563.9072125598136
1999-05-18,3716.6152558984104
1999-05-19,3689.2008047415975
1999-05-20,3698.080473124049
1999-05-21,3740.250389502035
1999-05-24,3690.282554542774
1999-05-25,3599.235977738755
1999-05-26,3564.0409652155304
1999-05-27,3607.094162245546
1999-05-28,3612.3169036924387
1999-05-31,3617.3643713029605
1999-06-01,3627.5382648347572
1999-06-02,3660.9973726129056
1999-06-03,3691.4075272123364
1999-06-04,3661.6151114393465
1999-06-07,3687.326801492135
1999-06-08,3822.641161489668
1999-06-09,3820.0729220052694
