Date,PORTUGAL
1998-12-31,207.6142405980989
1999-01-01,207.6142198366748
1999-01-04,215.90992225638283
1999-01-05,218.96118930374737
1999-01-06,224.81688875168697
1999-01-07,221.4770856611664
1999-01-08,218.85930261517385
1999-01-11,217.801034698858
1999-01-12,215.63466314391303
1999-01-13,211.5626378450815
1999-01-14,212.17459535224123
1999-01-15,212.7611616377758
1999-01-18,215.6214568020686
1999-01-19,214.95832861302867
1999-01-20,217.08961751359732
1999-01-21,220.6035425154227
1999-01-22,216.56761302846152
1999-01-25,217.87358341909257
1999-01-26,219.3656384535717
1999-01-27,216.3636797883492
1999-01-28,215.32743351453357
1999-01-29,215.55516349890323
1999-02-01,215.85353838092118
1999-02-02,216.02576062192452
1999-02-03,215.34582190782336
1999-02-04,213.90577631675643
1999-02-05,213.74474240717893
1999-02-08,209.42500632946258
1999-02-09,207.1027663072462
1999-02-10,207.50208115690057
1999-02-11,209.47690366118488
1999-02-12,208.64754705426765
1999-02-15,207.75619475896542
1999-02-16,206.71167090537713
1999-02-17,205.3395504654067
1999-02-18,203.99910157783953
1999-02-19,202.35623140670512
1999-02-22,201.93498211253157
1999-02-23,200.74305837654586
1999-02-24,199.19944234541416
1999-02-25,199.75378690080794
1999-02-26,200.6460257089175
1999-03-01,199.71995200801766
1999-03-02,197.46367518232415
1999-03-03,196.20610382346132
1999-03-04,193.02887098789867
1999-03-05,195.37026965223743
1999-03-08,194.66464075200463
1999-03-09,190.73526927403043
1999-03-10,186.29636262221075
1999-03-11,187.187239480902
1999-03-12,186.9540347090078
1999-03-15,188.04903166062786
1999-03-16,185.79319912940923
1999-03-17,183.50133929901958
1999-03-18,179.78567969188984
1999-03-19,180.83000215966476
1999-03-22,183.45634721693958
1999-03-23,184.78761747892992
1999-03-24,184.53539939488172
1999-03-25,187.95474780554505
1999-03-26,186.59691537761256
1999-03-29,184.8054785320486
1999-03-30,185.48683940369787
1999-03-31,186.7765909698534
1999-04-01,189.4522547899823
1999-04-02,189.03165740452422
1999-04-05,187.88388283680172
1999-04-06,190.11351237471445
1999-04-07,191.33128408365465
1999-04-08,192.8126220710341
1999-04-09,192.50932673151397
1999-04-12,190.42148318693285
1999-04-13,189.26332375489562
1999-04-14,188.25173582443583
1999-04-15,184.29825410470096
1999-04-16,179.22616554190517
1999-04-19,178.6243935893892
1999-04-20,175.58648236612234
1999-04-21,176.42399821269504
1999-04-22,177.014708478472
1999-04-23,177.12575095505588
1999-04-26,176.17458084475254
1999-04-27,178.8816421664871
1999-04-28,179.35954731077743
1999-04-29,176.73540711673778
1999-04-30,175.93119467049937
1999-05-03,176.1665586304958
1999-05-04,174.39784308742287
1999-05-05,173.73910178728676
1999-05-06,175.73308916212065
1999-05-07,180.00502206093933
1999-05-10,186.12878471176958
1999-05-11,186.41578233340277
1999-05-12,183.97100423410063
1999-05-13,184.04330589338892
1999-05-14,185.4173260036608
1999-05-17,180.70173808182324
1999-05-18,183.25596625648393
1999-05-19,184.12381246746563
1999-05-20,182.95190897270078
1999-05-21,181.01553870191765
1999-05-24,181.5971222456779
1999-05-25,182.6162424207866
1999-05-26,181.27623575155187
1999-05-27,182.2072631282324
1999-05-28,181.8569805337801
1999-05-31,182.51542909783697
1999-06-01,182.11258688223484
1999-06-02,178.6736832862496
1999-06-03,178.578786969157
1999-06-04,176.76215405935403
1999-06-07,178.0224119464902
1999-06-08,181.0162528949053
1999-06-09,180.53760033934878
1999-06-10,181.55889838784137
1999-06-11,180.260663703815
1999-06-14,177.5579290628545
1999-06-15,176.7770316958353
1999-06-16,173.35618431035485
1999-06-17,173.94021977829652
1999-06-18,174.86596337255384
1999-06-21,174.25267505811186
1999-06-22,173.2233610237898
1999-06-23,170.90848507868745
1999-06-24,169.60096173353674
1999-06-25,170.34307468426982
1999-06-28,169.4405859611019
1999-06-29,170.15190141538469
1999-06-30,172.3988003058304
1999-07-01,170.35312113737237
1999-07-02,169.51269453914645
1999-07-05,170.86943076388854
1999-07-06,171.28629316915826
1999-07-07,169.64026310928193
1999-07-08,168.17863186562008
1999-07-09,168.1564005327368
1999-07-12,168.46014224287424
1999-07-13,167.49071038396787
1999-07-14,166.49640426289548
1999-07-15,167.50957421386863
1999-07-16,167.89160102570835
1999-07-19,169.7632641661243
1999-07-20,172.44954745465978
1999-07-21,174.80803899942697
1999-07-22,173.88187394826124
1999-07-23,172.67662345417156
1999-07-26,175.6664221533222
1999-07-27,175.28493721465043
1999-07-28,175.5345372831247
1999-07-29,174.73828061458602
1999-07-30,176.14693285633209
1999-08-02,172.993426176185
1999-08-03,172.7399271122723
1999-08-04,173.34749773052823
1999-08-05,172.4341424780074
1999-08-06,172.27489405089906
1999-08-09,171.56849905411843
1999-08-10,171.12317481260516
1999-08-11,170.12068661431076
1999-08-12,171.1874085825038
1999-08-13,172.42412093861373
1999-08-16,172.95193031791666
1999-08-17,171.94260538267937
1999-08-18,170.5200305299588
1999-08-19,171.06599785074442
1999-08-20,173.42994342161214
1999-08-23,171.5471272441913
1999-08-24,169.2475815346147
1999-08-25,169.42623566479176
1999-08-26,170.52283124606447
1999-08-27,172.6867031255526
1999-08-30,170.76474958763657
1999-08-31,170.98222342852068
1999-09-01,170.9519242062478
1999-09-02,170.74810515396786
1999-09-03,170.63868622074543
1999-09-06,169.8162348634705
1999-09-07,170.33710577485263
1999-09-08,169.7851072603776
1999-09-09,167.74982126080394
1999-09-10,166.4554585823647
1999-09-13,163.68903204467352
1999-09-14,162.227735059939
1999-09-15,160.53372119677564
1999-09-16,161.01482360037122
1999-09-17,162.31108387296953
1999-09-20,164.39401734076048
