Date,SWEDEN
1998-12-31,6021.8436317872065
1999-01-01,6021.8436317872065
1999-01-04,6293.673206213824
1999-01-05,6434.195336099032
1999-01-06,6475.824160470267
1999-01-07,6546.208492552014
1999-01-08,6522.866501829608
1999-01-11,6447.994812310326
1999-01-12,6328.860885981192
1999-01-13,6156.993313657879
1999-01-14,6195.88713708843
1999-01-15,6136.034286897444
1999-01-18,6314.916283338371
1999-01-19,6410.65293842056
1999-01-20,6407.549581304917
1999-01-21,6313.53583590422
1999-01-22,6200.20449788024
1999-01-25,6204.122911531444
1999-01-26,6208.223365515636
1999-01-27,6265.988864048536
1999-01-28,6352.523720532299
1999-01-29,6371.285436769932
1999-02-01,6476.419961679197
1999-02-02,6498.8859548084865
1999-02-03,6443.90586004747
1999-02-04,6501.4325322619325
1999-02-05,6490.272731206632
1999-02-08,6376.689981211024
1999-02-09,6270.805495895858
1999-02-10,6184.01820372705
1999-02-11,6190.385219435811
1999-02-12,6249.906386479558
1999-02-15,6252.642290696788
1999-02-16,6299.084013372293
1999-02-17,6228.6970316793495
1999-02-18,6230.698270973501
1999-02-19,6256.030601453086
1999-02-22,6389.713783744109
1999-02-23,6358.381589361993
1999-02-24,6352.364502986675
1999-02-25,6288.702776480147
1999-02-26,6211.070794276927
1999-03-01,6084.812906494516
1999-03-02,6132.045839204801
1999-03-03,6110.790236645501
1999-03-04,6084.011098014943
1999-03-05,6212.392709390977
1999-03-08,6147.000064150928
1999-03-09,6164.75763796296
1999-03-10,6135.72916008062
1999-03-11,6138.659088099667
1999-03-12,6181.409781939505
1999-03-15,6139.770660215659
1999-03-16,6126.327376055184
1999-03-17,6124.047144745572
1999-03-18,6032.837470832015
1999-03-19,6132.798328785029
1999-03-22,6036.839287017519
1999-03-23,6042.332533215309
1999-03-24,5908.951225945548
1999-03-25,6077.866890520559
1999-03-26,6115.471798540161
1999-03-29,6181.503481826416
1999-03-30,6203.7118604851385
1999-03-31,6347.739907732771
1999-04-01,6400.144761064655
1999-04-02,6387.322690293235
1999-04-05,6353.955955821684
1999-04-06,6575.458875372184
1999-04-07,6548.147164890831
1999-04-08,6552.1745739117705
1999-04-09,6560.355368922426
1999-04-12,6494.875527386589
1999-04-13,6558.7841494820195
1999-04-14,6628.511679078847
1999-04-15,6491.467224109434
1999-04-16,6639.112291734501
1999-04-19,6687.822683779846
1999-04-20,6578.712357049566
1999-04-21,6622.763829332306
1999-04-22,6629.848588583541
1999-04-23,6668.088500014116
1999-04-26,6738.40990382991
1999-04-27,6849.289147127027
1999-04-28,6782.310649366546
1999-04-29,6784.891370673385
1999-04-30,6755.26359891281
1999-05-03,6883.211276236738
1999-05-04,6921.809547581841
1999-05-05,6806.558566244919
1999-05-06,6766.1055068427895
1999-05-07,6776.324394830623
1999-05-10,6835.61841793258
1999-05-11,6840.081206248096
1999-05-12,6821.001777540451
1999-05-13,6788.651771147691
1999-05-14,6743.04828910573
1999-05-17,6665.725950102057
1999-05-18,6760.629121807169
1999-05-19,6899.588824143672
1999-05-20,6953.109284226781
1999-05-21,6871.6550572151555
1999-05-24,6879.104920845785
1999-05-25,6835.22278280597
1999-05-26,6736.846633223098
1999-05-27,6643.725445485504
1999-05-28,6602.882953455706
1999-05-31,6608.150862264793
1999-06-01,6614.2332254250805
1999-06-02,6625.441080792562
1999-06-03,6736.492127288495
1999-06-04,6776.7132252739275
1999-06-07,6891.783912612514
1999-06-08,6984.094921507887
1999-06-09,7074.273294481063
1999-06-10,7067.832210095631
1999-06-11,7176.088880272668
1999-06-14,7138.247494453644
1999-06-15,7045.970087445737
1999-06-16,7089.633150814227
1999-06-17,7122.484475689333
1999-06-18,7351.060532332858
1999-06-21,7442.905510749567
1999-06-22,7332.924064119514
1999-06-23,7278.660388095372
1999-06-24,7273.877659227696
1999-06-25,7329.2769947423585
1999-06-28,7325.248682444874
1999-06-29,7391.860991894105
1999-06-30,7237.352166679091
1999-07-01,7302.976652898964
1999-07-02,7404.081902015763
1999-07-05,7476.968972529317
1999-07-06,7437.053001360707
1999-07-07,7171.482711860278
1999-07-08,7100.378347935479
1999-07-09,7162.043050438398
1999-07-12,7160.935031210149
1999-07-13,7056.379988313571
1999-07-14,7044.7742095189
1999-07-15,7153.965108516973
1999-07-16,7106.618423180482
1999-07-19,7188.391326157101
1999-07-20,7279.716499031514
1999-07-21,7236.476951925648
1999-07-22,7109.1445263655805
1999-07-23,7225.674065542403
1999-07-26,7356.540530474657
1999-07-27,7353.858401321058
1999-07-28,7424.576524195315
1999-07-29,7405.319210226787
1999-07-30,7521.68862858144
1999-08-02,7413.178559224377
1999-08-03,7408.625142162202
1999-08-04,7430.843276207607
1999-08-05,7287.98412902734
1999-08-06,7304.0337273300875
1999-08-09,7327.793935092722
1999-08-10,7222.508683437354
1999-08-11,7298.237401742311
1999-08-12,7438.697867948728
1999-08-13,7422.559507670848
1999-08-16,7461.963260820139
1999-08-17,7470.4733904590175
1999-08-18,7478.031346182836
1999-08-19,7425.642270081269
1999-08-20,7578.055915241475
1999-08-23,7665.272203550612
1999-08-24,7646.151705869397
1999-08-25,7654.410002007594
1999-08-26,7655.901612675188
1999-08-27,7686.271817537125
1999-08-30,7585.894669533845
1999-08-31,7480.225224254769
1999-09-01,7600.3087351062
1999-09-02,7577.916027813909
1999-09-03,7690.240212490473
1999-09-06,7778.60751599139
1999-09-07,7762.622170760193
1999-09-08,7690.266829039326
1999-09-09,7653.816308443936
1999-09-10,7657.135548653778
1999-09-13,7592.42174584634
1999-09-14,7566.063594304081
1999-09-15,7409.060099927725
1999-09-16,7366.801029401986
1999-09-17,7435.3382813865555
1999-09-20,7542.9254429886105
1999-09-21,7562.312949216457
1999-09-22,7471.455492936925
1999-09-23,7512.561621280922
1999-09-24,7429.3085491396105
1999-09-27,7515.269463706828
1999-09-28,7515.440062536916
1999-09-29,7433.213534079515
1999-09-30,7425.027259191155
1999-10-01,7498.326284027558
1999-10-04,7542.068233547625
1999-10-05,7536.868853319067
1999-10-06,7596.670999586674
1999-10-07,7655.545601279677
1999-10-08,7678.070006292194
1999-10-11,7728.866605845336
1999-10-12,7716.604446094801
1999-10-13,7618.1571183201995
1999-10-14,7597.689534218554
1999-10-15,7462.322102482157
1999-10-18,7287.430601160706
1999-10-19,7432.016210910207
1999-10-20,7390.281161217305
1999-10-21,7388.958282608275
1999-10-22,7794.639590729169
1999-10-25,7858.5724808544355
1999-10-26,7965.076252568697
1999-10-27,8015.649501941534
1999-10-28,8082.948662875408
1999-10-29,8270.08913610984
1999-11-01,8235.33490864709
1999-11-02,8290.535884632522
1999-11-03,8278.473108124634
1999-11-04,8391.839372841678
1999-11-05,8389.166216235091
1999-11-08,8499.118216049785
1999-11-09,8472.105550323186
1999-11-10,8610.107418211619
1999-11-11,8765.318631267843
1999-11-12,8675.805491360672
1999-11-15,8827.712398379263
1999-11-16,8945.038205939516
1999-11-17,9207.657671623498
1999-11-18,9430.33183976038
1999-11-19,9206.093979487632
1999-11-22,9144.874712758156
1999-11-23,9115.43602688762
1999-11-24,8979.948640026078
1999-11-25,9192.718320631142
1999-11-26,9229.872493654906
1999-11-29,9279.256188036721
1999-11-30,9150.712047101064
1999-12-01,9350.004721221318
1999-12-02,9510.46210423112
1999-12-03,9778.248010658992
1999-12-06,10122.54619768519
1999-12-07,10158.225199674474
1999-12-08,10902.455881580045
1999-12-09,10461.053900311934
1999-12-10,10249.321181180263
1999-12-13,10299.46904751895
1999-12-14,10385.708412135702
1999-12-15,10078.19477737115
1999-12-16,10168.753369551237
1999-12-17,10223.20938326098
1999-12-20,10131.789908315292
1999-12-21,10144.242659416774
1999-12-22,10353.541168697167
1999-12-23,10594.054807719474
1999-12-24,10594.054807719474
1999-12-27,10566.770496626646
1999-12-28,10661.74593045534
1999-12-29,10789.190723617578
1999-12-30,10834.288611668213
1999-12-31,10834.288611668213
2000-01-03,11146.453036706467
2000-01-04,10999.369987747556
2000-01-05,10485.331384442537
2000-01-06,10486.649746668845
2000-01-07,10535.22669465931
2000-01-10,10808.219026872788
2000-01-11,10947.34330619575
2000-01-12,10921.507308714803
2000-01-13,11010.780237279503
2000-01-14,11139.68888041019
2000-01-17,11441.801162310776
2000-01-18,11160.526747676753
2000-01-19,11164.741375816206
2000-01-20,11223.428276643204
2000-01-21,11187.847129612936
2000-01-24,11309.855402344398
2000-01-25,11250.826400580674
2000-01-26,11306.391276576773
2000-01-27,11005.923861264211
2000-01-28,11209.789463220008
2000-01-31,10906.740182450316
2000-02-01,11353.550261047263
2000-02-02,11928.918631912398
2000-02-03,12116.91968682025
2000-02-04,12188.464669043587
2000-02-07,12422.104373560209
2000-02-08,12652.635542175667
2000-02-09,12753.297643819604
2000-02-10,12804.2836905734
2000-02-11,12965.993737495486
2000-02-14,12567.760185359952
2000-02-15,12112.04807554057
2000-02-16,12469.508748158692
2000-02-17,12536.428834035944
2000-02-18,12788.62677669388
2000-02-21,12833.257971863053
2000-02-22,12838.799212154589
2000-02-23,12906.609567394364
2000-02-24,13090.402377317012
2000-02-25,13410.895915374573
2000-02-28,13470.192166558674
2000-02-29,13394.828070885622
2000-03-01,13776.09959497132
2000-03-02,14181.956078523464
2000-03-03,14291.512503429985
2000-03-06,14386.47547204236
2000-03-07,14353.025455473382
2000-03-08,13737.319524166973
2000-03-09,13858.02539255775
2000-03-10,14001.494733153228
2000-03-13,13646.144234980557
2000-03-14,13695.310841899445
2000-03-15,13103.69336905204
2000-03-16,13044.839602938004
2000-03-17,13463.670630342322
2000-03-20,13942.765378328622
2000-03-21,13822.18669127535
2000-03-22,13868.073199968005
2000-03-23,13600.683831943285
2000-03-24,13756.914904436991
2000-03-27,13727.765146623908
2000-03-28,13459.266494783778
2000-03-29,13201.206287350296
2000-03-30,12782.817504142295
2000-03-31,12732.8208462972
2000-04-03,12526.702653294062
2000-04-04,12312.061925654165
2000-04-05,12108.73684438276
2000-04-06,12721.79400754929
2000-04-07,12976.097367396209
2000-04-10,13061.288871002593
2000-04-11,12559.350680728161
2000-04-12,12118.750146629005
2000-04-13,11897.479128276764
2000-04-14,11593.85554427991
2000-04-17,11691.252000122327
2000-04-18,11995.527268037014
2000-04-19,12342.903399998728
2000-04-20,12116.11149518643
2000-04-21,12116.11149518643
2000-04-24,12098.986214955734
2000-04-25,12009.657042371513
2000-04-26,12294.341265743597
2000-04-27,12415.306976687085
2000-04-28,12669.131238654658
2000-05-01,12664.887464792027
2000-05-02,12948.654200068375
2000-05-03,12502.523806962148
2000-05-04,12564.59715177392
2000-05-05,12527.749069061958
2000-05-08,12240.214165133022
2000-05-09,12177.709656317214
2000-05-10,11866.220882134447
2000-05-11,11669.37849618797
2000-05-12,11914.501916728846
2000-05-15,11882.324074845517
2000-05-16,12341.516750065635
2000-05-17,12167.068637090793
2000-05-18,12328.154640357317
2000-05-19,11764.865304977873
2000-05-22,11161.97548281769
2000-05-23,11631.871744219563
2000-05-24,11068.350266768115
2000-05-25,11540.74950747554
2000-05-26,11401.492627155809
2000-05-29,11509.605736580665
2000-05-30,12041.073482346035
2000-05-31,12112.672841817368
2000-06-01,12181.60235669611
2000-06-02,13028.041369034952
2000-06-05,12798.642427459143
2000-06-06,13069.417396410525
2000-06-07,12981.893813420857
2000-06-08,12963.264397087816
2000-06-09,12890.341918133707
2000-06-12,13005.777770070124
2000-06-13,12661.9928849951
2000-06-14,12778.59787787263
2000-06-15,12369.838504379348
2000-06-16,12286.97932102999
2000-06-19,12070.076909358868
2000-06-20,12652.043052980736
2000-06-21,12378.109506607607
2000-06-22,11995.05503505941
2000-06-23,11938.045338120735
2000-06-26,11798.93472838282
2000-06-27,11582.839484632099
2000-06-28,11895.14036464705
2000-06-29,11486.72212859551
2000-06-30,11908.975008425154
2000-07-03,12092.357476309433
2000-07-04,12159.777204893106
2000-07-05,12046.00343197891
2000-07-06,12020.483674687646
2000-07-07,12270.606584508792
2000-07-10,12322.468003294005
2000-07-11,12179.874032558826
2000-07-12,12369.623035495339
2000-07-13,12553.05936816905
2000-07-14,12767.412877606961
2000-07-17,12936.214930132362
2000-07-18,12578.493140836548
2000-07-19,12268.555362428273
2000-07-20,12577.587218110388
2000-07-21,11876.012401427757
2000-07-24,12004.05119243053
2000-07-25,11953.0511923686
2000-07-26,11933.885750839563
2000-07-27,11439.00810711391
2000-07-28,11309.10823449334
2000-07-31,11479.392484347725
2000-08-01,11378.849447877927
2000-08-02,11126.595425811034
2000-08-03,10622.551588875438
2000-08-04,10785.082868251486
2000-08-07,11051.167085156847
2000-08-08,11066.131916966062
2000-08-09,11223.297967612736
2000-08-10,11181.543330571625
2000-08-11,10965.456677882004
2000-08-14,11183.16403629689
2000-08-15,11154.162689288563
2000-08-16,11279.36682641377
2000-08-17,11369.795869829315
2000-08-18,11365.231203220159
2000-08-21,11313.964827559328
2000-08-22,11458.37722158093
2000-08-23,11320.559451444431
2000-08-24,11340.845544191414
2000-08-25,11393.035287848004
2000-08-28,11293.625229859059
2000-08-29,11146.262085039265
2000-08-30,11174.757034565118
2000-08-31,11333.117397016284
2000-09-01,11635.814800272792
2000-09-04,11823.747246784465
2000-09-05,11612.919451750893
