Date,ITALY
1998-12-31,787.8444046031675
1999-01-01,787.8442549127307
1999-01-04,841.8064520040855
1999-01-05,848.7106319024969
1999-01-06,844.1370533217827
1999-01-07,840.3661857695864
1999-01-08,829.4836358596946
1999-01-11,805.5921833841071
1999-01-12,788.0678924254213
1999-01-13,757.5516454341829
1999-01-14,758.8402043501316
1999-01-15,771.0100132327045
1999-01-18,790.2700987405001
1999-01-19,777.3461967076172
1999-01-20,777.216769628829
1999-01-21,760.6125391227268
1999-01-22,741.4262825140866
1999-01-25,741.5246527664453
1999-01-26,745.8679207923619
1999-01-27,743.1431372837097
1999-01-28,747.6057401015916
1999-01-29,745.9910845081336
1999-02-01,757.0895274202188
1999-02-02,746.8940408586933
1999-02-03,738.1729657081623
1999-02-04,733.8272553645915
1999-02-05,730.9652293606574
1999-02-08,715.0482434071347
1999-02-09,699.8454541632727
1999-02-10,709.7270556355603
1999-02-11,719.3975069289702
1999-02-12,722.9166581938957
1999-02-15,730.3794355320588
1999-02-16,718.2753013590535
1999-02-17,717.7565846030627
1999-02-18,718.2361218568126
1999-02-19,723.321657488526
1999-02-22,741.6312638712762
1999-02-23,738.5175767291797
1999-02-24,746.5438755346233
1999-02-25,737.3027600495019
1999-02-26,734.3805584899443
1999-03-01,718.0606216372432
1999-03-02,722.4744726433681
1999-03-03,709.470785607631
1999-03-04,722.0759415512997
1999-03-05,742.3819614122024
1999-03-08,737.0868118982003
1999-03-09,749.863331878314
1999-03-10,764.5339164699784
1999-03-11,758.4226468156918
1999-03-12,755.8396989352003
1999-03-15,767.5927381277384
1999-03-16,758.8728683791463
1999-03-17,762.6184776397309
1999-03-18,768.7571012517453
1999-03-19,769.0811180200266
1999-03-22,760.356016984588
1999-03-23,746.1481806824114
1999-03-24,737.712833062098
1999-03-25,750.2727588584982
1999-03-26,729.1300246045748
1999-03-29,746.8013430860476
1999-03-30,748.5955720546468
1999-03-31,762.0502054706907
1999-04-01,757.9354359574412
1999-04-02,756.2527657565338
1999-04-05,751.6609013071889
1999-04-06,761.3858871902853
1999-04-07,763.7117299277786
1999-04-08,766.9775970950682
1999-04-09,754.7184939276774
1999-04-12,755.8238790195559
1999-04-13,757.6202194111595
1999-04-14,754.5120629367833
1999-04-15,743.7076356780519
1999-04-16,739.58458592011
1999-04-19,738.7999244069015
1999-04-20,736.5449797873785
1999-04-21,736.4961019205168
1999-04-22,735.3347326052473
1999-04-23,738.0408284446222
1999-04-26,728.1040621071244
1999-04-27,744.6669386604289
1999-04-28,738.3172672893094
1999-04-29,733.855066272074
1999-04-30,738.6275755649505
1999-05-03,738.2818694402106
1999-05-04,739.964539641118
1999-05-05,738.2844535698576
1999-05-06,745.3090554855125
1999-05-07,742.7379331495342
1999-05-10,741.6034450853498
1999-05-11,728.908742746654
1999-05-12,717.9272553364319
1999-05-13,718.0864708121583
1999-05-14,708.2635637480136
1999-05-17,692.7048736728162
1999-05-18,702.9679336489246
1999-05-19,719.7096430036299
1999-05-20,720.7480061720089
1999-05-21,723.6861852160919
1999-05-24,719.8138669399149
1999-05-25,719.7230678722844
1999-05-26,708.3083920946356
1999-05-27,698.9860971220638
1999-05-28,699.16517415523
1999-05-31,701.6969200278664
1999-06-01,696.9889036779507
1999-06-02,688.7915874875999
1999-06-03,700.5808044951972
1999-06-04,696.5455127254841
1999-06-07,696.913656658867
1999-06-08,711.2513297189223
1999-06-09,711.123777709817
1999-06-10,707.0675214004974
1999-06-11,708.0006364348653
1999-06-14,692.840052015758
1999-06-15,693.6194586067879
1999-06-16,695.1860162993449
1999-06-17,695.3287343132388
1999-06-18,702.9588655598276
1999-06-21,704.4282347666327
1999-06-22,698.7053487684834
1999-06-23,700.4815833708815
1999-06-24,700.2286144110074
1999-06-25,703.0116668918241
1999-06-28,696.5204592734177
1999-06-29,695.6487645888326
1999-06-30,688.0346344621012
1999-07-01,690.6818862028964
1999-07-02,687.5177927757934
1999-07-05,702.6798347070493
1999-07-06,708.689653637355
1999-07-07,707.3739377247797
1999-07-08,702.187896782371
1999-07-09,703.0699988915409
1999-07-12,698.0890338476504
1999-07-13,691.0956384488619
1999-07-14,695.2082413899988
1999-07-15,700.558863028529
1999-07-16,693.4639853919836
1999-07-19,691.5776652909302
1999-07-20,694.2846120022622
1999-07-21,683.9016342293291
1999-07-22,681.4946041259416
1999-07-23,670.24037286129
1999-07-26,666.6728873421422
1999-07-27,669.1472466283471
1999-07-28,661.9448518659055
1999-07-29,653.7317393952425
1999-07-30,666.8565023590791
1999-08-02,673.5597504205402
1999-08-03,668.3919953467624
1999-08-04,672.5763630347146
1999-08-05,657.6415905788547
1999-08-06,652.6537870455322
1999-08-09,659.7046084229723
1999-08-10,651.2817245011396
1999-08-11,651.8916263685192
1999-08-12,665.067630732431
1999-08-13,668.5720808207667
1999-08-16,671.230472681443
1999-08-17,674.866461271571
1999-08-18,670.9479280426201
1999-08-19,669.1149843999788
1999-08-20,675.6311036584588
1999-08-23,683.7744840208703
1999-08-24,682.4513623708916
1999-08-25,683.5729140299526
1999-08-26,686.9465346764598
1999-08-27,690.23440633797
1999-08-30,686.2510807851844
1999-08-31,680.8239043058588
1999-09-01,683.6750659354534
1999-09-02,678.4782157678136
1999-09-03,687.836381296127
1999-09-06,692.1014715217747
1999-09-07,688.0177982271749
1999-09-08,692.0388615269409
1999-09-09,693.738927332302
1999-09-10,695.8068770823924
1999-09-13,686.4007081945066
1999-09-14,686.3373339906003
1999-09-15,680.9275531157284
1999-09-16,682.8216492410552
1999-09-17,688.3609044653796
