Date,NORWAY
1998-12-31,1793.9213126503055
1999-01-01,1793.9213126503055
1999-01-04,1920.3746465868944
1999-01-05,1952.4278226680838
1999-01-06,2003.1889071582468
1999-01-07,1971.5338022163346
1999-01-08,2020.4738413036
1999-01-11,2007.7093377171416
1999-01-12,1961.7653086749203
1999-01-13,1850.3802500137087
1999-01-14,1878.9464018473682
1999-01-15,1867.6538824547922
1999-01-18,1906.46519066185
1999-01-19,1920.7605190612453
1999-01-20,1892.2808342348555
1999-01-21,1883.42980587037
1999-01-22,1864.2854005276024
1999-01-25,1864.501316896793
1999-01-26,1865.484188444781
1999-01-27,1889.880944242005
1999-01-28,1938.2390531946598
1999-01-29,1976.7938485932223
1999-02-01,1999.9665939396118
1999-02-02,1973.1144262849107
1999-02-03,1991.3869320520912
1999-02-04,1967.6452445613943
1999-02-05,1974.506168378478
1999-02-08,1976.9093053689041
1999-02-09,1941.0780592464207
1999-02-10,1933.496588994898
1999-02-11,1925.7124773918986
1999-02-12,1939.8473933475163
1999-02-15,1922.5907672804767
1999-02-16,1907.9472746327224
1999-02-17,1857.7518673500774
1999-02-18,1847.5999410672973
1999-02-19,1822.9838604503889
1999-02-22,1799.81622777974
1999-02-23,1818.9205927988096
1999-02-24,1809.7044117511343
1999-02-25,1803.7195314678702
1999-02-26,1793.2560728099356
1999-03-01,1802.3903792889014
1999-03-02,1815.4203473512055
1999-03-03,1844.883262509846
1999-03-04,1834.9463556356002
1999-03-05,1886.9546101007443
1999-03-08,1872.0919002685837
1999-03-09,1866.5522353766937
1999-03-10,1896.3136231633327
1999-03-11,1912.9461260664882
1999-03-12,1975.6268489617037
1999-03-15,1946.2573612250262
1999-03-16,1933.4917454073538
1999-03-17,1950.4632994386004
1999-03-18,1978.4972306972231
1999-03-19,1980.87862536134
1999-03-22,1948.9357395624522
1999-03-23,1943.6322444113723
1999-03-24,1929.4447127436545
1999-03-25,1953.791077291206
1999-03-26,1929.9322467387933
1999-03-29,1967.9022596678576
1999-03-30,1969.6398518512908
1999-03-31,1966.4994311405783
1999-04-01,1969.6212668264918
1999-04-02,1965.4186653065592
1999-04-05,1953.3570021511841
1999-04-06,1970.4351868652543
1999-04-07,1962.7504585029756
1999-04-08,1951.7062178200702
1999-04-09,1960.5764411426007
1999-04-12,1973.7499049707042
1999-04-13,1959.380595256375
1999-04-14,1969.2942529104087
1999-04-15,2005.5480033804474
1999-04-16,2034.4225123485387
1999-04-19,2100.6470729792554
1999-04-20,2096.4871309081377
1999-04-21,2087.5046619290742
1999-04-22,2139.7774839094077
1999-04-23,2141.9271218791437
1999-04-26,2122.0268119128646
1999-04-27,2136.104071237494
1999-04-28,2117.525468676736
1999-04-29,2139.0222609759953
1999-04-30,2146.2148629045746
1999-05-03,2173.8840720211224
1999-05-04,2222.0005756513897
1999-05-05,2214.8966831317207
1999-05-06,2208.3561895395023
