Date,CHINA
1998-12-31,127.36327542987136
1999-01-01,127.36327542987136
1999-01-04,124.92031662295273
1999-01-05,123.56975262939612
1999-01-06,127.06901022378717
1999-01-07,129.91342699029005
1999-01-08,128.3604560057875
1999-01-11,125.65102265948347
1999-01-12,120.63137615371038
1999-01-13,109.43246599203026
1999-01-14,107.34957717471218
1999-01-15,110.38507451607698
1999-01-18,111.16626862862087
1999-01-19,109.43302639044217
1999-01-20,104.60527558449374
1999-01-21,102.0453578081151
1999-01-22,96.99355462256146
1999-01-25,96.5436362103089
1999-01-26,99.28181672151021
1999-01-27,104.84954051590965
1999-01-28,104.32217759039922
1999-01-29,103.68981765425717
1999-02-01,101.91074119414951
1999-02-02,99.65692576667351
1999-02-03,97.35300435301066
1999-02-04,97.30990844150347
1999-02-05,96.14135166306714
1999-02-08,96.21482753666264
1999-02-09,99.6230573244712
1999-02-10,97.99201265213017
1999-02-11,98.64028662953719
1999-02-12,100.4525144766065
1999-02-15,100.03319127037771
1999-02-16,100.03813678636266
1999-02-17,100.04605114029788
1999-02-18,99.74318891312215
1999-02-19,97.679309064662
1999-02-22,95.75329359369087
1999-02-23,95.70271636338492
1999-02-24,96.52640268551049
1999-02-25,96.05823311588885
1999-02-26,99.29555030349982
1999-03-01,101.99830599327304
1999-03-02,99.95855766460856
1999-03-03,103.05550014457175
1999-03-04,103.01429303043915
1999-03-05,102.2094373685859
1999-03-08,102.55255785349223
1999-03-09,101.69920862451903
1999-03-10,100.92593905497239
1999-03-11,101.96352308275314
1999-03-12,102.18088634313277
1999-03-15,102.24809721720987
1999-03-16,102.13065426730323
1999-03-17,107.3728273406419
1999-03-18,111.77448048774144
1999-03-19,112.73584778423945
1999-03-22,118.40504699470492
1999-03-23,120.56833897416912
1999-03-24,119.68371824017963
1999-03-25,118.19518543124809
1999-03-26,116.31962746910403
1999-03-29,114.44974481451312
1999-03-30,112.44801060266622
1999-03-31,112.65358639190481
1999-04-01,114.3022874351187
1999-04-02,114.85260249649434
1999-04-05,114.79198012465524
1999-04-06,114.95632587437167
1999-04-07,119.2103955524341
1999-04-08,122.22604078005762
1999-04-09,127.19516609536596
1999-04-12,128.41432048223228
1999-04-13,126.56970033332291
1999-04-14,123.20234778876356
1999-04-15,124.53494973958631
1999-04-16,128.95472668077952
1999-04-19,133.43194445919158
1999-04-20,137.94408397409376
1999-04-21,139.5433693400736
1999-04-22,142.07341278656742
1999-04-23,140.02464586436975
1999-04-26,138.78708621057103
1999-04-27,140.90877879701435
1999-04-28,137.84641671996312
1999-04-29,137.75267352834848
1999-04-30,140.93095911143044
1999-05-03,141.27839211684284
1999-05-04,143.70721614745426
1999-05-05,144.06838528212177
1999-05-06,151.01000347487107
1999-05-07,152.7924983652913
1999-05-10,147.5203809122663
1999-05-11,148.89886293579715
1999-05-12,148.53773328374504
1999-05-13,148.83254997281185
1999-05-14,149.5962265404531
1999-05-17,146.27112039435386
1999-05-18,147.94178778168111
1999-05-19,148.44833063255703
1999-05-20,146.1063798184836
1999-05-21,142.01175240403356
1999-05-24,143.1076598965319
1999-05-25,143.2539149666063
1999-05-26,141.72046367769616
1999-05-27,138.58750286344142
1999-05-28,135.22420811283726
1999-05-31,140.83512079393498
1999-06-01,146.77857516628185
1999-06-02,145.19396077599876
1999-06-03,144.70427445462602
1999-06-04,144.46131627041598
1999-06-07,146.06099264165138
1999-06-08,146.7757591642621
1999-06-09,147.2330353529362
1999-06-10,156.74240798440138
1999-06-11,166.45325658126902
1999-06-14,170.7992494297402
1999-06-15,164.56490243084252
1999-06-16,167.61089068520445
1999-06-17,172.51658781571598
1999-06-18,172.38630919491152
1999-06-21,179.70320073144944
1999-06-22,185.9854630681966
1999-06-23,193.85038476894894
1999-06-24,190.95656633517234
1999-06-25,189.1256542955975
1999-06-28,197.17064092151986
1999-06-29,204.97810140692926
1999-06-30,206.9319432063163
1999-07-01,205.33058691347796
1999-07-02,207.13051274177352
1999-07-05,210.50322982749395
1999-07-06,204.93566141629051
1999-07-07,196.01992009617476
1999-07-08,197.98335617109987
1999-07-09,200.29677251694605
1999-07-12,203.54478185152934
1999-07-13,200.2735541918352
1999-07-14,192.68594691884005
1999-07-15,189.75507214007715
1999-07-16,185.61150538704317
1999-07-19,177.73769245603305
1999-07-20,181.38540977879617
1999-07-21,183.3482867289422
1999-07-22,180.04240989016733
1999-07-23,179.39723338761877
1999-07-26,172.52304895467853
1999-07-27,172.78909937435677
1999-07-28,175.62178980409078
1999-07-29,177.918633640538
1999-07-30,181.2128299933232
1999-08-02,184.32995827880924
1999-08-03,185.0053415293915
1999-08-04,181.47133795983044
1999-08-05,177.48793689381333
1999-08-06,172.94652675095185
1999-08-09,166.72018962844598
1999-08-10,156.8251215163638
1999-08-11,152.03597197193264
1999-08-12,160.1764479399758
1999-08-13,158.26954842301396
1999-08-16,159.3315428961636
1999-08-17,162.25810642805322
1999-08-18,167.30945237944806
1999-08-19,176.952305544462
1999-08-20,180.72776313795026
1999-08-23,180.73068485148863
1999-08-24,182.96056235134756
1999-08-25,182.79580267098598
1999-08-26,182.98262676518303
1999-08-27,179.92845924127298
1999-08-30,177.90642459695528
1999-08-31,179.80934783245823
1999-09-01,178.36983332734138
1999-09-02,177.41124509751322
1999-09-03,176.82618788186582
1999-09-06,182.56042514892954
1999-09-07,183.2534978848363
1999-09-08,181.08835531698006
1999-09-09,186.78863880844693
1999-09-10,191.51255415683568
1999-09-13,190.18422906480185
1999-09-14,188.1506362032389
1999-09-15,183.64009000291233
1999-09-16,183.28457452404115
