Date,NETHERLANDS
1998-12-31,6672.47020889433
1999-01-01,6672.4841543570665
1999-01-04,6910.624415938399
1999-01-05,6965.616046237916
1999-01-06,7061.181566658976
1999-01-07,6783.992341297642
1999-01-08,6696.337367932737
1999-01-11,6535.909698756845
1999-01-12,6451.565071311977
1999-01-13,6208.402174505601
1999-01-14,6266.108432584904
1999-01-15,6355.643641329973
1999-01-18,6530.33985424997
1999-01-19,6578.562930769585
1999-01-20,6599.325456144496
1999-01-21,6510.431538511202
1999-01-22,6209.853103152524
1999-01-25,6252.231829740872
1999-01-26,6241.574493598523
1999-01-27,6247.047787461474
1999-01-28,6284.030754290697
1999-01-29,6162.741126372095
1999-02-01,6240.371981017476
1999-02-02,6197.459390087716
1999-02-03,6126.011846860215
1999-02-04,6161.502382277814
1999-02-05,6241.283774071521
1999-02-08,6166.939844975745
1999-02-09,6080.788446047711
1999-02-10,6038.932841123742
1999-02-11,6069.338086821036
1999-02-12,6124.612496408006
1999-02-15,6098.438530968981
1999-02-16,6038.578933303862
1999-02-17,5957.874071633243
1999-02-18,5927.440267763455
1999-02-19,5918.496088347241
1999-02-22,6028.295322217914
1999-02-23,6107.011654316878
1999-02-24,6119.728114765691
1999-02-25,6132.849927779694
1999-02-26,6111.950750214905
1999-03-01,5990.2007885765925
1999-03-02,5977.3943832293635
1999-03-03,5901.96230769192
1999-03-04,5862.856094117526
1999-03-05,6047.112822526931
1999-03-08,6016.9854184891365
1999-03-09,5989.59125842301
1999-03-10,6007.285715271169
1999-03-11,6055.5705788649175
1999-03-12,6183.2472287168775
1999-03-15,6202.178494642956
1999-03-16,6230.627372075003
1999-03-17,6295.515676913054
1999-03-18,6279.088322157565
1999-03-19,6356.312089395501
1999-03-22,6319.998104429423
1999-03-23,6182.152076181491
1999-03-24,6107.47645859163
1999-03-25,6161.584253487277
1999-03-26,6023.706931354066
1999-03-29,6121.578991276936
1999-03-30,6128.237649472498
1999-03-31,6171.396854901179
1999-04-01,6135.245945107006
1999-04-02,6121.625231495484
1999-04-05,6084.455568949817
1999-04-06,6153.620393394153
1999-04-07,6237.183941476368
1999-04-08,6191.229971900691
1999-04-09,6164.524210586018
1999-04-12,6201.115103065765
1999-04-13,6204.628292080151
1999-04-14,6251.5378928391465
1999-04-15,6201.345837085588
1999-04-16,6290.548890263659
1999-04-19,6385.481526885405
1999-04-20,6291.08455617203
1999-04-21,6309.697878892654
1999-04-22,6360.640720994117
1999-04-23,6393.47574671798
1999-04-26,6401.793247732175
1999-04-27,6554.529560498275
1999-04-28,6584.148055233238
1999-04-29,6572.46349230223
1999-04-30,6565.329353879582
1999-05-03,6588.350510420203
1999-05-04,6645.197421061303
1999-05-05,6577.969147645695
1999-05-06,6605.5603457570905
1999-05-07,6639.29188457822
1999-05-10,6624.372641539345
1999-05-11,6552.830883032494
1999-05-12,6461.564435167024
1999-05-13,6433.718615592459
1999-05-14,6418.6563815170075
1999-05-17,6296.882465710643
1999-05-18,6337.7323292000265
1999-05-19,6388.924254614387
1999-05-20,6451.73448533058
1999-05-21,6449.946997286319
1999-05-24,6460.640031144285
1999-05-25,6429.750631008634
1999-05-26,6338.128607205733
1999-05-27,6253.519816665294
1999-05-28,6227.001685212894
1999-05-31,6227.0983025815185
1999-06-01,6250.120326543266
1999-06-02,6219.922527944766
1999-06-03,6308.789221899608
1999-06-04,6324.0169999609425
1999-06-07,6345.905237784795
1999-06-08,6379.144148130402
1999-06-09,6396.4029593986215
1999-06-10,6390.766723813168
1999-06-11,6438.961642508501
1999-06-14,6374.602331108611
1999-06-15,6357.522408766693
1999-06-16,6365.161719908855
1999-06-17,6372.608396836087
1999-06-18,6464.489846280711
1999-06-21,6495.441433838709
1999-06-22,6421.762950196864
1999-06-23,6387.943067870168
1999-06-24,6337.656062865539
1999-06-25,6338.062950098877
1999-06-28,6304.340085489019
1999-06-29,6297.110330568277
1999-06-30,6237.650213694566
1999-07-01,6321.194344888473
1999-07-02,6319.543909382303
1999-07-05,6444.9062796670105
1999-07-06,6450.666756647753
1999-07-07,6418.083149601361
1999-07-08,6412.4794089458255
1999-07-09,6490.248183550424
1999-07-12,6502.419836806681
1999-07-13,6448.447292882168
1999-07-14,6536.87867488058
1999-07-15,6618.226762679336
1999-07-16,6546.865494491637
1999-07-19,6517.00859239611
1999-07-20,6508.725387878788
1999-07-21,6459.165882301034
1999-07-22,6366.8868203566635
1999-07-23,6317.087773098409
1999-07-26,6342.381306093371
1999-07-27,6331.410897648821
1999-07-28,6370.185823077345
1999-07-29,6317.30816478941
1999-07-30,6430.1784697984285
1999-08-02,6310.428647829933
1999-08-03,6271.944575377816
1999-08-04,6358.626969485073
1999-08-05,6295.110124173757
1999-08-06,6376.03677875412
1999-08-09,6429.987703875156
1999-08-10,6375.456941092967
1999-08-11,6357.910613083445
1999-08-12,6515.209761152494
1999-08-13,6592.452077857611
1999-08-16,6611.391484197345
1999-08-17,6625.864138805139
1999-08-18,6616.8242761661295
1999-08-19,6566.842870297066
1999-08-20,6620.584947100564
1999-08-23,6665.580883403647
