Date,CANADA
1998-12-31,1165.6912364698326
1999-01-01,1165.6912364698326
1999-01-04,1189.3668801021172
1999-01-05,1218.7375782116492
1999-01-06,1261.714609111365
1999-01-07,1255.2459086742972
1999-01-08,1263.69143493782
1999-01-11,1257.9550100785902
1999-01-12,1230.0355392739013
1999-01-13,1204.311671226928
1999-01-14,1196.1962104370116
1999-01-15,1235.5177735021066
1999-01-18,1246.7259180545889
1999-01-19,1227.5942321173625
1999-01-20,1220.385119577626
1999-01-21,1213.0357044406683
1999-01-22,1201.264332853461
1999-01-25,1216.1744912916363
1999-01-26,1227.4137131724829
1999-01-27,1230.7807307106393
1999-01-28,1227.9634181888648
1999-01-29,1261.4044769579023
1999-02-01,1260.6309009395563
1999-02-02,1236.0350956159396
1999-02-03,1244.6875437308481
1999-02-04,1244.7127809461176
1999-02-05,1246.963159535035
1999-02-08,1244.9154829952274
1999-02-09,1211.1318275717915
1999-02-10,1206.4745763454605
1999-02-11,1235.2446753592264
1999-02-12,1218.1300432530256
1999-02-15,1221.3731361558332
1999-02-16,1203.8069852060983
1999-02-17,1194.0200514091202
1999-02-18,1212.276058432598
1999-02-19,1217.0011412319789
1999-02-22,1237.6982689013976
1999-02-23,1222.1581592621214
1999-02-24,1195.7352611513743
1999-02-25,1190.5299951609543
1999-02-26,1189.3677310567195
1999-03-01,1178.9788109914036
1999-03-02,1161.6177634147257
1999-03-03,1145.7312686245325
1999-03-04,1166.316000344931
1999-03-05,1204.0872173793457
1999-03-08,1220.998716130679
1999-03-09,1212.5106654508497
1999-03-10,1230.6460350882653
1999-03-11,1226.400226240759
1999-03-12,1224.479213710706
1999-03-15,1228.9351267466739
1999-03-16,1233.00327259283
1999-03-17,1230.8018646927567
1999-03-18,1230.3746505115025
1999-03-19,1234.6954249624266
1999-03-22,1241.459325048218
1999-03-23,1220.9014974815575
1999-03-24,1239.2636989766775
1999-03-25,1248.9049913105712
1999-03-26,1253.0417613998184
1999-03-29,1253.1255512858957
1999-03-30,1233.23954654955
1999-03-31,1238.9349507341685
1999-04-01,1251.700866770507
1999-04-02,1257.5933310586508
1999-04-05,1286.3103328365953
1999-04-06,1287.899146678079
1999-04-07,1299.5002224325503
1999-04-08,1346.0314925399123
1999-04-09,1325.7191945183895
1999-04-12,1342.8393170303139
1999-04-13,1338.6810282808415
1999-04-14,1342.1750245653868
1999-04-15,1351.1618745253015
1999-04-16,1352.49891071662
1999-04-19,1326.916744096352
1999-04-20,1332.804452364251
1999-04-21,1355.8323330333417
1999-04-22,1365.931718709343
1999-04-23,1374.1797652204957
1999-04-26,1371.456838718138
1999-04-27,1368.4784859520453
1999-04-28,1377.2278263225292
1999-04-29,1375.7659096290477
1999-04-30,1364.1689137939038
1999-05-03,1376.8610182611494
1999-05-04,1381.7144086949286
1999-05-05,1373.0152396752621
1999-05-06,1366.8609961061445
1999-05-07,1356.0243340369004
1999-05-10,1367.0007857992218
1999-05-11,1379.9607777695203
1999-05-12,1372.6672225566142
1999-05-13,1383.0889918009739
