Date,AUSTRALIA
1998-12-31,736.4255845639951
1999-01-01,736.4255845639951
1999-01-04,749.776464914231
1999-01-05,746.020399862721
1999-01-06,766.2357976569118
1999-01-07,782.5178285758528
1999-01-08,770.9005824227506
1999-01-11,779.0335929361169
1999-01-12,778.6801454768054
1999-01-13,758.4736878892111
1999-01-14,755.7495244595596
1999-01-15,757.0260224750753
1999-01-18,763.6380048575714
1999-01-19,777.1081346027158
1999-01-20,785.1100466335181
1999-01-21,781.8483072556464
1999-01-22,772.3516427588313
1999-01-25,764.7546027859107
1999-01-26,763.0601464298758
1999-01-27,769.0850724291249
1999-01-28,773.7389139107771
1999-01-29,779.6002429664154
1999-02-01,800.3987057171848
1999-02-02,798.43202227956
1999-02-03,802.1494028951131
1999-02-04,812.1645920102756
1999-02-05,812.7922401717435
1999-02-08,807.9810466354376
1999-02-09,800.8761304236577
1999-02-10,785.6143876951068
1999-02-11,794.1301554060501
1999-02-12,797.0537576125134
1999-02-15,790.7928145776672
1999-02-16,776.6833054114926
1999-02-17,780.4662205398159
1999-02-18,779.5032557169285
1999-02-19,795.0427560832094
1999-02-22,795.0823095013563
1999-02-23,794.5476424341954
1999-02-24,790.51177248183
1999-02-25,776.2215960269943
1999-02-26,759.2751103958688
1999-03-01,766.0258648155201
1999-03-02,763.8974770480366
1999-03-03,766.6003504140385
1999-03-04,764.3770889384956
1999-03-05,776.0714830358368
1999-03-08,786.8641755546703
1999-03-09,792.331605293637
1999-03-10,793.3146229851923
1999-03-11,794.9109359035725
1999-03-12,800.1188198095156
1999-03-15,804.2030361015075
1999-03-16,796.7340973590217
1999-03-17,792.9690110941006
1999-03-18,795.5768119171353
1999-03-19,798.4007610134952
1999-03-22,803.3277869299973
1999-03-23,810.5042542515733
1999-03-24,807.256816258554
1999-03-25,809.8712522761056
1999-03-26,808.5420040959676
1999-03-29,799.5521771434727
1999-03-30,795.817652540311
1999-03-31,793.1409370110729
1999-04-01,804.5879289332798
1999-04-02,800.5488260725983
1999-04-05,798.5290316218146
1999-04-06,811.8554479141314
1999-04-07,812.1256277325963
1999-04-08,814.1944018490093
1999-04-09,819.37300547371
1999-04-12,820.5340466860778
1999-04-13,834.7894123035312
1999-04-14,838.56863057542
1999-04-15,837.2200512236873
1999-04-16,851.1852577965666
1999-04-19,859.5547787506715
1999-04-20,850.8078617772451
1999-04-21,842.5229634870624
1999-04-22,860.3021255266545
1999-04-23,865.2041277017931
1999-04-26,860.3760405625773
1999-04-27,869.1754057661362
1999-04-28,869.6088069511638
1999-04-29,869.7729414854515
1999-04-30,873.6976627243386
1999-05-03,866.3526644077349
1999-05-04,868.0701340632875
1999-05-05,854.8120801579859
1999-05-06,867.2150114030036
1999-05-07,850.9889046429544
1999-05-10,853.1826649095796
1999-05-11,854.2024449663162
1999-05-12,857.9989250539073
1999-05-13,862.7640846269221
1999-05-14,867.3230082149798
1999-05-17,848.17785035858
1999-05-18,856.2783182253644
1999-05-19,839.772605399368
1999-05-20,831.9870183840313
1999-05-21,829.0332374571127
1999-05-24,827.9995315925719
1999-05-25,813.2731997210224
1999-05-26,806.9434303510428
1999-05-27,805.2051493084704
1999-05-28,805.8019412379452
1999-05-31,801.3065269923003
1999-06-01,799.9288072801863
1999-06-02,803.9215521503195
1999-06-03,817.5536071529979
1999-06-04,824.4425739263603
1999-06-07,834.3648629540301
1999-06-08,841.7742248667246
1999-06-09,847.4641729603231
1999-06-10,848.8034144356437
1999-06-11,842.4410582335472
1999-06-14,840.3515979224638
1999-06-15,831.5996143410157
1999-06-16,830.4970600485739
1999-06-17,841.3786612282319
1999-06-18,838.4802153197373
1999-06-21,834.1215184838667
1999-06-22,841.5719140301331
1999-06-23,840.9193746839069
1999-06-24,833.2294051664701
1999-06-25,841.5798158766555
1999-06-28,844.7404440217665
1999-06-29,843.6849399599225
1999-06-30,842.3480918677519
1999-07-01,857.9099501147803
1999-07-02,871.6025098434865
1999-07-05,881.7277503980062
1999-07-06,883.8845494645421
1999-07-07,875.7337763660761
1999-07-08,882.92533304788
1999-07-09,868.1028313592421
1999-07-12,862.4083174270193
1999-07-13,863.5079922954253
1999-07-14,862.5746833308282
1999-07-15,869.3738061828736
1999-07-16,862.3669229449108
1999-07-19,858.601254903778
1999-07-20,869.5946013016377
1999-07-21,861.3128475487011
1999-07-22,853.6183342854075
1999-07-23,851.616759003586
1999-07-26,841.9861828784738
1999-07-27,836.9969510928436
1999-07-28,839.6165641822546
1999-07-29,846.2917097871389
1999-07-30,840.376061980383
1999-08-02,830.3501063231741
1999-08-03,845.0233198173092
1999-08-04,840.9049039211701
1999-08-05,841.7276459485008
1999-08-06,837.6869082230216
1999-08-09,828.7371280938154
1999-08-10,819.5065267964474
1999-08-11,809.2030565219515
1999-08-12,810.8797282001192
1999-08-13,819.8561080214398
1999-08-16,833.7678721896474
1999-08-17,818.8878924841343
1999-08-18,830.95896826798
1999-08-19,817.056961738768
1999-08-20,816.8596070463607
1999-08-23,826.781196469725
1999-08-24,826.6780968878861
1999-08-25,813.6806860897291
1999-08-26,814.1992990791466
1999-08-27,809.7059100038592
1999-08-30,799.2409857842035
1999-08-31,792.5877341119484
1999-09-01,810.4078487782981
1999-09-02,815.803661129166
1999-09-03,808.4346332457382
1999-09-06,818.0313264297046
1999-09-07,823.9284899542878
1999-09-08,828.3572134989946
1999-09-09,836.294334806867
1999-09-10,833.6325245314604
1999-09-13,834.1688043706516
1999-09-14,828.4233960662795
1999-09-15,809.3622717333342
1999-09-16,797.4357121062034
1999-09-17,802.9054100359706
