Date,GERMANY
1998-12-31,2684.3345686881644
1999-01-01,2684.336179288906
1999-01-04,2838.1823190036116
1999-01-05,2838.5475227216816
1999-01-06,2925.4686919569162
1999-01-07,2854.3045934832267
1999-01-08,2853.6376437162908
1999-01-11,2786.2349959003213
1999-01-12,2758.5528493474158
1999-01-13,2659.2804930513876
1999-01-14,2668.020713250382
1999-01-15,2663.8622226666075
1999-01-18,2707.5218506924925
1999-01-19,2728.8784433643214
1999-01-20,2761.3098488528785
1999-01-21,2776.7714817517935
1999-01-22,2699.768311350911
1999-01-25,2673.1150970815297
1999-01-26,2678.880081374627
1999-01-27,2699.3109275837523
1999-01-28,2706.0721221219815
1999-01-29,2726.85209288511
1999-02-01,2752.1264450165936
1999-02-02,2721.1654911614182
1999-02-03,2672.874688077558
1999-02-04,2650.941339280301
1999-02-05,2660.4872088133957
1999-02-08,2620.539210195635
1999-02-09,2528.3328009414195
1999-02-10,2502.8325083692894
1999-02-11,2535.6544845375906
1999-02-12,2556.843923695827
1999-02-15,2537.2757420870407
1999-02-16,2527.0415823271887
1999-02-17,2495.751716957312
1999-02-18,2530.398879572247
1999-02-19,2482.5031568502063
1999-02-22,2495.2421497261385
1999-02-23,2555.34064265067
1999-02-24,2564.455810702219
1999-02-25,2523.756842645522
1999-02-26,2500.5062371887184
1999-03-01,2438.6749257700612
1999-03-02,2457.4585032277655
1999-03-03,2385.65346618911
1999-03-04,2381.8178473672574
1999-03-05,2444.785652355606
1999-03-08,2425.6358779760412
1999-03-09,2415.126278646096
1999-03-10,2400.6929069470625
1999-03-11,2394.7145717424455
1999-03-12,2542.996246956335
1999-03-15,2545.6684483327726
1999-03-16,2563.5751342169237
1999-03-17,2565.4427331497427
1999-03-18,2538.3070097416394
1999-03-19,2565.047840691343
1999-03-22,2528.7453563212807
1999-03-23,2454.915874680958
1999-03-24,2420.7757828660488
1999-03-25,2445.0582196877103
1999-03-26,2379.15230314055
1999-03-29,2411.324455596463
1999-03-30,2406.5542051644843
1999-03-31,2430.9088774293896
1999-04-01,2450.695268595264
1999-04-02,2445.25457876141
