Date,DENMARK
1998-12-31,3893.083793808597
1999-01-01,3893.083793808597
1999-01-04,4026.550502304251
1999-01-05,4014.992870860544
1999-01-06,3996.2439350329137
1999-01-07,3905.7059111540457
1999-01-08,3858.9439794413615
1999-01-11,3880.1712913429687
1999-01-12,3879.2731179808993
1999-01-13,3842.0552369120887
1999-01-14,3827.7714346109296
1999-01-15,3807.8198084068777
1999-01-18,3857.4830608168973
1999-01-19,3846.318319389661
1999-01-20,3858.2110285555013
1999-01-21,3825.894890360638
1999-01-22,3762.9741303991823
1999-01-25,3788.965253215921
1999-01-26,3793.3071706403175
1999-01-27,3779.2369429160867
1999-01-28,3763.1768822031636
1999-01-29,3752.074469047467
1999-02-01,3735.0950176657984
1999-02-02,3740.1087256296546
1999-02-03,3716.37586392919
1999-02-04,3664.8353275829586
1999-02-05,3649.583120688089
1999-02-08,3630.8436061232396
1999-02-09,3630.8881819326784
1999-02-10,3609.873704922079
1999-02-11,3627.921846735986
1999-02-12,3569.691590921825
1999-02-15,3523.4331906670327
1999-02-16,3470.4576247035648
1999-02-17,3511.2128006382673
1999-02-18,3519.9395372704685
1999-02-19,3486.480039296201
1999-02-22,3456.15295547327
1999-02-23,3483.429302042859
1999-02-24,3412.222852912203
1999-02-25,3435.1241519143096
1999-02-26,3425.442441827487
1999-03-01,3368.7131644700294
1999-03-02,3396.901777365021
1999-03-03,3406.8880044661955
1999-03-04,3313.4636482625974
1999-03-05,3352.39946934794
1999-03-08,3335.869980591159
1999-03-09,3259.0021700767093
1999-03-10,3244.0544412653535
1999-03-11,3197.0611435828037
1999-03-12,3252.8308147159255
1999-03-15,3166.2483975565947
1999-03-16,3176.853975358526
1999-03-17,3275.6523055002594
1999-03-18,3305.7674498414553
1999-03-19,3286.483798954745
1999-03-22,3276.6285741232323
1999-03-23,3301.9226013558523
1999-03-24,3339.988863245009
1999-03-25,3403.4062639060403
1999-03-26,3349.506246264895
1999-03-29,3281.1832096461235
1999-03-30,3327.228891802422
1999-03-31,3378.5111220389344
1999-04-01,3383.22879991111
1999-04-02,3376.3532246228647
1999-04-05,3356.3289534752203
1999-04-06,3451.356754100974
1999-04-07,3487.2625491387566
1999-04-08,3545.21351512155
1999-04-09,3578.4020933946063
1999-04-12,3543.256072590023
1999-04-13,3532.005761180999
1999-04-14,3565.9297819135436
1999-04-15,3484.7612817320723
1999-04-16,3470.513568317682
1999-04-19,3538.2480095976675
1999-04-20,3463.8248221207014
1999-04-21,3480.2181308063737
1999-04-22,3464.029715120769
1999-04-23,3447.163124238283
1999-04-26,3445.7792497420983
1999-04-27,3552.2935941014844
1999-04-28,3609.9820494440605
1999-04-29,3638.8865615178966
1999-04-30,3637.9014945255485
1999-05-03,3705.7627335446987
1999-05-04,3718.595116345851
1999-05-05,3674.2079657473905
1999-05-06,3695.7496830961854
1999-05-07,3727.6459522038867
1999-05-10,3711.5613261322255
1999-05-11,3660.7155105889983
1999-05-12,3583.222470817262
1999-05-13,3568.184344600214
1999-05-14,3615.583690922458
1999-05-17,3568.93909675532
1999-05-18,3566.023371647947
1999-05-19,3610.8226051659817
1999-05-20,3650.9068470396596
1999-05-21,3620.431242069995
1999-05-24,3625.86166572314
1999-05-25,3618.40181641912
1999-05-26,3577.405425012553
1999-05-27,3551.600819840376
1999-05-28,3548.83525097493
1999-05-31,3537.2086340863966
1999-06-01,3469.470844754348
1999-06-02,3454.4055448124195
1999-06-03,3491.962747064698
1999-06-04,3538.777936163681
1999-06-07,3566.7894916077307
1999-06-08,3623.649732304012
1999-06-09,3628.1625561069573
1999-06-10,3608.508517228104
1999-06-11,3605.1777504574734
1999-06-14,3553.6604947523283
1999-06-15,3566.9583346518675
1999-06-16,3550.6671804849443
1999-06-17,3540.2060360917635
1999-06-18,3534.992535067609
1999-06-21,3514.9307735230304
1999-06-22,3532.180327058313
1999-06-23,3507.5211449999506
1999-06-24,3540.8305645939663
1999-06-25,3568.0296723810857
1999-06-28,3568.1267269600658
1999-06-29,3553.507379766718
1999-06-30,3573.245431393841
1999-07-01,3593.75863493515
1999-07-02,3612.9852910751183
1999-07-05,3695.415111474945
1999-07-06,3707.936436880972
1999-07-07,3639.101226158287
1999-07-08,3667.6346494848967
1999-07-09,3710.8997744031435
1999-07-12,3724.695734374101
1999-07-13,3740.5656958053714
1999-07-14,3758.9961384478306
1999-07-15,3821.7904510476633
1999-07-16,3783.6564105696557
1999-07-19,3695.381358438453
1999-07-20,3751.217173065232
1999-07-21,3716.2034781788
1999-07-22,3698.6042867879955
1999-07-23,3727.815573864783
1999-07-26,3793.555821902228
1999-07-27,3811.9597137132137
1999-07-28,3804.314826136474
1999-07-29,3789.135653493576
1999-07-30,3820.165711457155
1999-08-02,3758.0323276929976
1999-08-03,3752.70257918676
1999-08-04,3777.0287857882386
1999-08-05,3675.8926198974855
1999-08-06,3687.69177825976
1999-08-09,3703.1148526023403
1999-08-10,3740.2707557771528
1999-08-11,3749.5431859647324
1999-08-12,3768.5494157002954
1999-08-13,3715.817245335617
1999-08-16,3731.333403311706
1999-08-17,3693.98743978608
1999-08-18,3746.5444213800374
1999-08-19,3783.834480222385
1999-08-20,3853.960092499366
1999-08-23,3863.519326170035
1999-08-24,3851.618986559959
1999-08-25,3890.4725857155763
1999-08-26,3866.2478328777643
1999-08-27,3901.2629682051993
1999-08-30,3874.5529485350958
1999-08-31,3828.44622282491
1999-09-01,3917.7014366628805
1999-09-02,3934.8721163205005
1999-09-03,3937.021059643845
1999-09-06,3958.8236525376633
1999-09-07,3962.3484506045775
1999-09-08,3956.9171704729974
1999-09-09,3988.726896327962
1999-09-10,3962.0436610743604
1999-09-13,3948.4333233386915
1999-09-14,3932.361271927684
1999-09-15,3928.869604003855
1999-09-16,3918.84619795245
1999-09-17,3920.732981013119
1999-09-20,3928.2726385349124
1999-09-21,3937.405423806808
1999-09-22,3923.4557648876707
1999-09-23,3914.1685799125125
1999-09-24,3914.7377098323295
1999-09-27,3948.8241500207523
1999-09-28,3896.4068522733164
1999-09-29,3963.3580440248256
1999-09-30,3944.9273288665013
1999-10-01,3955.2719143308955
1999-10-04,3992.398074345524
1999-10-05,4015.666296495197
1999-10-06,4009.413653544799
1999-10-07,4023.6237987005798
1999-10-08,3963.572358287675
1999-10-11,3959.394651137701
1999-10-12,4025.604132564814
1999-10-13,4019.910692170559
1999-10-14,4043.616185491953
1999-10-15,4034.1486728754653
1999-10-18,3955.654331951962
1999-10-19,4003.1642418539495
1999-10-20,4005.5307306996924
1999-10-21,4025.8309436266413
1999-10-22,3981.0684218887823
1999-10-25,3965.387002505645
1999-10-26,3934.1702711741527
1999-10-27,3925.281037224398
1999-10-28,3961.1929444037373
1999-10-29,3992.6837099034756
1999-11-01,4015.7660373019944
1999-11-02,4008.234088086113
1999-11-03,4049.209184324328
1999-11-04,4093.9030320640645
1999-11-05,4121.261366978351
1999-11-08,4096.979269016256
1999-11-09,4137.632718671427
1999-11-10,4161.528739513689
1999-11-11,4209.176542443654
1999-11-12,4131.470356334206
1999-11-15,4095.357176722728
1999-11-16,4115.652873672477
1999-11-17,4217.011101062828
1999-11-18,4286.42828888185
1999-11-19,4319.017799420715
1999-11-22,4233.75599414592
1999-11-23,4216.039893448787
1999-11-24,4196.031311428832
1999-11-25,4267.442186389501
1999-11-26,4202.012645369639
1999-11-29,4174.528447056299
1999-11-30,4126.21932598228
1999-12-01,4148.67459437413
1999-12-02,4184.109793442917
1999-12-03,4236.133305764609
1999-12-06,4337.082759356611
1999-12-07,4404.633096703988
1999-12-08,4432.073848202189
1999-12-09,4428.135993944752
1999-12-10,4457.805925223288
1999-12-13,4439.397984605157
1999-12-14,4382.047332143369
1999-12-15,4374.549564203197
1999-12-16,4381.942958566858
1999-12-17,4353.119461566771
1999-12-20,4297.18814959453
1999-12-21,4257.599107979425
1999-12-22,4316.096701857707
1999-12-23,4368.080115416323
1999-12-24,4368.080115416323
1999-12-27,4356.2976583835225
1999-12-28,4350.057590093779
1999-12-29,4340.3468376018545
1999-12-30,4366.755299001289
1999-12-31,4366.755299001289
2000-01-03,4487.813892967641
2000-01-04,4439.969761821954
2000-01-05,4349.638266038348
2000-01-06,4390.100059178349
2000-01-07,4386.7012023721645
2000-01-10,4463.024097947995
2000-01-11,4495.480542882788
2000-01-12,4411.21513347418
2000-01-13,4462.81009513185
2000-01-14,4378.343685806967
2000-01-17,4403.97563271289
2000-01-18,4332.163964775648
2000-01-19,4325.071700443439
2000-01-20,4341.523794694398
2000-01-21,4373.556243873208
2000-01-24,4430.107179062071
2000-01-25,4360.489302773479
2000-01-26,4363.740105602985
2000-01-27,4285.961430273297
2000-01-28,4273.60587237521
2000-01-31,4128.748195353061
2000-02-01,4140.222281218554
2000-02-02,4201.598927354871
2000-02-03,4344.377347253584
2000-02-04,4313.173579891125
2000-02-07,4318.407052435143
2000-02-08,4464.786107673072
2000-02-09,4421.452114102513
2000-02-10,4362.851197780344
2000-02-11,4409.942873690364
2000-02-14,4369.855400557137
2000-02-15,4363.6075071689675
2000-02-16,4506.277582545698
2000-02-17,4533.360754297439
2000-02-18,4567.361468780721
2000-02-21,4552.02848039713
2000-02-22,4591.106866211001
2000-02-23,4624.717415836469
2000-02-24,4563.555434340542
2000-02-25,4488.448465626031
2000-02-28,4311.707872773594
2000-02-29,4276.563759580071
2000-03-01,4388.932601210261
2000-03-02,4481.476770098917
2000-03-03,4542.462161313956
2000-03-06,4575.598533333337
2000-03-07,4586.203527172699
2000-03-08,4576.48343127967
2000-03-09,4690.626039747996
2000-03-10,4766.060416809567
2000-03-13,4735.1689136982095
2000-03-14,4691.4399667767675
2000-03-15,4601.700725830713
2000-03-16,4710.484854834403
