Date,SRILANKA
1998-12-31,184.2094984837818
1999-01-01,184.2094984837818
1999-01-04,177.45378459962774
1999-01-05,175.61116830190917
1999-01-06,176.33985870972637
1999-01-07,176.78276097531088
1999-01-08,176.55238857650707
1999-01-11,175.53944449157956
1999-01-12,176.18940560183975
1999-01-13,177.55984506047474
1999-01-14,172.36105696284068
1999-01-15,172.36105696284068
1999-01-18,173.0245722079993
1999-01-19,174.86136564347078
1999-01-20,174.54788344523604
1999-01-21,175.48708294163555
1999-01-22,176.07617570731173
1999-01-25,176.48214396845023
1999-01-26,173.92232640933494
1999-01-27,169.00681752056423
1999-01-28,165.95663427648512
1999-01-29,167.7288143882684
1999-02-01,167.5353502045808
1999-02-02,166.739185699564
1999-02-03,167.11737332623616
1999-02-04,167.10522286771615
1999-02-05,166.1255857022095
1999-02-08,165.71154169665746
1999-02-09,165.69539941830533
1999-02-10,165.82205081689287
1999-02-11,166.37245958788748
1999-02-12,166.68485679217616
1999-02-15,167.4163103424706
1999-02-16,167.68110228606614
1999-02-17,166.7597397954048
1999-02-18,166.56592561367006
1999-02-19,165.487443473372
1999-02-22,163.75700339185016
1999-02-23,162.40298989419497
1999-02-24,157.28322951350543
1999-02-25,159.42618834593185
1999-02-26,161.3894213390676
1999-03-01,161.3894213390676
1999-03-02,160.43803270015343
1999-03-03,157.78216462433875
1999-03-04,156.86355974986972
1999-03-05,153.41905396914626
1999-03-08,147.78127989986547
1999-03-09,148.97528534294767
1999-03-10,149.5893771796631
1999-03-11,150.19450538218234
1999-03-12,148.79650265628922
1999-03-15,147.55000855870904
1999-03-16,148.513816602011
1999-03-17,151.15844605632319
1999-03-18,147.0339382803268
1999-03-19,147.98202220083814
1999-03-22,148.01044204226423
1999-03-23,147.46380772389355
1999-03-24,147.61452056717306
1999-03-25,146.67143240826056
1999-03-26,146.22112676293202
1999-03-29,146.07367626987065
1999-03-30,145.84451965375683
1999-03-31,145.84451965375683
1999-04-01,146.4840692431627
1999-04-02,146.4840692431627
1999-04-05,146.9779533295476
1999-04-06,147.2388345054903
1999-04-07,149.5322777614181
1999-04-08,153.89494078752926
1999-04-09,154.16083798811567
1999-04-12,154.6097473254457
1999-04-13,154.6097473254457
1999-04-14,154.6097473254457
1999-04-15,152.53895072195533
1999-04-16,152.2417379066267
1999-04-19,150.95648060428056
1999-04-20,148.21137960530532
1999-04-21,148.1140525167814
1999-04-22,147.17644090625885
1999-04-23,146.80665139062256
1999-04-26,148.29034837521033
1999-04-27,149.5659309946961
1999-04-28,150.50945388802504
1999-04-29,150.8985614537673
1999-04-30,150.8985614537673
1999-05-03,150.8738018550761
1999-05-04,149.17312450222425
1999-05-05,148.92191616704696
1999-05-06,149.4381927600675
1999-05-07,149.9729087238863
1999-05-10,149.29535855703816
1999-05-11,148.3617792924374
1999-05-12,148.10842307450775
1999-05-13,148.65693080347802
1999-05-14,150.06066428686896
1999-05-17,151.2481173980901
1999-05-18,152.89379532097962
1999-05-19,152.07038438904206
1999-05-20,155.5176754173826
1999-05-21,156.2966992285655
1999-05-24,156.70710141233252
1999-05-25,153.80157604531774
1999-05-26,151.57589056921722
1999-05-27,149.25824955356862
1999-05-28,154.30714269809644
1999-05-31,154.30714269809644
1999-06-01,151.2825645743066
1999-06-02,151.8935856386823
1999-06-03,149.3807765014851
1999-06-04,149.3240989229916
1999-06-07,148.57394995069606
1999-06-08,145.03462048853305
1999-06-09,144.20557458803688
1999-06-10,143.55364980452285
1999-06-11,143.65455055731735
1999-06-14,143.78017406690336
1999-06-15,143.92861560706652
1999-06-16,142.20216734537684
1999-06-17,141.40997439714732
1999-06-18,140.26352816238366
1999-06-21,139.82916953333884
1999-06-22,139.93503841630744
1999-06-23,139.93135606843276
1999-06-24,139.68628006745996
1999-06-25,140.51755674498276
1999-06-28,140.49792001244438
1999-06-29,140.49792001244438
1999-06-30,141.84635196229553
1999-07-01,143.1150156730182
1999-07-02,143.70404580746495
1999-07-05,144.01076567501033
1999-07-06,143.68585696158465
1999-07-07,144.06921903306923
1999-07-08,142.15362630043137
1999-07-09,143.18582948842536
1999-07-12,143.58298516715638
1999-07-13,143.091108964305
1999-07-14,143.0801982357098
1999-07-15,146.39032871357432
1999-07-16,149.26071427665832
1999-07-19,150.5716927512777
1999-07-20,154.99017678171444
1999-07-21,157.3734553258628
1999-07-22,165.98976803897742
1999-07-23,173.59599559858097
1999-07-26,172.96206992516377
1999-07-27,173.28400918147392
1999-07-28,173.30818483605492
1999-07-29,174.42218072556568
1999-07-30,175.49518263328386
1999-08-02,173.99932782179616
1999-08-03,175.24544797409442
1999-08-04,177.8781148635751
1999-08-05,177.37643687330936
1999-08-06,176.55057963923193
1999-08-09,177.48673046843155
1999-08-10,176.44684942854073
1999-08-11,175.9908830253238
1999-08-12,173.17372663892164
1999-08-13,173.3071643154333
1999-08-16,171.02434626337805
1999-08-17,167.96254492622958
1999-08-18,162.80839079007816
1999-08-19,162.47298213523888
1999-08-20,164.3224620788709
1999-08-23,161.99212902877676
1999-08-24,162.12335434921164
1999-08-25,162.07809039124422
1999-08-26,162.044216106568
1999-08-27,161.81874736461384
1999-08-30,162.6393048914199
1999-08-31,162.72937965198847
1999-09-01,161.1264512274121
1999-09-02,160.93061258328902
1999-09-03,162.06763281801528
1999-09-06,161.34873682923248
1999-09-07,161.60833038078079
1999-09-08,161.92995095465852
1999-09-09,162.38873023691735
1999-09-10,163.29848937126917
1999-09-13,161.09059669062722
1999-09-14,161.38344742503176
1999-09-15,160.97204866787797
1999-09-16,161.5394268178729
