Date,BELGIUM
1998-12-31,6846.871021728984
1999-01-01,6846.869515417359
1999-01-04,7169.779524014125
1999-01-05,7304.726353636557
1999-01-06,7264.799852303998
1999-01-07,7112.023154322591
1999-01-08,6975.069712209821
1999-01-11,6901.044286877426
1999-01-12,6823.506485179595
1999-01-13,6756.673218574556
1999-01-14,6916.326502997925
1999-01-15,6748.389394731496
1999-01-18,6950.107389838801
1999-01-19,6938.468804601225
1999-01-20,6956.1570796674705
1999-01-21,6841.873901382485
1999-01-22,6731.399363572047
1999-01-25,6667.748111805646
1999-01-26,6692.216090088897
1999-01-27,6605.495333445432
1999-01-28,6646.9189031268925
1999-01-29,6633.321291152581
1999-02-01,6668.48688918889
1999-02-02,6727.901228698336
1999-02-03,6688.1871857735805
1999-02-04,6679.886450159098
1999-02-05,6702.768761582427
1999-02-08,6608.928217638307
1999-02-09,6521.836908335147
1999-02-10,6421.810832641288
1999-02-11,6446.469017001523
1999-02-12,6505.357653753919
1999-02-15,6527.288455511359
1999-02-16,6493.350501449244
1999-02-17,6465.33351604059
1999-02-18,6475.576435089097
1999-02-19,6495.568613785443
1999-02-22,6535.875458803259
1999-02-23,6501.911828974814
1999-02-24,6403.067591688015
1999-02-25,6459.422749224952
1999-02-26,6325.623318248341
1999-03-01,6167.695445322446
1999-03-02,6170.669246813314
1999-03-03,6152.623428142315
1999-03-04,6078.61053258389
1999-03-05,6204.528735733519
1999-03-08,6166.214261714316
1999-03-09,6140.1587679159675
1999-03-10,6121.603815915792
1999-03-11,6095.4173414747975
1999-03-12,6196.666199864427
1999-03-15,6240.86692890101
1999-03-16,6227.557775602843
1999-03-17,6265.486496908683
1999-03-18,6192.410801055712
1999-03-19,6179.734777920924
1999-03-22,6119.926537921599
1999-03-23,5958.303545642698
1999-03-24,5862.84063560998
1999-03-25,5987.301756137475
1999-03-26,5889.890089674554
1999-03-29,5921.371523351492
1999-03-30,5962.811457054694
1999-03-31,5956.93978587259
1999-04-01,5999.103365374079
1999-04-02,5985.784900331321
1999-04-05,5949.440065698939
1999-04-06,6041.792579163905
1999-04-07,6120.806840128863
1999-04-08,6112.3175416864415
1999-04-09,6087.112566206411
1999-04-12,6118.708548035544
1999-04-13,6102.39443998336
1999-04-14,6109.576122998051
1999-04-15,6031.078869263945
1999-04-16,5931.760691565022
1999-04-19,5913.762253241493
1999-04-20,5793.273755749515
1999-04-21,5831.079644189225
1999-04-22,5823.6086808738655
1999-04-23,5819.487069924915
1999-04-26,5807.701756241343
1999-04-27,5863.813712919588
1999-04-28,5819.72801131617
1999-04-29,5785.237446293892
1999-04-30,5755.8062396756995
1999-05-03,5810.008877900826
1999-05-04,5823.933291029005
1999-05-05,5819.59251173865
1999-05-06,5817.058827117058
1999-05-07,5782.5462836388015
1999-05-10,5862.091382514072
1999-05-11,5891.427691499903
1999-05-12,5811.89478005505
1999-05-13,5786.848720451436
1999-05-14,5731.434870742566
1999-05-17,5594.8211703698935
1999-05-18,5582.909463447261
1999-05-19,5696.512884377208
1999-05-20,5734.372794629279
1999-05-21,5710.797442921132
1999-05-24,5720.265022295138
1999-05-25,5704.894686944589
1999-05-26,5570.450759998703
1999-05-27,5503.7300559532605
1999-05-28,5516.613744686137
1999-05-31,5485.651303832646
1999-06-01,5515.336460897033
1999-06-02,5413.4363966045275
1999-06-03,5426.8306565094945
1999-06-04,5515.228417272311
1999-06-07,5568.965947548931
1999-06-08,5703.228021600479
1999-06-09,5691.365064399522
1999-06-10,5618.6110345471525
1999-06-11,5739.15321150794
1999-06-14,5670.643077720969
1999-06-15,5696.326649485418
1999-06-16,5649.951970430724
1999-06-17,5659.099253178334
1999-06-18,5755.571597405785
1999-06-21,5745.342714442873
1999-06-22,5698.870399007411
1999-06-23,5580.123129284969
1999-06-24,5550.578470013947
1999-06-25,5629.236693685773
1999-06-28,5613.891417883164
1999-06-29,5605.000961267579
1999-06-30,5570.527581891566
1999-07-01,5553.390069130309
1999-07-02,5573.28598082009
1999-07-05,5604.465399016261
1999-07-06,5554.551846205276
1999-07-07,5510.629647881857
1999-07-08,5444.837721890512
1999-07-09,5505.090871568829
1999-07-12,5446.810305431872
1999-07-13,5468.524677596313
1999-07-14,5566.67827100315
1999-07-15,5635.230786921746
1999-07-16,5492.280718230725
1999-07-19,5482.014040539772
1999-07-20,5556.396872539501
1999-07-21,5604.971382784766
1999-07-22,5553.867501446654
1999-07-23,5435.161381419053
1999-07-26,5485.365583904909
1999-07-27,5518.727579176675
1999-07-28,5597.765393377947
1999-07-29,5553.609374409135
1999-07-30,5621.372583036346
1999-08-02,5527.404413416381
1999-08-03,5450.795047429097
1999-08-04,5483.227374553534
1999-08-05,5391.24760474699
1999-08-06,5378.458882115184
1999-08-09,5378.141187299776
1999-08-10,5311.425892282441
1999-08-11,5312.114276694965
1999-08-12,5396.49401966739
1999-08-13,5509.109710983743
1999-08-16,5537.7352462888075
1999-08-17,5589.760921872575
1999-08-18,5678.467202643629
1999-08-19,5671.290243969943
1999-08-20,5767.889803060978
1999-08-23,5841.8176604813125
1999-08-24,5778.757362152797
1999-08-25,5844.683076003906
1999-08-26,5880.03894858591
1999-08-27,5895.7626509498905
1999-08-30,5894.104338788428
1999-08-31,5896.755858060303
1999-09-01,5874.416298102867
1999-09-02,5841.310033463762
1999-09-03,5875.260654237267
1999-09-06,5894.49858162186
1999-09-07,5877.506290994973
1999-09-08,5908.694952467023
1999-09-09,5929.359493897702
1999-09-10,5887.304300364488
1999-09-13,5796.619273868152
1999-09-14,5817.7856909447255
1999-09-15,5798.5860375691445
1999-09-16,5845.437875065341
1999-09-17,5905.963187866772
1999-09-20,5874.673603515863
1999-09-21,5848.455633468168
1999-09-22,5826.009947009896
1999-09-23,5771.951230013647
1999-09-24,5769.336478439159
1999-09-27,5785.88892607161
1999-09-28,5747.938979465603
1999-09-29,5718.803352269419
1999-09-30,5709.39143795682
1999-10-01,5654.137736561148
1999-10-04,5597.437770599558
1999-10-05,5613.2899202639055
1999-10-06,5626.54457246874
1999-10-07,5704.489557586233
1999-10-08,5638.1147574648085
1999-10-11,5607.875277722502
1999-10-12,5617.971879137274
1999-10-13,5606.437640214069
1999-10-14,5637.649649516303
1999-10-15,5643.255251290502
1999-10-18,5519.833006503134
1999-10-19,5579.86192115549
1999-10-20,5631.717999744048
1999-10-21,5637.803841051712
1999-10-22,5607.475557392252
1999-10-25,5516.796145330156
1999-10-26,5473.986768953898
1999-10-27,5479.361836580795
1999-10-28,5544.492286362732
1999-10-29,5676.692630612218
1999-11-01,5666.972059353959
1999-11-02,5695.20855544757
1999-11-03,5768.766134083049
1999-11-04,5815.00147931245
1999-11-05,5890.702128577731
1999-11-08,5857.487614907773
1999-11-09,5908.286057329605
1999-11-10,5962.181887264246
1999-11-11,5945.611158486168
1999-11-12,6041.875426303269
1999-11-15,6062.044528146816
1999-11-16,6125.412182515498
1999-11-17,6177.027388181512
1999-11-18,6135.792929077672
1999-11-19,5997.394865648027
1999-11-22,5904.682754516999
1999-11-23,5838.834410308435
1999-11-24,5682.008472804778
1999-11-25,5770.963500400052
1999-11-26,5603.522584876568
1999-11-29,5549.893645974354
1999-11-30,5501.594379944162
1999-12-01,5466.00913718293
1999-12-02,5543.376862604582
1999-12-03,5655.715803394236
1999-12-06,5764.615492400966
1999-12-07,5719.348705546299
1999-12-08,5651.35290871048
1999-12-09,5559.180536422096
1999-12-10,5566.0681463264045
1999-12-13,5652.72022885352
1999-12-14,5558.767259287224
1999-12-15,5591.165625931392
1999-12-16,5622.346208095636
1999-12-17,5619.133245399979
1999-12-20,5628.894007791137
1999-12-21,5590.629858273942
1999-12-22,5637.918526141326
1999-12-23,5810.774563487185
1999-12-24,5939.077463344973
1999-12-27,5851.2904434772945
1999-12-28,5815.121573430171
1999-12-29,5813.756033473597
1999-12-30,5870.88529824825
1999-12-31,5870.88529824825
2000-01-03,5879.161522064476
2000-01-04,5710.5527357508145
2000-01-05,5526.36724939401
2000-01-06,5539.733094784238
2000-01-07,5644.841397431396
2000-01-10,5739.38621052881
2000-01-11,5667.340284077508
2000-01-12,5583.923005764607
2000-01-13,5632.378106579253
2000-01-14,5523.093760358522
2000-01-17,5408.014359442421
2000-01-18,5239.130739725947
2000-01-19,5250.994655488848
2000-01-20,5235.462870919607
2000-01-21,5138.83743065611
2000-01-24,5106.901570149459
2000-01-25,5021.757374027458
2000-01-26,5036.708543934058
2000-01-27,4979.881705452433
2000-01-28,4924.794588428721
2000-01-31,4767.4359643595735
2000-02-01,4709.276587839701
2000-02-02,4698.619980844062
2000-02-03,4952.111892087665
2000-02-04,4980.719283184522
2000-02-07,4905.052457462089
2000-02-08,4986.936173603542
2000-02-09,4802.807105463956
2000-02-10,4639.970779171294
2000-02-11,4697.161049566752
2000-02-14,4779.606140663276
2000-02-15,4783.878177368573
2000-02-16,4778.228344807574
2000-02-17,4765.967378994123
2000-02-18,4741.771495365276
2000-02-21,4713.929310573807
2000-02-22,4695.1471793931305
2000-02-23,4702.974522345171
2000-02-24,4736.2331298645095
2000-02-25,4638.959496321385
2000-02-28,4513.234306465858
2000-02-29,4554.724838545912
2000-03-01,4598.738648003601
2000-03-02,4619.938546279471
2000-03-03,4542.258603539229
2000-03-06,4539.480280216032
2000-03-07,4451.272314717938
2000-03-08,4458.781620511019
2000-03-09,4442.949874522316
2000-03-10,4317.793454242564
2000-03-13,4212.833454821737
2000-03-14,4249.403688448155
2000-03-15,4548.954364117508
2000-03-16,4907.081116877117
2000-03-17,4737.686446707581
2000-03-20,4782.918862269719
2000-03-21,4696.85184487141
2000-03-22,4805.920103842695
2000-03-23,4868.172471390648
2000-03-24,4892.175204787972
2000-03-27,4685.667412588706
2000-03-28,4740.155222991886
2000-03-29,4627.165213236775
2000-03-30,4540.338124686345
2000-03-31,4555.575767676492
2000-04-03,4662.613860921124
2000-04-04,4774.853179737413
2000-04-05,4800.781869484438
2000-04-06,4783.0340266403055
2000-04-07,4738.376268963021
2000-04-10,4726.475380096602
2000-04-11,4862.9120888533635
2000-04-12,4934.646345735757
2000-04-13,4971.060265296748
2000-04-14,4920.759111117225
2000-04-17,4801.584802049158
2000-04-18,4842.554150307036
2000-04-19,4707.002741973384
2000-04-20,4617.652992263708
2000-04-21,4617.652992263708
2000-04-24,4618.390605678879
2000-04-25,4549.10013400156
2000-04-26,4588.504972230975
2000-04-27,4444.710136593292
2000-04-28,4419.4046490466635
2000-05-01,4405.582459702839
2000-05-02,4436.168870399816
2000-05-03,4367.950344849661
2000-05-04,4375.536609473026
2000-05-05,4347.243763630907
2000-05-08,4360.090205385425
2000-05-09,4451.240476767686
2000-05-10,4485.811766399311
2000-05-11,4483.084520733936
2000-05-12,4506.282404442656
2000-05-15,4604.528567545706
2000-05-16,4595.572244030893
2000-05-17,4511.554974410358
2000-05-18,4545.837189147446
2000-05-19,4490.184657514758
2000-05-22,4552.6167554270305
2000-05-23,4597.900248646991
2000-05-24,4594.295234116631
2000-05-25,4603.698726777873
2000-05-26,4643.012433153987
2000-05-29,4684.040938377494
2000-05-30,4752.695472674314
2000-05-31,4658.335456625776
2000-06-01,4676.668570004847
2000-06-02,4830.566443116062
2000-06-05,4817.755878965697
