Date,PHILIPPINES
1998-12-31,176.52709822478892
1999-01-01,176.52709822478892
1999-01-04,177.9557249696382
1999-01-05,183.20189849636105
1999-01-06,186.17460070829867
1999-01-07,192.19821899358428
1999-01-08,194.79793533441173
1999-01-11,195.12378847029584
1999-01-12,194.65869958568695
1999-01-13,189.36787352946808
1999-01-14,183.4895052711438
1999-01-15,180.8545611825946
1999-01-18,190.43585364737316
1999-01-19,188.30647963759782
1999-01-20,194.20606292258677
1999-01-21,193.57568465482606
1999-01-22,183.61044222086662
1999-01-25,172.24797191701913
1999-01-26,176.6351098603797
1999-01-27,177.74536645303863
1999-01-28,178.06104456698108
1999-01-29,174.78793913091044
1999-02-01,175.4895407869919
1999-02-02,175.08412512266688
1999-02-03,179.42914193512004
1999-02-04,177.8552016135541
1999-02-05,175.64036907025715
1999-02-08,171.94767107860304
1999-02-09,168.83470219968703
1999-02-10,167.1177413884103
1999-02-11,170.15978520980158
1999-02-12,171.9506967530666
1999-02-15,170.29774466760622
1999-02-16,171.64456522459616
1999-02-17,171.32310584818686
1999-02-18,171.20416012413202
1999-02-19,171.8227516775443
1999-02-22,171.55462643332163
1999-02-23,173.6741361088482
1999-02-24,170.8410279956448
1999-02-25,173.05752872002
1999-02-26,175.68641263328712
1999-03-01,176.3152921859839
1999-03-02,176.91519128496512
1999-03-03,179.99439052999074
1999-03-04,178.92076684075542
1999-03-05,179.8871079513156
1999-03-08,181.94054000343468
1999-03-09,179.74701781143543
1999-03-10,178.83806036469517
1999-03-11,176.8880678963229
1999-03-12,176.02402600445498
1999-03-15,175.55879060235452
1999-03-16,178.95108713514654
1999-03-17,178.92778908872282
1999-03-18,183.9210857819677
1999-03-19,183.73937231759706
1999-03-22,184.44317526659339
1999-03-23,187.37281016237708
1999-03-24,186.32863119312566
1999-03-25,185.22400581490012
1999-03-26,186.34295283660464
1999-03-29,184.745610317627
1999-03-30,183.92950082874006
1999-03-31,184.9359118253263
1999-04-01,184.81667483155937
1999-04-02,184.9359118253263
1999-04-05,186.81613548866716
1999-04-06,188.0010118510167
1999-04-07,190.38778531852657
1999-04-08,194.72429352484528
1999-04-09,194.74956690949813
1999-04-12,202.01520161355768
1999-04-13,202.61311478268385
1999-04-14,204.18437895344073
1999-04-15,205.180542551975
1999-04-16,211.2086393297426
1999-04-19,222.94605495549052
1999-04-20,223.27117903445898
1999-04-21,220.94941696668334
1999-04-22,224.4222045604529
1999-04-23,228.4246299375683
1999-04-26,228.26850407608535
1999-04-27,228.65425109112616
1999-04-28,231.32572040156901
1999-04-29,229.55710599608076
1999-04-30,229.25219603513
1999-05-03,229.687051123626
1999-05-04,231.54034028231973
1999-05-05,227.66294198779306
1999-05-06,231.29189427900718
1999-05-07,231.45788977055187
1999-05-10,235.11616321278115
1999-05-11,234.52843918776452
1999-05-12,238.98367598980724
1999-05-13,235.76863208161376
1999-05-14,232.03363290141203
1999-05-17,224.09182173922835
1999-05-18,225.367076445327
1999-05-19,217.2471264925117
1999-05-20,214.0867353739286
1999-05-21,217.50149851051168
1999-05-24,217.00915913774978
1999-05-25,215.03183850930134
1999-05-26,212.85654627073575
1999-05-27,213.78444330984453
1999-05-28,212.80207530403652
1999-05-31,217.28029946481013
1999-06-01,220.16803918437213
1999-06-02,217.79989638680888
1999-06-03,214.1279438597382
1999-06-04,210.01864015100261
1999-06-07,216.0765505903894
1999-06-08,217.7287965674569
1999-06-09,212.29713366173237
1999-06-10,213.28189360972132
1999-06-11,213.20410694388858
1999-06-14,216.36250330626177
1999-06-15,215.52179653150816
1999-06-16,216.49075200839303
1999-06-17,219.23432734264782
1999-06-18,220.8028059157947
1999-06-21,222.5982453791292
1999-06-22,224.22815538245834
1999-06-23,219.86438609636076
1999-06-24,222.81983278444687
1999-06-25,219.47175452448917
1999-06-28,217.93090244221446
1999-06-29,222.3950609238015
1999-06-30,224.33425522957535
1999-07-01,228.64212721002005
1999-07-02,228.91862689978254
1999-07-05,232.00408226516922
1999-07-06,231.876522018721
1999-07-07,231.17071725243076
1999-07-08,231.16278412463657
1999-07-09,231.13267742803433
1999-07-12,231.84154670474973
1999-07-13,231.67005592463727
1999-07-14,228.18780647840285
1999-07-15,228.24844530191407
1999-07-16,226.17399593348034
1999-07-19,224.8987218094009
1999-07-20,224.12798508057065
1999-07-21,222.05472727005
1999-07-22,218.0215261586301
1999-07-23,213.93357869823777
1999-07-26,208.06894424815536
1999-07-27,198.3153719271353
1999-07-28,204.7353023742905
1999-07-29,204.6386555532834
1999-07-30,202.62465435909482
1999-08-02,203.93147211035605
1999-08-03,203.79956223620758
1999-08-04,204.5762585198739
1999-08-05,204.22517613111145
1999-08-06,197.71771295703053
1999-08-09,194.99409754177205
1999-08-10,194.31797933759032
1999-08-11,187.12683200789772
1999-08-12,189.56330138409982
1999-08-13,186.67852908505898
1999-08-16,186.16175659663182
1999-08-17,177.2863218562729
1999-08-18,179.3557507940331
1999-08-19,182.56519173212897
1999-08-20,185.87493007162323
1999-08-23,188.37685569584707
1999-08-24,188.76662223291447
1999-08-25,188.9017802056703
1999-08-26,186.74476028704194
1999-08-27,185.4454519985392
1999-08-30,185.13650309758108
1999-08-31,183.59538269411706
1999-09-01,180.7249338038262
1999-09-02,180.40238172467886
1999-09-03,180.22274598425435
1999-09-06,182.32279531247258
1999-09-07,181.9479947427927
1999-09-08,180.2469531452339
1999-09-09,175.81377340411433
1999-09-10,173.86085764699547
1999-09-13,174.5288697268267
1999-09-14,177.07336486078748
1999-09-15,174.3480989171606
1999-09-16,171.11298387789893
