Date,ISRAEL
1998-12-31,49.50788208955434
1999-01-01,49.50788208955434
1999-01-04,51.119449795284176
1999-01-05,51.821726528906815
1999-01-06,53.011455394189106
1999-01-07,52.37193831745493
1999-01-08,52.59715363371088
1999-01-11,53.39085805842476
1999-01-12,52.69616840773235
1999-01-13,50.373398687396765
1999-01-14,50.73486613118785
1999-01-15,50.94857135993679
1999-01-18,51.83850722554107
1999-01-19,52.09382432426511
1999-01-20,52.95691058017576
1999-01-21,51.518537288517464
1999-01-22,51.404669654790304
1999-01-25,50.64704855485857
1999-01-26,50.69186407988368
1999-01-27,50.587288580545916
1999-01-28,50.351256287132216
1999-01-29,50.84052486298573
1999-02-01,51.689989520218255
1999-02-02,51.212998404044136
1999-02-03,50.94399336607997
1999-02-04,50.026353384737206
1999-02-05,49.72505039465546
1999-02-08,49.55732660155483
1999-02-09,49.4768337163807
1999-02-10,48.751437791979875
1999-02-11,48.954902315318606
1999-02-12,48.873812365086486
1999-02-15,49.41832332101198
1999-02-16,50.12656278395349
1999-02-17,49.48497528759033
1999-02-18,49.5495499034362
1999-02-19,49.834086554169495
1999-02-22,51.5599748907476
1999-02-23,51.91258834490578
1999-02-24,52.263409613732314
1999-02-25,52.08225037159021
1999-02-26,52.06596128822511
1999-03-01,52.145030326710334
1999-03-02,52.2246855385195
1999-03-03,53.02328579769323
1999-03-04,54.1534596512947
1999-03-05,54.34038755185788
1999-03-08,56.05343304874313
1999-03-09,55.807315009590155
1999-03-10,55.78507854434963
1999-03-11,55.84000803460681
1999-03-12,55.83379727079867
1999-03-15,55.923504562987304
1999-03-16,55.69378799009177
1999-03-17,55.95061210874662
1999-03-18,55.22067829187347
1999-03-19,55.24576492588589
1999-03-22,55.46387883153491
1999-03-23,55.317830084291906
1999-03-24,55.14704620899932
1999-03-25,55.79753274716807
1999-03-26,55.87370062376286
1999-03-29,57.22763822251742
1999-03-30,57.2876972244379
1999-03-31,57.637236239118316
1999-04-01,57.68052642629624
1999-04-02,57.61479778171887
1999-04-05,58.13995660161439
1999-04-06,58.1342943851398
1999-04-07,58.199196743165096
1999-04-08,58.77345104449236
1999-04-09,59.137257735712176
1999-04-12,58.221303497754555
1999-04-13,59.219852230480996
1999-04-14,59.66759012928605
1999-04-15,60.19224495894189
1999-04-16,60.45297921012417
1999-04-19,61.110395366549
1999-04-20,60.7953821586802
1999-04-21,60.9902407268753
1999-04-22,61.37953308563716
1999-04-23,61.34580534588483
1999-04-26,61.09339931062766
1999-04-27,59.47533221013711
1999-04-28,58.33120307473222
1999-04-29,58.145459897787454
1999-04-30,58.01679188270963
1999-05-03,59.64012959232743
1999-05-04,60.34892354354834
1999-05-05,59.77936655007373
1999-05-06,60.849917071117126
1999-05-07,61.07662604017572
1999-05-10,60.81603288645739
1999-05-11,61.075919562698296
1999-05-12,61.523847571770574
1999-05-13,61.75769656758412
1999-05-14,62.206106288349126
1999-05-17,62.48496983087378
1999-05-18,62.347882010288984
1999-05-19,62.36269179813725
1999-05-20,62.36102585790494
1999-05-21,62.240972214310695
1999-05-24,60.40414017952164
1999-05-25,58.760105699796306
1999-05-26,59.39415760142661
1999-05-27,60.180941814382024
1999-05-28,60.36559730315729
1999-05-31,59.94817902150152
1999-06-01,60.085832222099775
1999-06-02,58.777287410275484
1999-06-03,58.42999902391486
1999-06-04,58.661813245774525
1999-06-07,59.41263641841654
1999-06-08,59.82176163474348
1999-06-09,60.8706881030478
1999-06-10,60.829679239076555
1999-06-11,60.71887911372367
1999-06-14,61.42961377392249
1999-06-15,60.773900193562724
1999-06-16,61.50712232396426
1999-06-17,62.62532022088828
1999-06-18,62.98171063137107
1999-06-21,63.55842052364997
1999-06-22,62.89470201383514
1999-06-23,61.38654835252925
1999-06-24,60.87459179955056
1999-06-25,61.05522774337897
1999-06-28,61.88625071453314
1999-06-29,62.006883600347834
1999-06-30,62.043565970503266
1999-07-01,63.70809423801957
1999-07-02,63.54549451071521
1999-07-05,62.635764403693884
1999-07-06,63.188564959396466
1999-07-07,63.07728411250849
1999-07-08,63.36534819984067
1999-07-09,63.39992598992848
1999-07-12,63.571907955967625
1999-07-13,62.81305064422012
1999-07-14,62.919553980486455
1999-07-15,64.04956693347114
1999-07-16,64.07217569798497
1999-07-19,64.84525068331097
1999-07-20,64.02407383974676
1999-07-21,63.190888859381744
1999-07-22,62.96559334035682
1999-07-23,62.58880419721666
1999-07-26,61.86830311711803
1999-07-27,61.50793375815171
1999-07-28,61.41038342728245
1999-07-29,60.21433389069379
1999-07-30,60.15225793765698
1999-08-02,58.474018462195964
1999-08-03,59.0602749593782
1999-08-04,57.59638778068504
1999-08-05,56.24457456515095
1999-08-06,56.378778056525206
1999-08-09,57.257269185026836
1999-08-10,55.4083468303527
1999-08-11,55.93544041828028
1999-08-12,56.60206008998556
1999-08-13,56.44298482880715
1999-08-16,57.58841701166863
1999-08-17,57.18505748328983
1999-08-18,56.787410669425356
1999-08-19,55.35414758135634
1999-08-20,55.11601367834794
1999-08-23,56.62870374688969
1999-08-24,56.40331366780997
1999-08-25,54.92533605079531
1999-08-26,54.90028407230035
1999-08-27,55.01602854983752
1999-08-30,55.54963440457515
1999-08-31,54.75906234356108
1999-09-01,55.43236310395434
1999-09-02,55.310228148997055
1999-09-03,55.536825725320945
1999-09-06,56.46952055852833
1999-09-07,56.11988005268963
1999-09-08,55.925174958929006
1999-09-09,56.38998169024207
1999-09-10,56.73615664433451
1999-09-13,57.06026048951259
1999-09-14,57.69352670105415
1999-09-15,57.82469684449277
1999-09-16,58.0029663115573
