Date,JORDAN
1998-12-31,123.58821099975508
1999-01-01,123.58821099975508
1999-01-04,126.61151603662512
1999-01-05,130.24207422000669
1999-01-06,132.3286844315958
1999-01-07,132.42167714508045
1999-01-08,132.42167714508045
1999-01-11,129.31085311659095
1999-01-12,127.5505207255696
1999-01-13,127.72658325507774
1999-01-14,127.81634166508053
1999-01-15,127.81634166508053
1999-01-18,130.07774762701507
1999-01-19,130.16915841139894
1999-01-20,130.16915841139894
1999-01-21,130.16915841139894
1999-01-22,130.16915841139894
1999-01-25,138.00123006710294
1999-01-26,137.2375364913437
1999-01-27,131.44611506332225
1999-01-28,131.44611506332225
1999-01-29,131.35380826440863
1999-02-01,135.0647927119804
1999-02-02,134.34412142835228
1999-02-03,134.69181090647578
1999-02-04,134.59722390506926
1999-02-05,134.31425880892843
1999-02-08,135.14999936817208
1999-02-09,135.14999936817208
1999-02-10,135.14999936817208
1999-02-11,135.14999936817208
1999-02-12,135.14999936817208
1999-02-15,142.25264722314498
1999-02-16,140.12781982906836
1999-02-17,138.6088366758979
1999-02-18,138.80406032163944
1999-02-19,138.80406032163944
1999-02-22,138.9287731853593
1999-02-23,139.34402957431848
1999-02-24,138.58664888437713
1999-02-25,138.58664888437713
1999-02-26,138.29447770239892
1999-03-01,136.20518315486686
1999-03-02,136.18960733263458
1999-03-03,136.22814584447062
1999-03-04,136.39154799764395
1999-03-05,136.48739559880272
1999-03-08,138.47763172345424
1999-03-09,137.7727550131919
1999-03-10,137.04364759828096
1999-03-11,136.32729201498097
1999-03-12,136.42309512438374
1999-03-15,134.40942667492666
1999-03-16,134.34765605118687
1999-03-17,134.29308567661994
1999-03-18,134.1331316345335
1999-03-19,134.1331316345335
1999-03-22,134.61131296112322
1999-03-23,135.26531952785595
1999-03-24,135.68495464713084
1999-03-25,136.07460355877086
1999-03-26,136.07460355877086
1999-03-29,136.07460355877086
1999-03-30,135.97904515402584
1999-03-31,136.83335978550065
1999-04-01,135.6564168933289
1999-04-02,135.6564168933289
1999-04-05,135.38202016785667
1999-04-06,135.85499348723485
1999-04-07,136.30019282795504
1999-04-08,135.31924724372567
1999-04-09,135.31924724372567
1999-04-12,132.55822234412142
1999-04-13,132.74945532652978
1999-04-14,132.98816719195793
1999-04-15,132.80117946459742
1999-04-16,134.67337896068727
1999-04-19,132.35057066788175
1999-04-20,133.29569668091708
1999-04-21,134.74626881577072
1999-04-22,133.357042161211
1999-04-23,133.45075786573003
1999-04-26,129.99900092661235
1999-04-27,127.93896341627028
1999-04-28,129.14739164107635
1999-04-29,129.79338351232573
1999-04-30,131.395451312105
1999-05-03,134.198325651718
1999-05-04,132.82041967728586
1999-05-05,131.7613848819363
1999-05-06,131.7064981215492
1999-05-07,131.76884960988068
1999-05-10,130.0176738694123
1999-05-11,131.4003738305491
1999-05-12,132.08880465757372
1999-05-13,132.33447824692746
1999-05-14,132.33447824692746
1999-05-17,132.04398539285467
1999-05-18,131.6953109166895
1999-05-19,131.98019533774715
1999-05-20,131.46881574591868
1999-05-21,131.46881574591868
1999-05-24,131.23786522014134
1999-05-25,131.1457042553167
1999-05-26,130.6828898868827
1999-05-27,129.17845924555746
1999-05-28,129.2692384941831
1999-05-31,128.52890926971338
1999-06-01,129.33096215440273
1999-06-02,129.5762303744244
1999-06-03,129.06003949354172
1999-06-04,128.96940731488715
1999-06-07,127.07297464238445
1999-06-08,125.11025543291201
1999-06-09,125.02239657371229
1999-06-10,125.02239657371229
1999-06-11,125.02239657371229
1999-06-14,124.81959820651856
1999-06-15,126.5198135840633
1999-06-16,128.71148984146964
1999-06-17,130.53780227069743
1999-06-18,130.53780227069743
1999-06-21,128.8149751940682
1999-06-22,128.9253678917795
1999-06-23,129.54095459135874
1999-06-24,129.44998501688815
1999-06-25,129.44998501688815
1999-06-28,128.4579066066119
1999-06-29,127.39779165029823
1999-06-30,127.38946922016949
1999-07-01,127.64964835784829
1999-07-02,127.2910818812747
1999-07-05,126.76792309705586
1999-07-06,126.26678526027295
1999-07-07,126.2994632191434
1999-07-08,125.69524539909402
1999-07-09,125.78357636525978
1999-07-12,128.63101784964138
1999-07-13,129.2360216907127
1999-07-14,129.32684172344798
1999-07-15,128.81365156432838
1999-07-16,128.81365156432838
1999-07-19,130.2807585659317
1999-07-20,129.12008235409172
1999-07-21,128.82585960781094
1999-07-22,128.73956166771612
1999-07-23,128.830096211684
1999-07-26,128.77558763122255
1999-07-27,128.93404996360223
1999-07-28,127.88765700635584
1999-07-29,127.86740584210142
1999-07-30,127.86740584210142
1999-08-02,128.25886284926838
1999-08-03,128.8310948044289
1999-08-04,129.9259726527326
1999-08-05,130.23947763169357
1999-08-06,130.25778722515318
1999-08-09,128.98951758858104
1999-08-10,127.7037923530873
1999-08-11,127.7037923530873
1999-08-12,127.16538649127739
1999-08-13,127.27271420135591
1999-08-16,125.34605926773533
1999-08-17,125.41656139858225
1999-08-18,126.19788483264058
1999-08-19,126.55271152994932
1999-08-20,126.45489146094302
1999-08-23,126.11777495427054
1999-08-24,125.4047006379726
1999-08-25,124.76091358040745
1999-08-26,124.74536123993524
1999-08-27,124.65769765010889
1999-08-30,124.03678429863558
1999-08-31,124.1674293964834
1999-09-01,121.95865594596735
1999-09-02,121.47969354188412
1999-09-03,121.47969354188412
1999-09-06,121.82768086759613
1999-09-07,123.10174555538205
1999-09-08,124.90643375533122
1999-09-09,124.7638401492439
1999-09-10,124.7638401492439
1999-09-13,122.6198726489298
1999-09-14,121.45443458332
1999-09-15,121.21535566090519
1999-09-16,121.08331030862671
