Date,PAKISTAN
1998-12-31,76.18770554806248
1999-01-01,76.18770554806248
1999-01-04,74.281627054997
1999-01-05,73.2410104218753
1999-01-06,71.98866282189614
1999-01-07,71.11288667037526
1999-01-08,72.21444584916487
1999-01-11,73.8640605259374
1999-01-12,73.90851224273943
1999-01-13,72.89355181946102
1999-01-14,72.98065036632062
1999-01-15,73.50246453288163
1999-01-18,73.69924442440234
1999-01-19,73.69924442440234
1999-01-20,73.69924442440234
1999-01-21,74.0081124302024
1999-01-22,73.77188406850303
1999-01-25,73.40488331961568
1999-01-26,72.1621208948715
1999-01-27,71.94214718015081
1999-01-28,71.43740591652607
1999-01-29,70.13824173336468
1999-02-01,70.61280123743656
1999-02-02,67.88075582910636
1999-02-03,68.78691639947687
1999-02-04,66.29577499233552
1999-02-05,66.09655861799139
1999-02-08,66.60298743929404
1999-02-09,67.91877654168307
1999-02-10,67.64613426611699
1999-02-11,66.349227524671
1999-02-12,68.02158499342669
1999-02-15,71.40072991695229
1999-02-16,71.47360193355489
1999-02-17,71.61741613217859
1999-02-18,71.24934189852006
1999-02-19,71.40694607184795
1999-02-22,71.6341393335464
1999-02-23,73.00466320735525
1999-02-24,73.41356414678583
1999-02-25,72.20658175419821
1999-02-26,72.17222871776659
1999-03-01,72.7895403638468
1999-03-02,75.20261832412949
1999-03-03,74.90574226318269
1999-03-04,77.45407092398544
1999-03-05,78.59785713857507
1999-03-08,81.8395449656279
1999-03-09,85.54351236237241
1999-03-10,90.43140165698924
1999-03-11,88.64936589108066
1999-03-12,87.80224622124759
1999-03-15,88.29302227844538
1999-03-16,87.15559240412964
1999-03-17,87.94661887575295
1999-03-18,87.83257730870334
1999-03-19,87.587272705642
1999-03-22,88.99916345605526
1999-03-23,88.92737635237965
1999-03-24,89.10957772644372
1999-03-25,86.67541100926536
1999-03-26,87.80487317333488
1999-03-29,87.79064969058611
1999-03-30,87.79064969058611
1999-03-31,88.15478578174485
1999-04-01,87.57844483620016
1999-04-02,86.83421590083267
1999-04-05,85.82448804917132
1999-04-06,85.23701912735427
1999-04-07,86.04149120525271
1999-04-08,84.77799048705836
1999-04-09,83.70612927589139
1999-04-12,80.77692989440627
1999-04-13,81.66845633029507
1999-04-14,82.22851748691828
1999-04-15,82.45706917540662
1999-04-16,81.84448116707037
1999-04-19,83.57415007544753
1999-04-20,86.3262938005013
1999-04-21,84.22588789815671
1999-04-22,85.18351554925607
1999-04-23,87.30690804424157
1999-04-26,87.44040795128818
1999-04-27,87.44040795128818
1999-04-28,88.94515856285456
1999-04-29,89.21838291249104
1999-04-30,89.97802843007615
1999-05-03,91.225084793905
1999-05-04,91.60616274514646
1999-05-05,92.15454661214032
1999-05-06,92.25615053625923
1999-05-07,94.79496487639314
1999-05-10,97.20170097206599
1999-05-11,95.25747758046374
1999-05-12,95.21800777772752
1999-05-13,97.20106480472465
1999-05-14,99.91166489769716
1999-05-17,100.60199712640586
1999-05-18,100.73677089188921
1999-05-19,102.6992580002654
1999-05-20,105.26514259405762
1999-05-21,102.44841836039602
1999-05-24,113.3834469828144
1999-05-25,110.71984479976332
1999-05-26,102.07391845565158
1999-05-27,97.5263588798409
1999-05-28,93.39160562524715
1999-05-31,96.04284711495013
1999-06-01,92.20924862284677
1999-06-02,89.53735874118615
1999-06-03,89.07692900898523
1999-06-04,89.3334606323361
1999-06-07,86.43555839841305
1999-06-08,88.69628456578833
1999-06-09,86.06127410487531
1999-06-10,88.39238323651294
1999-06-11,87.4524090386661
1999-06-14,82.6280717186322
1999-06-15,79.84462094161461
1999-06-16,81.61051710397987
1999-06-17,84.16358616382183
1999-06-18,80.90479038748818
1999-06-21,81.9942517205138
1999-06-22,81.47071647368445
1999-06-23,78.24413895427296
1999-06-24,80.46320035111515
1999-06-25,80.30883796465834
1999-06-28,82.73497373579491
1999-06-29,82.01317522281784
1999-06-30,80.94581137190936
1999-07-01,81.76619296648035
1999-07-02,85.99108237175389
1999-07-05,89.15816338814878
1999-07-06,86.43216195049972
1999-07-07,87.07699335770097
1999-07-08,86.55233586596891
1999-07-09,84.48336501093344
1999-07-12,89.52683036215647
1999-07-13,88.50371556875326
1999-07-14,87.99209455531752
1999-07-15,87.9864475225823
1999-07-16,88.70545985116749
1999-07-19,90.52474454819556
1999-07-20,91.90893116324037
1999-07-21,92.67305804166581
1999-07-22,93.34198914388602
1999-07-23,93.39382802061799
1999-07-26,95.93325719553569
1999-07-27,96.57495804991596
1999-07-28,95.65920773304813
1999-07-29,96.72451070652153
1999-07-30,99.42102445461528
1999-08-02,101.15158171163912
1999-08-03,100.48394427665912
1999-08-04,100.42275107343997
1999-08-05,97.89279812533835
1999-08-06,95.55384394566043
1999-08-09,95.10985323468562
1999-08-10,95.14836307233193
1999-08-11,94.61229190043171
1999-08-12,94.02059760846495
1999-08-13,93.96098377638182
1999-08-16,94.79696404178671
1999-08-17,94.70957217226075
1999-08-18,95.80942246081491
1999-08-19,97.30630745366054
1999-08-20,101.33256789179971
1999-08-23,101.08786517161222
1999-08-24,100.2563776952035
1999-08-25,96.33529209894225
1999-08-26,97.71821095056674
1999-08-27,96.199929402495
1999-08-30,96.06482422049253
1999-08-31,94.54706912946612
1999-09-01,94.991733339758
1999-09-02,92.7695711033
1999-09-03,91.11179672326325
1999-09-06,91.2442261930469
1999-09-07,89.4374431366222
1999-09-08,89.74185416164772
1999-09-09,90.74799585800893
1999-09-10,89.99519352013613
1999-09-13,90.94689376774386
1999-09-14,90.89187481618234
1999-09-15,90.3225797096467
1999-09-16,91.28955254470861
