Date,TURKEY
1998-12-31,52.228406667617946
1999-01-01,52.228406667617946
1999-01-04,55.248802583977756
1999-01-05,56.40224866528977
1999-01-06,57.49449141053239
1999-01-07,55.15330712065855
1999-01-08,54.00400745255188
1999-01-11,52.92182076472904
1999-01-12,53.11141040321656
1999-01-13,49.000514603544616
1999-01-14,50.814891324440794
1999-01-15,49.179960440889154
1999-01-18,48.0696377881104
1999-01-19,48.0696377881104
1999-01-20,48.08424868487567
1999-01-21,48.12447448140699
1999-01-22,48.42276658040776
1999-01-25,46.95787572044388
1999-01-26,47.732557218329795
1999-01-27,49.608965617825106
1999-01-28,48.419433885778304
1999-01-29,49.19832708237789
1999-02-01,50.71039742893683
1999-02-02,50.03155296814973
1999-02-03,50.62912898359388
1999-02-04,52.46555967148953
1999-02-05,51.54631412222018
1999-02-08,52.4034277143496
1999-02-09,54.4806512037775
1999-02-10,55.65146897543122
1999-02-11,56.38587349294727
1999-02-12,56.87107277946911
1999-02-15,57.00722283453838
1999-02-16,61.64309089697768
1999-02-17,66.62833461841122
1999-02-18,67.26204799071276
1999-02-19,67.73592259181686
1999-02-22,65.48560006102268
1999-02-23,63.35434994088559
1999-02-24,63.651934344976006
1999-02-25,67.64421264341293
1999-02-26,69.75944378894097
1999-03-01,68.95234777502496
1999-03-02,67.65462333171398
1999-03-03,69.5299077758978
1999-03-04,66.92060112613476
1999-03-05,68.069396267833
1999-03-08,68.30684122849786
1999-03-09,70.75519977570585
1999-03-10,69.44757596019511
1999-03-11,72.57527618262168
1999-03-12,73.39613124799023
1999-03-15,72.54715954217622
1999-03-16,69.88628621965802
1999-03-17,72.9320980455545
1999-03-18,73.99098825258325
1999-03-19,76.04708117324157
1999-03-22,76.24474845710431
1999-03-23,76.04736999633045
1999-03-24,74.1112243121409
1999-03-25,77.399547254149
1999-03-26,78.52706036469834
1999-03-29,78.52285650024567
1999-03-30,78.68926299358156
1999-03-31,78.63231052753085
1999-04-01,78.73254728560735
1999-04-02,78.2938030776801
1999-04-05,80.60026122224471
1999-04-06,84.45128257200838
1999-04-07,85.28252900116752
1999-04-08,82.18469193710536
1999-04-09,79.38590950678132
1999-04-12,75.49329293166349
1999-04-13,68.26843141366636
1999-04-14,75.72319454355333
1999-04-15,74.2674671575393
1999-04-16,77.84705382186289
1999-04-19,76.98438260497998
1999-04-20,85.27737875798603
1999-04-21,83.79554709203543
1999-04-22,85.67624762199068
1999-04-23,85.88645546857839
1999-04-26,87.08874346666968
1999-04-27,86.91531956461392
1999-04-28,90.0633209687122
1999-04-29,88.96716422667389
1999-04-30,88.28164654236687
1999-05-03,88.03800990409157
1999-05-04,88.7971262922224
1999-05-05,90.23466304647818
1999-05-06,90.82785448718258
1999-05-07,91.3956916478702
1999-05-10,92.21368616340557
1999-05-11,94.25141557627954
1999-05-12,88.6943475775934
1999-05-13,87.81132817347279
1999-05-14,92.19262558070092
1999-05-17,91.52944859734596
1999-05-18,94.41753063510623
1999-05-19,94.34752002282049
1999-05-20,92.79516642848289
1999-05-21,89.91976335872525
1999-05-24,85.52086445616605
1999-05-25,81.84708699412181
1999-05-26,80.9563910587892
1999-05-27,83.53603197356503
1999-05-28,82.92084767309697
1999-05-31,80.12144059102918
1999-06-01,81.10931740036418
1999-06-02,78.14151183353017
1999-06-03,78.42148325204009
1999-06-04,84.53275366356918
1999-06-07,83.1602553772844
1999-06-08,83.33689446005461
1999-06-09,82.95743158283138
1999-06-10,87.54858063891372
1999-06-11,87.15138465077463
1999-06-14,84.90701093549988
1999-06-15,82.21175983114492
1999-06-16,79.14867502659534
1999-06-17,82.12660193635743
1999-06-18,83.28171671526246
1999-06-21,82.27813169033813
1999-06-22,81.14815496584627
1999-06-23,79.3924265673653
1999-06-24,79.13490500717741
1999-06-25,77.02755565049956
1999-06-28,72.75268458982211
1999-06-29,72.39291182191255
1999-06-30,75.97622080477935
1999-07-01,78.76184637717975
1999-07-02,74.14450790885797
1999-07-05,76.87925831260753
1999-07-06,73.56585476743358
1999-07-07,72.46792382642079
1999-07-08,73.81941480297573
1999-07-09,77.0787917174405
1999-07-12,84.13579009183975
1999-07-13,82.98845577867601
1999-07-14,85.50172274512238
1999-07-15,85.9823598803218
1999-07-16,84.19410310788416
1999-07-19,87.37229148646819
1999-07-20,89.19194745471032
1999-07-21,89.07134057346532
1999-07-22,87.01429709580567
1999-07-23,85.49404830304664
1999-07-26,82.51123751497705
1999-07-27,85.6333628772759
1999-07-28,84.6083506262321
1999-07-29,84.87694304178132
1999-07-30,85.6726365499537
1999-08-02,83.57416184413681
1999-08-03,83.46577588776796
1999-08-04,82.9687672362145
1999-08-05,81.66909624018703
1999-08-06,81.15524392748327
1999-08-09,83.29853112850505
1999-08-10,82.64482472213115
1999-08-11,81.46940823927032
1999-08-12,80.92385223915119
1999-08-13,82.24939823240994
1999-08-16,82.61966420950309
1999-08-17,82.27256257533516
1999-08-18,82.30433624881547
1999-08-19,82.51992518814212
1999-08-20,82.22214806123111
1999-08-23,82.0303925107191
1999-08-24,81.76749246921257
1999-08-25,81.4375661465773
1999-08-26,73.92905267425239
1999-08-27,74.89292583016702
1999-08-30,74.89292583016702
1999-08-31,71.14073159378387
1999-09-01,72.57264125950529
1999-09-02,74.73844412664147
1999-09-03,75.66779326118066
1999-09-06,81.6363855890911
1999-09-07,81.50156788067592
1999-09-08,84.91866883815216
1999-09-09,84.86485321020591
1999-09-10,84.5221805449234
1999-09-13,82.05009463256631
1999-09-14,83.11523553530505
1999-09-15,82.46278156612303
1999-09-16,83.1016885311836
