Date,BRAZIL
1998-12-31,66.83147175814737
1999-01-01,66.83147175814737
1999-01-04,66.84582047513385
1999-01-05,67.25277802442545
1999-01-06,68.84792963684629
1999-01-07,66.26761864081219
1999-01-08,65.01658695467708
1999-01-11,61.23444292875734
1999-01-12,58.19597746617659
1999-01-13,51.102189658661665
1999-01-14,47.48119702890707
1999-01-15,56.46849619810104
1999-01-18,52.95615216029838
1999-01-19,55.35456927627777
1999-01-20,57.80871581992683
1999-01-21,52.02532542659505
1999-01-22,50.86919108878293
1999-01-25,48.59570738947879
1999-01-26,50.23678558929183
1999-01-27,48.927225573449796
1999-01-28,49.69591381015011
1999-01-29,48.34677151852989
1999-02-01,55.80208818240883
1999-02-02,59.957672437904016
1999-02-03,58.135453548722985
1999-02-04,57.82749479517616
1999-02-05,55.28484867999551
1999-02-08,55.30801313642161
1999-02-09,55.359422577756845
1999-02-10,56.4127721169491
1999-02-11,56.806428198416675
1999-02-12,56.59832836165616
1999-02-15,56.59832836165616
1999-02-16,56.59832836165616
1999-02-17,55.927971274297754
1999-02-18,55.00680168826349
1999-02-19,55.35526098201047
1999-02-22,54.100570272796595
1999-02-23,52.71462990451161
1999-02-24,51.90040804947304
1999-02-25,50.53514132866172
1999-02-26,51.83961212792937
1999-03-01,50.33699603961958
1999-03-02,49.90068276635821
1999-03-03,50.581593879736666
1999-03-04,53.699122310036735
1999-03-05,56.204164361003215
1999-03-08,56.815424382830045
1999-03-09,58.498530221972906
1999-03-10,60.212391236104146
1999-03-11,58.44233497894507
1999-03-12,57.59815257511731
1999-03-15,61.93035102439833
1999-03-16,63.11470094127203
1999-03-17,62.9838649690111
1999-03-18,65.40003720209248
1999-03-19,65.11649532675249
1999-03-22,63.896867749196524
1999-03-23,62.890891698760036
1999-03-24,62.88038913297325
1999-03-25,67.45518582473633
1999-03-26,67.36244913789528
1999-03-29,68.17130308912226
1999-03-30,70.43153544420619
1999-03-31,71.38345218545223
1999-04-01,71.38345218545223
1999-04-02,71.38345218545223
1999-04-05,72.67236996461233
1999-04-06,74.66604499458889
1999-04-07,76.78552091374411
1999-04-08,77.01943507478593
1999-04-09,76.4412572997941
1999-04-12,77.20720611446706
1999-04-13,77.44871433564475
1999-04-14,77.89152563290517
1999-04-15,78.97440131632017
1999-04-16,79.74417155454826
1999-04-19,78.06949784219712
1999-04-20,74.4239941018605
1999-04-21,74.4239941018605
1999-04-22,76.0671801662928
1999-04-23,76.60815486590101
1999-04-26,74.56224769917186
1999-04-27,74.28765856778861
1999-04-28,76.88474359491929
1999-04-29,77.91299457489276
1999-04-30,80.00665483313725
1999-05-03,80.57306759584078
1999-05-04,79.52055411836022
1999-05-05,82.07343814669949
1999-05-06,84.7206474459635
1999-05-07,87.91483291099959
1999-05-10,89.79317887510729
1999-05-11,88.38565394638856
1999-05-12,87.26639721469257
1999-05-13,89.76085650210617
1999-05-14,89.36570072241233
1999-05-17,86.94906133734337
1999-05-18,87.42673928173473
1999-05-19,86.22898297162635
1999-05-20,85.00633728480578
1999-05-21,81.46785545839852
1999-05-24,77.0993093765724
1999-05-25,73.41971022428893
1999-05-26,78.44150520501809
1999-05-27,76.10505356133814
1999-05-28,75.6229326607043
1999-05-31,76.99309345019246
1999-06-01,76.24222181554815
1999-06-02,76.21429494844458
1999-06-03,76.28483957677359
1999-06-04,77.8287682076654
1999-06-07,76.57310042233443
1999-06-08,75.54285519124369
1999-06-09,75.00917180520428
1999-06-10,75.55864345813183
1999-06-11,76.04890510034053
1999-06-14,75.43117712867695
1999-06-15,76.35875384790867
1999-06-16,79.82621988411103
1999-06-17,80.71484120676963
1999-06-18,81.65224816718226
1999-06-21,81.78429445739674
1999-06-22,81.09924246602814
1999-06-23,79.26321017994943
1999-06-24,76.96569254677162
1999-06-25,75.90942247226354
1999-06-28,76.50632843058615
1999-06-29,77.54037704073465
1999-06-30,80.17767924262522
1999-07-01,79.9291456971363
1999-07-02,82.243647212232
1999-07-05,82.33942272609389
1999-07-06,80.58824569139178
1999-07-07,81.02478151345409
1999-07-08,78.54468631426549
1999-07-09,78.71942388032434
1999-07-12,75.47395261217575
1999-07-13,75.97040351698398
1999-07-14,76.71635568699217
1999-07-15,77.22353905785003
1999-07-16,78.25022952295797
1999-07-19,79.61450580135782
1999-07-20,77.59698597057267
1999-07-21,77.68047986486955
1999-07-22,77.20423746049157
1999-07-23,75.62230845475808
1999-07-26,73.14913031289645
1999-07-27,73.63978024595606
1999-07-28,74.09318834137844
1999-07-29,73.43689192736323
1999-07-30,72.24777291666487
1999-08-02,70.24230881507017
1999-08-03,70.3195553033871
1999-08-04,69.50946697487677
1999-08-05,68.71573097087621
1999-08-06,68.34405843372876
1999-08-09,67.5646758249177
1999-08-10,66.52968689596158
1999-08-11,68.43809900258381
1999-08-12,68.50226389861879
1999-08-13,68.61054157590249
1999-08-16,68.24071960220802
1999-08-17,67.49377364821477
1999-08-18,65.25631411713242
1999-08-19,65.06320858937556
1999-08-20,68.25895122770363
1999-08-23,69.65803199996569
1999-08-24,68.63716389267734
1999-08-25,70.57132817031214
1999-08-26,69.52685986540183
1999-08-27,68.81791695950913
1999-08-30,69.19043290983018
1999-08-31,69.89642721118891
1999-09-01,71.19218920137175
1999-09-02,72.14178555391835
1999-09-03,72.8991398413232
1999-09-06,73.10804700226255
1999-09-07,73.10804700226255
1999-09-08,73.51809417049354
1999-09-09,75.25289883124435
1999-09-10,75.41852726770257
1999-09-13,75.43293680132834
1999-09-14,76.43205059624471
1999-09-15,75.33390859973599
1999-09-16,74.48202587373225
