Date,IRELAND
1998-12-31,535.2877164499148
1999-01-01,535.2844244304587
1999-01-04,551.30442420946
1999-01-05,564.6389497495578
1999-01-06,588.2166767971155
1999-01-07,578.4408671121513
1999-01-08,570.8293701924775
1999-01-11,569.2252092580661
1999-01-12,561.1205624709814
1999-01-13,551.0507620663885
1999-01-14,557.6734166345873
1999-01-15,551.4921710231275
1999-01-18,562.370298702577
1999-01-19,566.5334668000032
1999-01-20,570.8235034391053
1999-01-21,573.9046730637626
1999-01-22,563.7813064173847
1999-01-25,565.6305434798956
1999-01-26,561.3082450501231
1999-01-27,554.4532863187395
1999-01-28,549.1323123021407
1999-01-29,544.4350234154865
1999-02-01,543.1509591826349
1999-02-02,560.784567724243
1999-02-03,560.2983016568655
1999-02-04,545.8155572005967
1999-02-05,541.5755431985968
1999-02-08,542.1237474076447
1999-02-09,540.6547305630054
1999-02-10,540.6987954478236
1999-02-11,537.9004986169241
1999-02-12,549.3587175946905
1999-02-15,541.4514206829065
1999-02-16,548.343961964862
1999-02-17,541.1194994756902
1999-02-18,533.4799855969375
1999-02-19,534.273533577943
1999-02-22,527.3030704631038
1999-02-23,529.4663554759787
1999-02-24,533.4150926670723
1999-02-25,542.932224563062
1999-02-26,546.162220231524
1999-03-01,543.2117839258551
1999-03-02,538.723085956547
1999-03-03,540.8355346949907
1999-03-04,535.4029424837578
1999-03-05,542.3580856641521
1999-03-08,544.1959050396712
1999-03-09,537.6832253328172
1999-03-10,539.0059480445507
1999-03-11,537.1817356827838
1999-03-12,540.8635998299642
1999-03-15,535.0751804620984
1999-03-16,529.0109755098405
1999-03-17,533.8362088664805
1999-03-18,533.4696277796241
1999-03-19,540.1532569716036
1999-03-22,549.2861218745854
1999-03-23,545.4805099131163
1999-03-24,539.9586905924284
1999-03-25,544.4839594185244
1999-03-26,533.4935658463038
1999-03-29,533.3388998135127
1999-03-30,537.3111896641301
1999-03-31,537.5931845860331
1999-04-01,540.1185060930517
1999-04-02,538.9194080794322
1999-04-05,535.6471567986338
1999-04-06,544.5202572785768
1999-04-07,544.5296301664919
1999-04-08,548.4019443303079
1999-04-09,541.1149174128374
1999-04-12,545.5404246672185
1999-04-13,558.6540048494747
1999-04-14,558.5084440607404
1999-04-15,552.2013201898803
1999-04-16,555.8907961283886
1999-04-19,558.2443170428126
1999-04-20,550.0805530803232
1999-04-21,548.7616897930252
1999-04-22,548.8138589338704
1999-04-23,549.0971920750645
1999-04-26,546.2257642363437
1999-04-27,556.3818155506881
1999-04-28,558.789512934894
1999-04-29,551.7659385728286
1999-04-30,551.6846604859629
1999-05-03,551.0585290911542
1999-05-04,552.5854640667135
1999-05-05,553.6635281747665
1999-05-06,554.6488162158043
1999-05-07,548.6552692421178
1999-05-10,541.4181097283117
1999-05-11,535.2651594255436
1999-05-12,539.1090391058617
1999-05-13,536.8894578838479
1999-05-14,533.4000992581344
1999-05-17,524.4718694962743
1999-05-18,520.4003854789215
1999-05-19,518.7557193230064
1999-05-20,519.0642431041366
1999-05-21,514.4349304045943
1999-05-24,518.1010410342794
1999-05-25,509.7749778361624
1999-05-26,503.366026183002
1999-05-27,498.9605975708649
1999-05-28,488.8733735511017
1999-05-31,487.6028520974763
1999-06-01,486.5632698233589
1999-06-02,490.27121854096185
1999-06-03,496.0543920892064
1999-06-04,500.4829718950799
1999-06-07,500.2335545836001
1999-06-08,512.6087428311538
1999-06-09,517.4582943087522
1999-06-10,513.3118218352021
1999-06-11,516.8132297874128
1999-06-14,507.09715285872727
1999-06-15,499.5328629627672
1999-06-16,486.768440252197
1999-06-17,492.48339673385726
1999-06-18,498.5417295798657
1999-06-21,500.8864824814942
1999-06-22,500.87752711799806
1999-06-23,497.2363234257593
1999-06-24,492.23095504677946
1999-06-25,492.4439674406635
1999-06-28,482.64784893973723
1999-06-29,475.04958968529127
1999-06-30,475.90883888061387
1999-07-01,488.75688423824784
1999-07-02,493.9998935989457
1999-07-05,505.03586156734474
1999-07-06,502.41675229952693
1999-07-07,503.81599439032703
1999-07-08,503.5431635941296
1999-07-09,500.83098385105274
1999-07-12,498.0981580607523
1999-07-13,494.2495410841436
1999-07-14,498.1617448885894
1999-07-15,501.1773257093501
1999-07-16,500.37805014977863
1999-07-19,498.56933436740303
1999-07-20,503.98118953250065
1999-07-21,500.3726116265795
1999-07-22,495.7552893718857
1999-07-23,488.8641666023787
1999-07-26,485.52818931893694
1999-07-27,489.6976363412771
1999-07-28,486.6237626881949
1999-07-29,489.9674427618765
1999-07-30,494.9413094587433
1999-08-02,493.0684769136913
1999-08-03,490.8106654429685
1999-08-04,488.0375699577596
1999-08-05,484.61193733468957
1999-08-06,485.83462547797296
1999-08-09,482.7448216624493
1999-08-10,480.00251057381337
1999-08-11,474.83735345859606
1999-08-12,476.2112817932852
1999-08-13,474.7429929399403
1999-08-16,476.3371386411769
1999-08-17,472.36968243863913
1999-08-18,472.137276570788
1999-08-19,474.4080848272662
1999-08-20,476.8613298432648
1999-08-23,481.7307512008979
1999-08-24,480.74250301878806
1999-08-25,480.0944355333593
1999-08-26,479.1845748844464
1999-08-27,481.14597078218503
1999-08-30,480.5357213739235
1999-08-31,487.8442079759464
1999-09-01,495.9529443611848
1999-09-02,496.45098140544695
1999-09-03,489.905338681014
1999-09-06,486.02780010908543
1999-09-07,483.2948512026102
1999-09-08,481.5182473303444
1999-09-09,477.57147464517027
1999-09-10,474.93958805956083
1999-09-13,466.3581283861712
1999-09-14,465.2016178632725
1999-09-15,453.2126611146461
1999-09-16,445.7726168505513
