Date,CHILE
1998-12-31,85.74909383648533
1999-01-01,85.74909383648533
1999-01-04,86.93812249878674
1999-01-05,86.96695820406208
1999-01-06,87.46283406633628
1999-01-07,86.08401264719187
1999-01-08,86.09564536926172
1999-01-11,82.94067810224499
1999-01-12,80.76159211748937
1999-01-13,76.50874918990127
1999-01-14,74.6517728162149
1999-01-15,76.42407796217431
1999-01-18,76.7364524786203
1999-01-19,76.26084255718342
1999-01-20,78.07019988658956
1999-01-21,78.31576556904568
1999-01-22,78.55995154858196
1999-01-25,82.4081110602091
1999-01-26,83.44606182404377
1999-01-27,83.88204537423692
1999-01-28,83.48655683360805
1999-01-29,83.65252849218327
1999-02-01,84.084678200391
1999-02-02,83.49428539943553
1999-02-03,83.86837096624282
1999-02-04,84.2691630883255
1999-02-05,84.42915374760561
1999-02-08,85.27332785169766
1999-02-09,86.30756139231453
1999-02-10,87.26544308228844
1999-02-11,88.971898926618
1999-02-12,88.26700707564454
1999-02-15,87.87712652575256
1999-02-16,88.33261713730259
1999-02-17,88.27773943222911
1999-02-18,89.32548703003461
1999-02-19,90.92713604442251
1999-02-22,90.59623114879845
1999-02-23,89.35921472111332
1999-02-24,90.6213813580207
1999-02-25,89.22220910643608
1999-02-26,87.49352623949318
1999-03-01,87.3220975085862
1999-03-02,86.4431127023603
1999-03-03,88.64739863081257
1999-03-04,91.39442573128443
1999-03-05,91.07576923622399
1999-03-08,92.10029769440042
1999-03-09,92.06653827615702
1999-03-10,93.33268624349122
1999-03-11,93.52054964572288
1999-03-12,94.3762853001369
1999-03-15,94.61785678980212
1999-03-16,94.9374282276938
1999-03-17,94.97807415566322
1999-03-18,95.49068052363586
1999-03-19,96.50822986306495
1999-03-22,96.55091490448582
1999-03-23,95.89331282127226
1999-03-24,95.96258779920088
1999-03-25,97.51193072383947
1999-03-26,97.81744274030574
1999-03-29,98.09240235463805
1999-03-30,98.70179801227862
1999-03-31,99.70532994733826
1999-04-01,100.17022894946403
1999-04-02,100.17022894946403
1999-04-05,101.46732376476382
1999-04-06,101.82541198062499
1999-04-07,102.78272429661583
1999-04-08,104.92956862208892
1999-04-09,105.41009711154827
1999-04-12,105.68773381259015
1999-04-13,106.96332275515576
1999-04-14,108.45946608448725
1999-04-15,109.47829651537826
1999-04-16,110.97331052914392
1999-04-19,114.17572877221697
1999-04-20,115.92366059574427
1999-04-21,113.55186638495526
1999-04-22,110.54220267242631
1999-04-23,108.01252551508365
1999-04-26,106.47084084201562
1999-04-27,104.25192354568202
1999-04-28,107.2059120865648
1999-04-29,105.9855009709011
1999-04-30,107.44389926410764
1999-05-03,108.31984597993893
1999-05-04,107.78871695020668
1999-05-05,107.64978112342718
1999-05-06,108.08350004005212
1999-05-07,110.51438223642201
1999-05-10,113.69647194181921
1999-05-11,112.98620791011692
1999-05-12,113.39099593997237
1999-05-13,114.82111932697727
1999-05-14,113.05637982356706
1999-05-17,111.29582401844515
1999-05-18,110.69932330953571
1999-05-19,109.18266879695854
1999-05-20,107.99412804700103
1999-05-21,107.99412804700103
1999-05-24,104.57566924946167
1999-05-25,103.32544317387102
1999-05-26,105.16760038916055
1999-05-27,104.74365429676016
1999-05-28,104.0068560654611
1999-05-31,104.2148584998712
1999-06-01,104.46964392489662
1999-06-02,104.36711973583289
1999-06-03,104.36711973583289
1999-06-04,105.88839012213128
1999-06-07,106.98340690791414
1999-06-08,107.53311176384419
1999-06-09,106.69519391363846
1999-06-10,107.30245356135156
1999-06-11,107.87034751506619
1999-06-14,107.7010393592498
1999-06-15,106.96212741278768
1999-06-16,108.96702097334197
1999-06-17,109.81561715820317
1999-06-18,109.26457118644551
1999-06-21,109.51838764671058
1999-06-22,111.29957897126424
1999-06-23,109.49678573499129
1999-06-24,108.64877864640475
1999-06-25,107.40687795033469
1999-06-28,107.40620824991183
1999-06-29,107.40620824991183
1999-06-30,110.19267993354848
1999-07-01,113.321230477227
1999-07-02,115.07137891482999
1999-07-05,116.05703302131568
1999-07-06,116.3602915515959
1999-07-07,116.74384982079933
1999-07-08,115.95644590428174
1999-07-09,116.40833676887249
1999-07-12,114.82526358068237
1999-07-13,115.54694596171994
1999-07-14,115.18957032082858
1999-07-15,115.60032391514223
1999-07-16,115.32631354327869
1999-07-19,114.49633262919845
1999-07-20,114.10789695153763
1999-07-21,114.64623233511588
1999-07-22,114.36571446452108
1999-07-23,111.9766126566321
1999-07-26,110.1037461183669
1999-07-27,109.75295600788216
1999-07-28,110.66285679239988
1999-07-29,109.77917979575923
1999-07-30,109.95016005890542
1999-08-02,110.42207676687076
1999-08-03,110.17693468493822
1999-08-04,111.4679859041044
1999-08-05,110.98877623570829
1999-08-06,110.84806540268636
1999-08-09,109.67118652949063
1999-08-10,108.34272726813826
1999-08-11,108.27515183724948
1999-08-12,108.25325923610208
1999-08-13,108.48833523190918
1999-08-16,108.00718163155577
1999-08-17,108.04530739365734
1999-08-18,106.39017924191644
1999-08-19,105.3300614798341
1999-08-20,105.29797331142956
1999-08-23,106.014398415524
1999-08-24,106.16615544681393
1999-08-25,108.17972853064636
1999-08-26,108.97788452604011
1999-08-27,108.17332050086395
1999-08-30,108.43752546384731
1999-08-31,108.09651760998744
1999-09-01,109.66262533996198
1999-09-02,109.34623862341539
1999-09-03,109.99803206301246
1999-09-06,109.99803206301246
1999-09-07,110.54757828311892
1999-09-08,111.0303045218533
1999-09-09,112.2586397112784
1999-09-10,111.34634652704266
1999-09-13,111.07486661093823
1999-09-14,111.47737114242481
1999-09-15,110.34317902563183
1999-09-16,109.43501037280961
