Date,SPAIN
1998-12-31,1655.3010015302686
1999-01-01,1655.3008691061887
1999-01-04,1778.1159931267666
1999-01-05,1821.9694687350577
1999-01-06,1812.1511336095311
1999-01-07,1776.3294267558151
1999-01-08,1748.0713695334414
1999-01-11,1716.140033858572
1999-01-12,1677.420259117397
1999-01-13,1581.4779867820816
1999-01-14,1580.7743514323513
1999-01-15,1611.9540976874757
1999-01-18,1696.3000595385108
1999-01-19,1682.0866022997411
1999-01-20,1697.6141036855656
1999-01-21,1673.7613486775947
1999-01-22,1621.1564787573232
1999-01-25,1623.896200550976
1999-01-26,1615.3155174312833
1999-01-27,1607.8429093550253
1999-01-28,1631.7000012516203
1999-01-29,1630.2051651291783
1999-02-01,1641.5387131324758
1999-02-02,1639.7544641829265
1999-02-03,1638.9590754986812
1999-02-04,1616.129594463836
1999-02-05,1607.7687849761767
1999-02-08,1576.8740318944856
1999-02-09,1560.2732002332486
1999-02-10,1588.0696767713455
1999-02-11,1591.2728166333866
1999-02-12,1597.588054802385
1999-02-15,1616.2632600197096
1999-02-16,1592.0612696064356
1999-02-17,1599.7141234087503
1999-02-18,1592.418533221596
1999-02-19,1588.8440431328713
1999-02-22,1596.8944174707037
1999-02-23,1618.3596159730976
1999-02-24,1629.8357019456369
1999-02-25,1617.720769104567
1999-02-26,1598.2156125180852
1999-03-01,1569.4325103710362
1999-03-02,1565.9634960621293
1999-03-03,1545.8183173434056
1999-03-04,1552.3819499806934
1999-03-05,1582.5050845005212
1999-03-08,1563.9044836993355
1999-03-09,1574.952359855789
1999-03-10,1588.8774636600924
1999-03-11,1611.0431027812838
1999-03-12,1612.455074535589
1999-03-15,1616.3132666629656
1999-03-16,1623.9710532622653
1999-03-17,1622.5684836176486
1999-03-18,1607.875253936595
1999-03-19,1606.0166488660568
1999-03-22,1585.8209503607666
1999-03-23,1548.6422277459963
1999-03-24,1550.5178493108301
1999-03-25,1568.1855059145435
1999-03-26,1515.0069417731615
1999-03-29,1527.15311014413
1999-03-30,1521.9759576257243
1999-03-31,1537.9206445229645
1999-04-01,1540.1287332939557
1999-04-02,1536.709543545195
1999-04-05,1527.4673855922808
1999-04-06,1575.9640136158844
1999-04-07,1582.1854293241158
1999-04-08,1598.5837183548056
1999-04-09,1589.0602916557114
1999-04-12,1592.283411000841
1999-04-13,1597.429278330318
1999-04-14,1595.9210508227739
1999-04-15,1569.8942565854131
1999-04-16,1533.151010558125
1999-04-19,1529.9971986659295
1999-04-20,1505.708089760945
1999-04-21,1516.4827419340859
1999-04-22,1518.8702984396632
1999-04-23,1542.84837628646
1999-04-26,1535.1202062885757
1999-04-27,1568.9088558992019
1999-04-28,1556.5382452654358
1999-04-29,1549.8266452716211
1999-04-30,1545.6504698218505
1999-05-03,1562.2913763203344
1999-05-04,1556.8916520292626
1999-05-05,1567.2832675506493
1999-05-06,1592.6866257718038
1999-05-07,1607.8029503888483
1999-05-10,1613.3981491751908
1999-05-11,1602.4453369552552
1999-05-12,1597.731817694368
1999-05-13,1602.8717259402395
1999-05-14,1595.881356704757
1999-05-17,1558.9158534119938
1999-05-18,1560.561239160525
1999-05-19,1589.9515222679452
1999-05-20,1581.5287383107886
1999-05-21,1580.7876600524037
1999-05-24,1575.1098782990946
1999-05-25,1573.076390677745
1999-05-26,1547.7111209326354
1999-05-27,1528.7605232876863
1999-05-28,1534.5200438044508
1999-05-31,1538.5933091909565
1999-06-01,1542.8201534043837
1999-06-02,1530.3771399048107
1999-06-03,1553.0156323100994
1999-06-04,1550.173712232612
1999-06-07,1553.0242729813274
1999-06-08,1563.7714140518226
1999-06-09,1566.7405109052575
1999-06-10,1551.741033985911
1999-06-11,1568.2310597981052
1999-06-14,1545.099569095531
1999-06-15,1555.2524902124972
1999-06-16,1541.4931979095172
1999-06-17,1544.2375710989843
1999-06-18,1576.9537511907192
1999-06-21,1573.2660550665
1999-06-22,1571.7285287312288
1999-06-23,1572.2291910721517
1999-06-24,1569.9262370007625
1999-06-25,1579.4041098162945
1999-06-28,1564.7915429530458
1999-06-29,1561.685271305614
1999-06-30,1545.489822859652
1999-07-01,1564.0913340763884
1999-07-02,1563.7280617185927
1999-07-05,1586.8980878284824
1999-07-06,1576.2683572580256
1999-07-07,1561.0676785019432
1999-07-08,1540.629726695079
1999-07-09,1544.0462845152474
1999-07-12,1533.0687752043693
1999-07-13,1509.8281339537539
1999-07-14,1497.1221593370776
1999-07-15,1523.2721410749725
1999-07-16,1517.4959020180925
1999-07-19,1523.3953285755063
1999-07-20,1539.9255285430079
1999-07-21,1544.6457021139215
1999-07-22,1527.3789925187991
1999-07-23,1503.0625214882593
1999-07-26,1519.2937906478946
1999-07-27,1498.5726168396686
1999-07-28,1496.6253372944784
1999-07-29,1466.4252643840996
1999-07-30,1481.4933204239392
1999-08-02,1475.954501189709
1999-08-03,1481.841264694461
1999-08-04,1494.8495469330467
1999-08-05,1461.5317476923055
1999-08-06,1449.9724331854095
1999-08-09,1470.2404683444665
1999-08-10,1455.8197343142851
1999-08-11,1467.1815051996584
1999-08-12,1472.888867181865
1999-08-13,1485.0512575026487
1999-08-16,1472.9065457965612
1999-08-17,1485.1050382321882
1999-08-18,1483.973358596472
1999-08-19,1496.186699082083
1999-08-20,1524.354360316763
1999-08-23,1513.463787414485
1999-08-24,1525.9210033966513
1999-08-25,1528.206229194314
1999-08-26,1523.0332149284118
1999-08-27,1546.273011975516
1999-08-30,1533.6924429627156
1999-08-31,1517.7065390705372
1999-09-01,1540.1489114131646
1999-09-02,1524.4279218932709
1999-09-03,1546.7469577582742
1999-09-06,1548.4575127072353
1999-09-07,1534.610158390974
1999-09-08,1538.698685652714
1999-09-09,1555.3026292798336
1999-09-10,1541.992850516829
1999-09-13,1513.8934870014723
1999-09-14,1498.4602715606948
1999-09-15,1486.8283058928414
1999-09-16,1474.7269299669742
1999-09-17,1486.2709494926162
1999-09-20,1486.3391975529091
1999-09-21,1480.0376652762038
1999-09-22,1487.9553175797332
1999-09-23,1489.082163736525
1999-09-24,1478.8909555073935
1999-09-27,1490.287173206609
1999-09-28,1488.7736983948898
1999-09-29,1491.4785926554705
1999-09-30,1494.7163779674736
1999-10-01,1494.591319976808
1999-10-04,1511.0067082668436
1999-10-05,1516.6434385553146
1999-10-06,1514.3083385384757
1999-10-07,1534.1054571156074
1999-10-08,1527.7892919780486
1999-10-11,1535.466875977326
1999-10-12,1548.3841497668477
1999-10-13,1518.5915954100353
1999-10-14,1515.7869361580927
1999-10-15,1503.7082378559464
1999-10-18,1485.841332670679
1999-10-19,1497.5718218541435
1999-10-20,1494.960236911019
1999-10-21,1479.0354301788072
1999-10-22,1481.8928107676486
