Date,PERU
1998-12-31,109.78510436342106
1999-01-01,109.78510436342106
1999-01-04,111.06043839817336
1999-01-05,113.03252579347019
1999-01-06,115.88603826906335
1999-01-07,114.70957121004554
1999-01-08,115.4827646452052
1999-01-11,113.5871151288214
1999-01-12,111.26876222080921
1999-01-13,102.84537054210259
1999-01-14,99.57934273256593
1999-01-15,107.11960875970965
1999-01-18,108.39123974289176
1999-01-19,107.33823811009209
1999-01-20,111.70487476508454
1999-01-21,109.08297482631585
1999-01-22,107.264214405624
1999-01-25,108.1827446554931
1999-01-26,107.52755922901368
1999-01-27,106.43697815499043
1999-01-28,106.69861362430515
1999-01-29,107.18718039359429
1999-02-01,107.3689087746981
1999-02-02,110.09960794759304
1999-02-03,109.97950194556842
1999-02-04,109.76379617251517
1999-02-05,109.2996467082875
1999-02-08,109.49926457214733
1999-02-09,109.97869612290239
1999-02-10,109.59491813787709
1999-02-11,110.3933237222538
1999-02-12,110.44154682934543
1999-02-15,110.2253404362163
1999-02-16,110.68031515927231
1999-02-17,110.76165384524413
1999-02-18,110.39581474627182
1999-02-19,110.0841008016017
1999-02-22,109.22771001865335
1999-02-23,109.63892439911012
1999-02-24,110.3559001758784
1999-02-25,108.77174832750912
1999-02-26,110.26613109174252
1999-03-01,109.78922569623886
1999-03-02,109.04387266569472
1999-03-03,110.4135724869026
1999-03-04,110.76398348515872
1999-03-05,111.94272858509207
1999-03-08,111.27357739548658
1999-03-09,110.82375378952729
1999-03-10,111.74781611080525
1999-03-11,114.99899109357256
1999-03-12,114.20214775123094
1999-03-15,114.92207784515765
1999-03-16,113.6651196411737
1999-03-17,113.52686945495093
1999-03-18,115.06680754823994
1999-03-19,115.92187761638279
1999-03-22,114.77094767049094
1999-03-23,113.79363518219256
1999-03-24,113.33038046656544
1999-03-25,114.538090170583
1999-03-26,114.47081495648014
1999-03-29,114.0810174541826
1999-03-30,115.29024987759769
1999-03-31,116.45993990212312
1999-04-01,116.45993990212312
1999-04-02,116.45993990212312
1999-04-05,115.14885764168802
1999-04-06,116.21742350873329
1999-04-07,116.1405366087434
1999-04-08,118.17665177475604
1999-04-09,118.27215164133969
1999-04-12,117.3052533680412
1999-04-13,117.71490111505871
1999-04-14,117.77003299876793
1999-04-15,119.05934706870985
1999-04-16,126.94519245166666
1999-04-19,133.88337391160943
1999-04-20,132.90266028077787
1999-04-21,132.80806833700728
1999-04-22,133.40703500724427
1999-04-23,133.86833774371584
1999-04-26,132.61477848656295
1999-04-27,132.55685915905394
1999-04-28,131.85328814352846
1999-04-29,132.12015597091715
1999-04-30,132.53687936791087
1999-05-03,132.84341914061233
1999-05-04,132.99255012852856
1999-05-05,133.0983708927734
1999-05-06,137.64193392840482
1999-05-07,137.10489483983713
1999-05-10,138.8222423682243
1999-05-11,138.78603963220942
1999-05-12,135.81538864596257
1999-05-13,136.28710889098716
1999-05-14,137.6865780410942
1999-05-17,137.00525497696793
1999-05-18,138.1699333114792
1999-05-19,134.80101709783526
1999-05-20,136.01008813714694
1999-05-21,134.93149998792433
1999-05-24,133.89699165595468
1999-05-25,131.76408994193528
1999-05-26,131.91962908639317
1999-05-27,129.80430835898653
1999-05-28,130.19179378698618
1999-05-31,130.83493029826172
1999-06-01,130.3224040277963
1999-06-02,129.65397193062438
1999-06-03,131.47131722132096
1999-06-04,131.038409304242
1999-06-07,132.4913251367063
1999-06-08,132.64871416017274
1999-06-09,132.90962943920286
1999-06-10,131.17511371619534
1999-06-11,130.20400298844243
1999-06-14,130.69189457933973
1999-06-15,130.82358181202366
1999-06-16,130.55865059387594
1999-06-17,129.96848210190262
1999-06-18,129.02507893878897
1999-06-21,129.2471171166619
1999-06-22,129.2012576828672
1999-06-23,128.66200313089348
1999-06-24,129.07742996580467
1999-06-25,128.80103059565513
1999-06-28,128.8665349760246
1999-06-29,128.8665349760246
1999-06-30,132.2008183806461
1999-07-01,134.21914067479452
1999-07-02,134.52065997467344
1999-07-05,133.89296803187975
1999-07-06,134.27895489320485
1999-07-07,134.25288312662062
1999-07-08,135.11127199846837
1999-07-09,135.26560350677832
1999-07-12,131.7927614197908
1999-07-13,131.03177059898115
1999-07-14,132.99486769208167
1999-07-15,134.03140265707785
1999-07-16,134.58582511907045
1999-07-19,132.52838749008836
1999-07-20,131.4650880144994
1999-07-21,129.79879165749227
1999-07-22,130.2761241170519
1999-07-23,130.38126970290492
1999-07-26,130.03135383546947
1999-07-27,130.95374412960797
1999-07-28,130.95374412960797
1999-07-29,130.95374412960797
1999-07-30,130.81946267490795
1999-08-02,128.46032679632683
1999-08-03,127.31169026126516
1999-08-04,127.16560032073978
1999-08-05,126.52657965302684
1999-08-06,126.19492653770224
1999-08-09,126.57753750706817
1999-08-10,125.182217136055
1999-08-11,127.27333024794953
1999-08-12,126.58118347038408
1999-08-13,127.74711225723405
1999-08-16,127.47969660217457
1999-08-17,127.03786974321713
1999-08-18,125.51728017672112
1999-08-19,124.7672327351144
1999-08-20,124.95050908618974
1999-08-23,125.16236689133505
1999-08-24,125.46912184284106
1999-08-25,124.97228276593813
1999-08-26,124.69716239225446
1999-08-27,124.5408349907472
1999-08-30,124.47837165776859
1999-08-31,125.28074158226387
1999-09-01,125.22224917651009
1999-09-02,125.00832850925377
1999-09-03,124.86998061428814
1999-09-06,125.48791924841017
1999-09-07,125.27365605162825
1999-09-08,124.97893244970943
1999-09-09,129.1720888784889
1999-09-10,134.99107377695609
1999-09-13,134.3912540764582
1999-09-14,133.21533704081324
1999-09-15,132.0058762643811
1999-09-16,132.04950157130196
1999-09-17,131.74391034190222
1999-09-20,130.77685288020243
1999-09-21,131.76449395111933
1999-09-22,132.120932151605
1999-09-23,131.96944517534914
1999-09-24,130.2149397805391
1999-09-27,131.66030239782322
1999-09-28,133.8687922540479
1999-09-29,133.37045790402354
1999-09-30,132.89923498552173
1999-10-01,130.94958766555678
1999-10-04,131.26613435052096
1999-10-05,131.2191188795773
1999-10-06,130.70765752462424
1999-10-07,131.1870715097626
1999-10-08,131.1870715097626
1999-10-11,131.6518555318935
1999-10-12,129.9758234318314
1999-10-13,130.59690631134242
1999-10-14,128.31950544295987
1999-10-15,125.78446528306142
1999-10-18,125.22858048347871
1999-10-19,125.07610983268775
1999-10-20,123.93090957139265
1999-10-21,124.04033128706062
1999-10-22,124.91006425374225
1999-10-25,122.71793676947192
1999-10-26,120.42404617841397
1999-10-27,122.25395417860287
1999-10-28,123.01451573965447
1999-10-29,124.83823185995728
1999-11-01,124.83823185995728
1999-11-02,122.91384609250635
1999-11-03,123.53989565013875
1999-11-04,123.67590292667937
1999-11-05,124.68277615217866
1999-11-08,125.21031773136787
1999-11-09,125.33467022122927
1999-11-10,126.28588679022047
1999-11-11,125.90666927843044
1999-11-12,125.89271010241063
1999-11-15,125.26800211875354
1999-11-16,124.58589409113108
1999-11-17,123.97814351469397
1999-11-18,124.07569526487816
1999-11-19,123.93150680236037
1999-11-22,123.70342056308806
1999-11-23,123.49385507092187
1999-11-24,124.73578918337368
1999-11-25,124.03411196089844
1999-11-26,124.86801546092003
1999-11-29,126.83099618180991
1999-11-30,129.27910410466922
1999-12-01,130.60510725863838
1999-12-02,130.87178405994547
1999-12-03,130.41461363480218
1999-12-06,129.3379357463955
1999-12-07,128.29919080724846
1999-12-08,128.29919080724846
1999-12-09,129.80325222628255
1999-12-10,129.79277762947524
1999-12-13,129.4120428875429
1999-12-14,130.11071090030754
1999-12-15,131.3532027210895
1999-12-16,130.80084202335686
1999-12-17,129.04516851503644
1999-12-20,128.11437746471205
1999-12-21,128.43794161354714
1999-12-22,128.5105040782761
1999-12-23,128.30367662661277
1999-12-24,128.30367662661277
1999-12-27,127.04315918954535
1999-12-28,126.57208997018965
1999-12-29,126.87357413883518
1999-12-30,131.3657017552213
1999-12-31,131.3657017552213
2000-01-03,129.6448970938977
2000-01-04,127.79123818423082
2000-01-05,128.28036595540325
2000-01-06,127.69019416987683
2000-01-07,128.90868916254703
2000-01-10,128.40495448323904
2000-01-11,129.10514850895433
2000-01-12,130.9334448638112
2000-01-13,145.64432827600487
2000-01-14,147.22641396871003
2000-01-17,150.24208672840527
2000-01-18,149.33280148217466
2000-01-19,149.55480892021833
2000-01-20,146.59895586818863
2000-01-21,145.62753115503727
2000-01-24,144.87854643324079
2000-01-25,141.91003625652903
2000-01-26,144.94219764104858
2000-01-27,148.44825081995708
2000-01-28,146.5080812480518
2000-01-31,146.39556469029185
2000-02-01,146.74957773782214
2000-02-02,148.96609947228202
2000-02-03,151.40111771714808
2000-02-04,156.26923186970282
2000-02-07,156.74629645360778
2000-02-08,158.5261380548028
2000-02-09,163.03686326786809
2000-02-10,164.90387863333183
2000-02-11,167.01807186771663
2000-02-14,166.6274564663916
2000-02-15,163.01785397704757
2000-02-16,160.85344832948002
2000-02-17,160.3075144517568
2000-02-18,157.59005975385227
2000-02-21,155.11743791503963
2000-02-22,156.28502335911446
2000-02-23,157.6515921091459
2000-02-24,159.82369479038033
2000-02-25,159.50301579408793
2000-02-28,156.74762814692374
2000-02-29,158.7281097113002
2000-03-01,159.69489929734536
2000-03-02,161.10952098755664
2000-03-03,163.5480962698041
2000-03-06,165.13508276956804
2000-03-07,162.09585122432748
2000-03-08,161.34300096900634
2000-03-09,162.0428173339626
2000-03-10,160.50795570389937
2000-03-13,158.951453234064
2000-03-14,158.644949690447
2000-03-15,155.48239653747498
2000-03-16,154.70481718739597
2000-03-17,152.3506007793414
2000-03-20,154.10428278586866
2000-03-21,153.63259547637543
2000-03-22,151.49011391414925
2000-03-23,151.8816163791176
2000-03-24,151.04667101845556
2000-03-27,150.21685481786943
2000-03-28,147.29525142484798
2000-03-29,143.76417492710195
2000-03-30,141.84765196882555
2000-03-31,143.005465440761
2000-04-03,140.060248369642
2000-04-04,137.5118243076706
2000-04-05,139.7904163444355
2000-04-06,140.14860781303784
2000-04-07,144.39658872723433
2000-04-10,144.35772480028967
2000-04-11,142.3455581569429
2000-04-12,141.84849950983124
2000-04-13,142.1405322788421
2000-04-14,139.08128690907606
2000-04-17,134.936146093541
2000-04-18,139.39191398121298
2000-04-19,138.16874214309686
2000-04-20,138.16874214309686
2000-04-21,138.16874214309686
2000-04-24,136.59545572650643
2000-04-25,137.12449477451915
2000-04-26,137.93430263983504
2000-04-27,135.98710462554845
2000-04-28,136.2319583438102
2000-05-01,136.2319583438102
2000-05-02,141.46822915889032
2000-05-03,139.8657464916455
2000-05-04,136.66702244033885
2000-05-05,135.0262225759691
2000-05-08,132.4549335703119
2000-05-09,133.01538103883198
2000-05-10,130.2062360174652
2000-05-11,131.78686047043126
2000-05-12,131.9226086541256
2000-05-15,131.353240048025
2000-05-16,134.30248733032516
2000-05-17,130.71973498395528
2000-05-18,129.395062425451
2000-05-19,123.4388681035504
2000-05-22,121.66194678613147
2000-05-23,118.78487113358878
2000-05-24,117.1438747538822
2000-05-25,120.25246633235751
2000-05-26,118.91061350287143
