Date,FINLAND
1998-12-31,505.9342595547414
1999-01-01,505.93149209434165
1999-01-04,535.1965358522945
1999-01-05,542.0584918585798
1999-01-06,539.1374146395868
1999-01-07,551.8989283849473
1999-01-08,550.0994871820168
1999-01-11,544.9103370334955
1999-01-12,547.2361421213816
1999-01-13,522.08957019451
1999-01-14,538.9916043859832
1999-01-15,541.1594062046104
1999-01-18,554.9314477432926
1999-01-19,567.8253391876656
1999-01-20,580.8934237976033
1999-01-21,572.518152649536
1999-01-22,548.6858208519967
1999-01-25,551.4764783375618
1999-01-26,551.0665754598132
1999-01-27,561.1790629562284
1999-01-28,560.0522461733481
1999-01-29,557.9095589313652
1999-02-01,542.4591715547768
1999-02-02,527.7216961433271
1999-02-03,532.2264336035506
1999-02-04,535.2903461827011
1999-02-05,519.9743551828209
1999-02-08,525.0331513693679
1999-02-09,511.5273830314894
1999-02-10,501.87655042823263
1999-02-11,519.2670084945374
1999-02-12,530.085481716078
1999-02-15,522.6437958791391
1999-02-16,526.2487444367724
1999-02-17,514.58057486368
1999-02-18,509.31227635959397
1999-02-19,513.1682897341885
1999-02-22,515.8433968942139
1999-02-23,528.3336691643419
1999-02-24,536.0859126278232
1999-02-25,535.933778195975
1999-02-26,525.8427423121649
1999-03-01,519.0301503115843
1999-03-02,527.1754692793414
1999-03-03,532.0454356221949
1999-03-04,527.4660880367148
1999-03-05,547.3360540189584
1999-03-08,552.400673508833
1999-03-09,559.2317169318596
1999-03-10,565.6720172075469
1999-03-11,560.8901491973096
1999-03-12,562.9342247927627
1999-03-15,551.6758164358264
1999-03-16,555.1998408086437
1999-03-17,554.130321080658
1999-03-18,548.4809528922752
1999-03-19,558.4213620283307
1999-03-22,560.539339441077
1999-03-23,551.781323966314
1999-03-24,542.2331403649781
1999-03-25,562.8530628188449
1999-03-26,560.6494256766135
1999-03-29,565.8106128386094
1999-03-30,572.6096356823487
1999-03-31,600.0927435627516
1999-04-01,601.1114472537076
1999-04-02,599.7769393979374
1999-04-05,596.1351689448938
1999-04-06,608.7974892193262
1999-04-07,609.5273398634746
1999-04-08,607.2181496566723
1999-04-09,625.7518876066633
1999-04-12,613.2136021753034
1999-04-13,627.3081312703684
1999-04-14,621.3086818710868
1999-04-15,593.9577897907333
1999-04-16,600.0264560560647
1999-04-19,581.3128888328575
1999-04-20,547.0140673374926
1999-04-21,571.3689685130407
1999-04-22,611.0947191402327
1999-04-23,597.1950708626056
1999-04-26,587.719200444988
1999-04-27,604.4961980435547
1999-04-28,587.1138855188289
1999-04-29,578.8628515875378
1999-04-30,596.6081314687535
1999-05-03,584.45050591494
1999-05-04,578.988353639963
1999-05-05,573.7407630251204
1999-05-06,574.8502616782962
1999-05-07,586.5560828789846
1999-05-10,596.3340668803527
1999-05-11,600.3150409577147
1999-05-12,604.7404782820956
1999-05-13,602.1343805550736
1999-05-14,597.7672268573934
1999-05-17,592.6044864772208
1999-05-18,589.6940945897895
1999-05-19,588.3205893212929
1999-05-20,590.8778593329254
1999-05-21,586.6215355941432
1999-05-24,564.3627858273841
1999-05-25,568.3981478376483
1999-05-26,560.4636061417642
1999-05-27,557.8929541689666
1999-05-28,562.2579525867011
1999-05-31,564.1845300097152
1999-06-01,579.2438251443251
1999-06-02,567.7525706631138
1999-06-03,571.2573138812996
1999-06-04,577.7744554523281
1999-06-07,592.6860076644629
1999-06-08,603.0005045920332
1999-06-09,606.8094863178595
1999-06-10,599.4103141367511
1999-06-11,625.5004888730905
1999-06-14,613.5002898234801
1999-06-15,618.0026493926837
1999-06-16,627.264818238408
1999-06-17,632.850686617874
1999-06-18,643.536807437115
1999-06-21,661.8381191882665
1999-06-22,666.5440565848298
1999-06-23,652.8320593240715
1999-06-24,649.3892323405701
1999-06-25,656.9211211966449
1999-06-28,644.0889183165393
1999-06-29,659.6110825865308
1999-06-30,653.6575366026185
1999-07-01,673.0214519604276
1999-07-02,688.8034488880985
1999-07-05,707.6610707730287
1999-07-06,707.2511021238263
1999-07-07,702.6811952716295
1999-07-08,693.8572110287631
1999-07-09,692.4399424468149
1999-07-12,688.599243702257
1999-07-13,680.278658988305
1999-07-14,693.2119475334696
1999-07-15,715.481099308605
1999-07-16,718.3723972370807
1999-07-19,717.541926387392
1999-07-20,708.759479347235
1999-07-21,697.9688476879978
1999-07-22,678.0417364311375
1999-07-23,660.22051075822
1999-07-26,674.7871372295607
1999-07-27,670.8766499132399
1999-07-28,664.6438939895071
1999-07-29,654.253952145152
1999-07-30,663.9947651564705
1999-08-02,652.6294781872032
1999-08-03,650.8096579522978
1999-08-04,639.8029923642307
1999-08-05,620.393775652821
1999-08-06,638.4245289399904
1999-08-09,645.7611474092474
1999-08-10,616.3535516143226
1999-08-11,624.7012544045867
1999-08-12,648.6486154153782
1999-08-13,656.612607544511
1999-08-16,661.3738941490695
1999-08-17,664.8000253020057
1999-08-18,660.7324150420375
1999-08-19,639.9363212196512
1999-08-20,645.9419733729549
1999-08-23,648.3094421471153
1999-08-24,637.3437015813037
1999-08-25,652.4054150816742
1999-08-26,658.0680893410834
1999-08-27,649.1804332716519
1999-08-30,642.9044958588661
1999-08-31,640.3619687715571
1999-09-01,640.4680277703876
1999-09-02,631.1108343520339
1999-09-03,650.4479351940865
1999-09-06,663.9906620296256
1999-09-07,664.5722031049282
1999-09-08,657.56143665488
1999-09-09,664.0492441575394
1999-09-10,672.1213139631982
1999-09-13,670.7763383275978
1999-09-14,664.9839627614094
1999-09-15,665.941402872876
1999-09-16,655.4955299961272
1999-09-17,654.2367099055863
