Date,TAIWAN
1998-12-31,119.15611743723996
1999-01-01,119.15611743723996
1999-01-04,119.40628928048295
1999-01-05,114.2358503507898
1999-01-06,116.22663092633252
1999-01-07,120.83549422391101
1999-01-08,121.40739473360162
1999-01-11,120.99665883055076
1999-01-12,119.72999593848
1999-01-13,119.02527925404917
1999-01-14,117.76626618471789
1999-01-15,122.8232172534803
1999-01-18,121.11152294463791
1999-01-19,120.63278702848795
1999-01-20,120.38807968479063
1999-01-21,121.13978915881637
1999-01-22,118.85557115378917
1999-01-25,115.52342514147078
1999-01-26,117.9181985753786
1999-01-27,118.15836845412392
1999-01-28,116.81369762665054
1999-01-29,115.63510302097765
1999-02-01,112.97269541481641
1999-02-02,111.34240141604009
1999-02-03,112.01201232515159
1999-02-04,107.66625526736391
1999-02-05,107.00485540630503
1999-02-08,112.80132627827935
1999-02-09,110.70103288988358
1999-02-10,112.06657152820374
1999-02-11,112.03188637397894
1999-02-12,112.06657152820374
1999-02-15,112.06657152820374
1999-02-16,112.06657152820374
1999-02-17,111.89336142965227
1999-02-18,111.89336142965227
1999-02-19,111.46267164317537
1999-02-22,119.68127895986581
1999-02-23,118.04110930207628
1999-02-24,119.44596350134486
1999-02-25,120.37625582325732
1999-02-26,121.18609322605248
1999-03-01,120.88627617804042
1999-03-02,119.40977578847917
1999-03-03,122.04479178636396
1999-03-04,120.86842420852597
1999-03-05,120.90436526822856
1999-03-08,122.46906144123334
1999-03-09,123.23675570841328
1999-03-10,123.58751437975212
1999-03-11,122.51904624093709
1999-03-12,123.15056174774271
1999-03-15,126.20887746970094
1999-03-16,127.78158808316454
1999-03-17,129.7912108155576
1999-03-18,132.6537959327687
1999-03-19,134.71207964040082
1999-03-22,135.7875899057564
1999-03-23,133.0427298410121
1999-03-24,132.03417578116685
1999-03-25,133.34203809240267
1999-03-26,135.94367012086508
1999-03-29,133.17352274487823
1999-03-30,133.42433683959425
1999-03-31,132.93662370155656
1999-04-01,136.91209597504098
1999-04-02,141.73140208318654
1999-04-05,140.1101937383648
1999-04-06,139.9507211485927
1999-04-07,139.5266516760006
1999-04-08,142.95345411644996
1999-04-09,143.54060660917253
1999-04-12,143.55933914239483
1999-04-13,145.11006068594656
1999-04-14,146.286964466313
1999-04-15,149.18495920694295
1999-04-16,148.7660766001429
1999-04-19,152.6171737182463
1999-04-20,152.79072460329365
1999-04-21,149.41417029756758
1999-04-22,149.46667882383863
1999-04-23,151.82825536342844
1999-04-26,151.53597136516078
1999-04-27,149.89518328712174
1999-04-28,148.287142884838
1999-04-29,143.19183903655608
1999-04-30,144.53663378639158
1999-05-03,143.82654673574785
1999-05-04,148.50496503375797
1999-05-05,147.28112685029419
1999-05-06,146.43695699538182
1999-05-07,144.09691673245766
1999-05-10,144.63732189718723
1999-05-11,144.70393850776287
1999-05-12,144.37077800340836
1999-05-13,143.7176809406125
1999-05-14,147.8578627152304
1999-05-17,147.06627764650426
1999-05-18,145.22666209622597
1999-05-19,145.19494273776417
1999-05-20,145.88927139187683
1999-05-21,146.06791977562813
1999-05-24,145.03400571930874
1999-05-25,141.90791280619104
1999-05-26,143.16307832449024
1999-05-27,144.07304618745144
1999-05-28,141.5950016924338
1999-05-31,139.01115133137657
1999-06-01,140.43355365206014
1999-06-02,142.1800510796836
1999-06-03,144.2361387400713
1999-06-04,144.80093397047912
1999-06-07,150.55219820305894
1999-06-08,153.36878190957225
1999-06-09,155.44436946857857
1999-06-10,156.6128346127081
1999-06-11,156.36433810447627
1999-06-14,156.51304493903794
1999-06-15,157.1874006447458
1999-06-16,160.05959808595057
1999-06-17,166.10260415646368
1999-06-18,166.1282799166491
1999-06-21,169.52500020369024
1999-06-22,174.17029071793047
1999-06-23,170.36316935652846
1999-06-24,173.0867600543102
1999-06-25,165.55793677741337
1999-06-28,166.5055329507001
1999-06-29,172.3571528485079
1999-06-30,170.11486826432923
1999-07-01,170.06221794227838
1999-07-02,172.02960102260113
1999-07-05,171.34212027055756
1999-07-06,168.98927072500888
1999-07-07,169.6842392474722
1999-07-08,172.16218603447354
1999-07-09,170.87625798133556
1999-07-12,169.12948411151962
1999-07-13,163.51250167392456
1999-07-14,157.26550867128708
1999-07-15,158.65506084195437
1999-07-16,147.97539950103166
1999-07-19,149.50145096202917
1999-07-20,158.24389716844192
1999-07-21,157.4039239919857
1999-07-22,154.51456687830876
1999-07-23,154.98959227296172
1999-07-26,151.71618069405048
1999-07-27,146.8022622455374
1999-07-28,149.91288511992823
1999-07-29,147.90797382041862
1999-07-30,149.13500419626857
1999-08-02,144.82817782516997
1999-08-03,144.82102011719553
1999-08-04,143.60362470500158
1999-08-05,140.60902533372055
1999-08-06,137.52418903470434
1999-08-09,141.488490422179
1999-08-10,146.67820285386762
1999-08-11,145.56532284696138
1999-08-12,147.79400695189577
1999-08-13,155.36693586566196
1999-08-16,164.7745103280482
1999-08-17,166.65131211945632
1999-08-18,163.81837066114124
1999-08-19,163.31982504046738
1999-08-20,166.71667044143183
1999-08-23,166.51465911773462
1999-08-24,163.82524239443384
1999-08-25,167.47663862595715
1999-08-26,166.58426892998025
1999-08-27,165.48943273393755
1999-08-30,165.74107377210854
1999-08-31,167.49225046046377
1999-09-01,170.47117961074062
1999-09-02,169.24563511167509
1999-09-03,165.68379661801765
1999-09-06,166.66918315394955
1999-09-07,162.899375530723
1999-09-08,164.3484235423879
1999-09-09,164.97520735977008
1999-09-10,167.74607443870624
1999-09-13,167.881080702885
1999-09-14,165.98693812170617
1999-09-15,163.5524988078647
1999-09-16,163.72664309037688
