Date,AUSTRIA
1998-12-31,1697.609624308565
1999-01-01,1697.6135118346047
1999-01-04,1722.9369583135704
1999-01-05,1744.1820504550012
1999-01-06,1734.782912224188
1999-01-07,1734.5444659763577
1999-01-08,1715.9113499550806
1999-01-11,1701.5048405198297
1999-01-12,1688.6186253836281
1999-01-13,1671.5232211361463
1999-01-14,1657.375172766196
1999-01-15,1606.3907780388558
1999-01-18,1615.9189685533088
1999-01-19,1597.665081546006
1999-01-20,1584.3687239245717
1999-01-21,1583.7948300149778
1999-01-22,1539.3891988408168
1999-01-25,1536.6066299295164
1999-01-26,1588.0670683477053
1999-01-27,1582.1118198334384
1999-01-28,1581.5020045041942
1999-01-29,1594.0166298697307
1999-02-01,1591.531617973379
1999-02-02,1580.8746189153385
1999-02-03,1564.9109770521904
1999-02-04,1593.0010349119882
1999-02-05,1613.9416437912028
1999-02-08,1615.533560240302
1999-02-09,1638.799656639472
1999-02-10,1609.5484337966473
1999-02-11,1608.1702973275371
1999-02-12,1613.8503123934152
1999-02-15,1640.3904866184116
1999-02-16,1670.6252026209831
1999-02-17,1683.153748385439
1999-02-18,1679.5604859980501
1999-02-19,1687.982463153015
1999-02-22,1673.165964017397
1999-02-23,1698.115308263454
1999-02-24,1680.1059449464367
1999-02-25,1696.213476201341
1999-02-26,1680.4092059297232
1999-03-01,1662.0218868059499
1999-03-02,1649.239565378756
1999-03-03,1646.4467768575173
1999-03-04,1627.5152040881906
1999-03-05,1662.707619237593
1999-03-08,1686.0581207872835
1999-03-09,1691.7637527823922
1999-03-10,1694.768216247686
1999-03-11,1693.0111563343341
1999-03-12,1724.451735381341
1999-03-15,1715.9238783141082
1999-03-16,1724.3221738148136
1999-03-17,1730.4178485972036
1999-03-18,1717.021960123496
1999-03-19,1724.090059650882
1999-03-22,1696.4191246312298
1999-03-23,1673.0225499563355
1999-03-24,1649.039892534745
1999-03-25,1665.7266651695597
1999-03-26,1656.8709996838727
1999-03-29,1657.768254274705
1999-03-30,1667.2047229411562
1999-03-31,1673.4647093590827
1999-04-01,1686.8183952575303
1999-04-02,1683.0735533067866
1999-04-05,1672.8541470816042
1999-04-06,1692.4409801898175
1999-04-07,1689.480875264007
1999-04-08,1698.4878317194123
1999-04-09,1699.5499072286684
1999-04-12,1690.2935719194525
1999-04-13,1687.584899955098
1999-04-14,1698.2899753176991
1999-04-15,1681.7082507664368
1999-04-16,1677.6733552352837
1999-04-19,1704.9974007043047
1999-04-20,1711.6428124113343
1999-04-21,1709.228370147065
1999-04-22,1704.0058438988424
1999-04-23,1727.1678428758498
1999-04-26,1727.6201030558618
1999-04-27,1746.7837051086387
1999-04-28,1729.8732214775328
1999-04-29,1737.6725493744937
1999-04-30,1744.8829085883967
1999-05-03,1755.7938191179453
1999-05-04,1782.799172332195
1999-05-05,1768.7565794721068
1999-05-06,1765.3874864356078
1999-05-07,1750.7004809621321
1999-05-10,1732.4433684965434
1999-05-11,1692.8664181377655
1999-05-12,1655.6507578859198
1999-05-13,1648.5158234676246
1999-05-14,1671.3232257463064
1999-05-17,1639.5885018796957
1999-05-18,1631.3673349671903
1999-05-19,1645.410063636048
1999-05-20,1644.6528618392217
1999-05-21,1621.0169751355886
1999-05-24,1623.7043590752542
1999-05-25,1579.939609486462
1999-05-26,1571.8235925140862
1999-05-27,1579.5580886994946
1999-05-28,1546.1488087472735
1999-05-31,1542.801529994447
1999-06-01,1572.4358863533819
1999-06-02,1562.264590384952
1999-06-03,1561.4348497288788
1999-06-04,1563.6796838155833
1999-06-07,1575.7609433962264
1999-06-08,1580.2232461024912
1999-06-09,1588.9480089100477
1999-06-10,1577.7605577726995
1999-06-11,1577.2389672156305
1999-06-14,1566.4680925039913
1999-06-15,1569.2062858997124
1999-06-16,1554.7666221484985
1999-06-17,1552.291948694759
1999-06-18,1575.0045564520194
1999-06-21,1597.8658917884654
1999-06-22,1600.1046484327148
1999-06-23,1588.7711689154835
1999-06-24,1588.1129547358503
1999-06-25,1586.0483219107664
1999-06-28,1571.3229674358777
1999-06-29,1589.1569167504151
1999-06-30,1611.53937338794
1999-07-01,1630.3189931197949
1999-07-02,1626.972325506433
1999-07-05,1658.1976476530774
1999-07-06,1648.8716424448796
1999-07-07,1639.0586609398529
1999-07-08,1625.1175342070096
1999-07-09,1632.9681299146246
1999-07-12,1627.667072245181
1999-07-13,1620.2019357788618
1999-07-14,1611.9857428625558
1999-07-15,1644.9674289026061
1999-07-16,1643.1020784713196
1999-07-19,1629.3277928123537
1999-07-20,1642.6073780507
1999-07-21,1628.4089446271005
1999-07-22,1624.9687047712466
1999-07-23,1615.3782289596777
1999-07-26,1619.1668013343435
1999-07-27,1624.689040561738
1999-07-28,1627.4238726904027
1999-07-29,1626.946555792336
1999-07-30,1618.7827680851321
1999-08-02,1576.4112127628177
1999-08-03,1590.120361140499
1999-08-04,1604.3846957697142
1999-08-05,1617.8776026334508
1999-08-06,1622.7289635134152
1999-08-09,1620.4140521014192
1999-08-10,1623.3667554492677
1999-08-11,1609.4430801433627
1999-08-12,1620.1606668888949
1999-08-13,1602.6639986545151
1999-08-16,1597.085738309518
1999-08-17,1585.5710559409881
1999-08-18,1587.4776922383378
1999-08-19,1602.043997667525
1999-08-20,1630.019415949393
1999-08-23,1647.8567265309866
1999-08-24,1639.667933034017
1999-08-25,1630.5757565754714
1999-08-26,1620.5015299253598
1999-08-27,1615.5720620265813
1999-08-30,1612.6943760480308
1999-08-31,1619.300233450814
1999-09-01,1620.7793776925703
1999-09-02,1611.711375195075
1999-09-03,1602.9752214269395
1999-09-06,1623.3086972001165
1999-09-07,1628.7262278658836
1999-09-08,1611.3746713021897
1999-09-09,1633.4274861028662
1999-09-10,1619.7129393265795
1999-09-13,1598.8294210590307
1999-09-14,1606.970919151867
1999-09-15,1571.2196169619497
1999-09-16,1550.4173293149238
1999-09-17,1550.1723302939436
1999-09-20,1560.7311565874104
1999-09-21,1545.9032834673098
1999-09-22,1532.0889002690176
1999-09-23,1526.8295528680435
1999-09-24,1517.4052051343097
1999-09-27,1522.4766101737766
1999-09-28,1513.1150400439494
1999-09-29,1530.2896547565017
1999-09-30,1532.1304407765244
1999-10-01,1536.1104695646195
1999-10-04,1542.7686642721203
1999-10-05,1536.5681111671408
1999-10-06,1551.251042377518
1999-10-07,1561.555193275146
1999-10-08,1552.5639227326697
1999-10-11,1555.270727326437
1999-10-12,1551.9043334892408
1999-10-13,1556.6928658370089
1999-10-14,1547.7160759046276
1999-10-15,1552.2297482781244
1999-10-18,1541.1860846759548
1999-10-19,1539.3147247065986
1999-10-20,1535.608741040155
1999-10-21,1539.0439050432324
1999-10-22,1521.9460053096027
1999-10-25,1522.3348258179542
1999-10-26,1509.7876063476308
1999-10-27,1501.0434738142612
1999-10-28,1504.9899748122764
1999-10-29,1511.4093667739255
1999-11-01,1508.8212590450896
1999-11-02,1517.3362991596587
1999-11-03,1514.253406129722
1999-11-04,1511.8489118578514
1999-11-05,1527.9277365340088
1999-11-08,1529.661929645721
1999-11-09,1528.5551221228643
1999-11-10,1529.7347061703151
1999-11-11,1524.0664215869415
1999-11-12,1526.2457449182439
1999-11-15,1524.3856570767928
1999-11-16,1522.107906339473
1999-11-17,1534.1585070903009
1999-11-18,1522.8928810297532
1999-11-19,1512.703318781766
1999-11-22,1505.0435513720195
1999-11-23,1482.5476944115908
1999-11-24,1464.3894677066178
1999-11-25,1475.774537580332
1999-11-26,1470.2455248905364
1999-11-29,1444.847247779331
1999-11-30,1441.803230009791
1999-12-01,1449.725210202108
1999-12-02,1471.9738952012374
1999-12-03,1493.335409410703
1999-12-06,1501.495377496252
1999-12-07,1511.5848656568864
1999-12-08,1514.392932664744
1999-12-09,1503.7681372612763
1999-12-10,1503.494278876683
1999-12-13,1503.8549530174637
1999-12-14,1493.8973012202532
1999-12-15,1497.8688080080342
1999-12-16,1522.2549023568417
1999-12-17,1509.7312966363927
1999-12-20,1503.1068673843195
1999-12-21,1519.3817150437958
1999-12-22,1524.682891545913
1999-12-23,1555.7853067557573
1999-12-24,1555.7853067557573
1999-12-27,1554.7471335900116
1999-12-28,1555.244397401164
1999-12-29,1545.5741509133488
1999-12-30,1542.0357552690177
1999-12-31,1542.0357552690177
2000-01-03,1567.1775065898937
2000-01-04,1573.9300374642169
2000-01-05,1581.5980213045452
2000-01-06,1583.4345123722185
2000-01-07,1612.532712683508
2000-01-10,1623.752265618852
2000-01-11,1611.2550237758685
2000-01-12,1573.8661903662467
2000-01-13,1569.6170225483136
2000-01-14,1546.278098696261
2000-01-17,1527.2991116901273
2000-01-18,1500.292858742777
2000-01-19,1504.7315307230715
2000-01-20,1498.252892185534
2000-01-21,1479.31172792183
2000-01-24,1494.5658029142096
2000-01-25,1465.674660048797
2000-01-26,1457.8692716854773
2000-01-27,1443.692584641165
2000-01-28,1444.2816551808003
2000-01-31,1404.9149028457043
2000-02-01,1354.8306656216535
2000-02-02,1352.4448280795539
2000-02-03,1360.564851410643
2000-02-04,1297.7261505333336
2000-02-07,1270.4196583478279
2000-02-08,1320.9565462021042
2000-02-09,1347.9252650006613
2000-02-10,1338.3919646812392
2000-02-11,1374.90766653279
2000-02-14,1394.4884391746446
2000-02-15,1382.2904519562342
